Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.1678,1.1,-0.001066,
0.002,-0.1721,1.4,0.000533,
0.004,-0.1715,1,0,
0.006,-0.1758,1.2,-0.001688,
0.008,-0.1855,1,-0.004888,
0.01,-0.1922,1.1,-0.004266,
0.012,-0.1953,1.1,-0.0016,
0.014,-0.2044,0.9,-0.004266,
0.016,-0.2337,0.2,-0.0168,
0.018,-0.285,0,-0.029244,
0.02,-0.3734,-0.2,-0.0504,
0.022,-0.5016,-0.2,-0.068888,
0.024,-0.6713,-0.3,-0.090666,
0.026,-0.8837,-0.3,-0.111822,
0.028,-1.1376,-0.3,-0.128622,
0.03,-1.4287,-0.2,-0.150844,
0.032,-1.7626,-0.2,-0.169866,
0.034,-2.13,-0.1,-0.189866,
0.036,-2.5273,0,-0.199644,
0.038,-2.9583,0,-0.220355,
0.04,-3.4178,0.1,-0.229955,
0.042,-3.8982,0.2,-0.244711,
0.044,-4.4084,0.2,-0.257688,
0.046,-4.9401,0.4,-0.2664,
0.048,-5.4949,0.4,-0.276177,
0.05,-6.0704,0.4,-0.291822,
0.052,-6.6661,0.4,-0.299466,
0.054,-7.2759,0.3,-0.306044,
0.056,-7.9082,0.2,-0.319555,
0.058,-8.5607,0.3,-0.327733,
0.06,-9.24,0.2,-0.341777,
0.062,-9.9456,0.2,-0.353777,
0.064,-10.6853,0.2,-0.372711,
0.066,-11.4482,0.1,-0.386755,
0.068,-12.2509,0.1,-0.4048,
0.07,-13.073,0.1,-0.416088,
0.072,-13.9171,0,-0.426399,
0.074,-14.771,0,-0.427555,
0.076,-15.6432,0,-0.436711,
0.078,-16.5374,-0.1,-0.449777,
0.08,-17.4578,0,-0.465511,
0.082,-18.4069,-0.1,-0.475822,
0.084,-19.3987,0,-0.499111,
0.086,-20.4241,0,-0.519733,
0.088,-21.4989,0,-0.544711,
0.09,-22.6281,0.2,-0.569688,
0.092,-23.8018,0.4,-0.587022,
0.094,-24.9834,0.5,-0.589155,
0.096,-26.1541,0.5,-0.582222,
0.098,-27.3064,0.4,-0.575644,
0.1,-28.4557,0.2,-0.577244,
0.102,-29.6086,0.3,-0.578311,
0.104,-30.7885,0.1,-0.596266,
0.106,-32.0061,0,-0.614133,
0.108,-33.2939,0,-0.652088,
