Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3087,1.2,-0.001066,
0.002,-0.3105,1.2,-0.002133,
0.004,-0.3081,1.2,0.001066,
0.006,-0.3105,1.2,-0.002666,
0.008,-0.3124,1.2,-0.002222,
0.01,-0.3136,1.2,-0.001066,
0.012,-0.3148,1.2,-0.002133,
0.014,-0.3209,1.2,-0.002666,
0.016,-0.3288,0.7,-0.005955,
0.018,-0.349,0.4,-0.014666,
0.02,-0.3978,0.4,-0.027111,
0.022,-0.4588,0.5,-0.033066,
0.024,-0.54,0.6,-0.041777,
0.026,-0.6419,0.6,-0.052622,
0.028,-0.753,0.6,-0.056355,
0.03,-0.8745,0.8,-0.064533,
0.032,-1.0124,0.8,-0.071022,
0.034,-1.1565,0.9,-0.069511,
0.036,-1.3121,0.9,-0.081866,
0.038,-1.469,1,-0.080888,
0.04,-1.6344,1.1,-0.079733,
0.042,-1.7992,1.1,-0.082488,
0.044,-1.9731,1.1,-0.086222,
0.046,-2.1507,1.2,-0.087822,
0.048,-2.3229,1.1,-0.090133,
0.05,-2.5017,1.1,-0.088444,
0.052,-2.6842,1.1,-0.086844,
0.054,-2.8679,1.1,-0.092266,
0.056,-3.0583,1,-0.098755,
0.058,-3.2506,1,-0.096622,
0.06,-3.4483,1,-0.100355,
0.062,-3.6528,0.9,-0.104711,
0.064,-3.8725,0.9,-0.107377,
0.066,-4.0947,0.9,-0.117688,
0.068,-4.3242,0.8,-0.115555,
0.07,-4.5696,0.9,-0.120977,
0.072,-4.821,0.8,-0.126933,
0.074,-5.0798,0.8,-0.129688,
0.076,-5.3545,0.8,-0.136711,
0.078,-5.6328,0.8,-0.138311,
0.08,-5.927,0.8,-0.150311,
0.082,-6.2297,0.7,-0.154577,
0.084,-6.544,0.8,-0.159466,
0.086,-6.8669,0.8,-0.161155,
0.088,-7.2014,0.8,-0.168177,
0.09,-7.542,0.8,-0.1704,
0.092,-7.899,0.8,-0.182222,
0.094,-8.2628,0.8,-0.183911,
0.096,-8.6388,0.8,-0.190488,
0.098,-9.027,0.9,-0.194844,
0.1,-9.4249,0.8,-0.200177,
0.102,-9.8326,0.9,-0.207199,
0.104,-10.2495,0.9,-0.209422,
0.106,-10.6761,0.9,-0.214844,
0.108,-11.1137,0.9,-0.215911,
0.11,-11.5624,0.9,-0.224088,
0.112,-12.0226,0.9,-0.231733,
0.114,-12.4846,0.9,-0.233333,
0.116,-12.9521,0.9,-0.236533,
0.118,-13.4306,0.9,-0.239733,
0.12,-13.9067,0.9,-0.239199,
0.122,-14.3907,0.8,-0.241422,
0.124,-14.876,0.7,-0.245777,
0.126,-15.3648,0.7,-0.247377,
0.128,-15.8623,0.8,-0.250666,
0.13,-16.3664,0.7,-0.253333,
0.132,-16.8828,0.7,-0.256622,
0.134,-17.4046,0.6,-0.259822,
0.136,-17.9393,0.6,-0.268,
0.138,-18.4868,0.6,-0.275644,
0.14,-19.0459,0.6,-0.282666,
0.142,-19.6147,0.7,-0.285866,
0.144,-20.1994,0.7,-0.294044,
0.146,-20.7933,0.8,-0.297866,
0.148,-21.4037,0.9,-0.306044,
0.15,-22.0323,0.9,-0.317333,
0.152,-22.6647,1,-0.314755,
0.154,-23.3159,1.1,-0.322311,
0.156,-23.9635,1,-0.323911,
0.158,-24.605,1.1,-0.321777,
0.16,-25.2391,1.1,-0.318488,
0.162,-25.8641,1.1,-0.311911,
0.164,-26.4836,1,-0.311911,
0.166,-27.0976,0.9,-0.305955,
0.168,-27.711,0.7,-0.307555,
0.17,-28.3281,0.6,-0.310311,
0.172,-28.9482,0.5,-0.312444,
0.174,-29.5763,0.6,-0.313066,
0.176,-30.2263,0.4,-0.326044,
0.178,-30.8879,0.3,-0.333066,
0.18,-31.5764,0.3,-0.3472,
0.182,-32.2899,0.4,-0.3624,
0.184,-33.0303,0.4,-0.3744,
0.186,-33.7944,0.5,-0.385155,
0.188,-34.5738,0.5,-0.393333,
0.19,-35.3569,0.7,-0.391111,
0.192,-36.1479,0.7,-0.396,
0.194,-36.9389,0.7,-0.394933,
0.196,-37.7318,0.6,-0.397155,
0.198,-38.5246,0.7,-0.396533,
0.2,-39.3309,0.6,-0.405244,
0.202,-40.1494,0.6,-0.410666,
0.204,-40.9783,0.7,-0.417244,
