Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3069,1.2,-0.001066,
0.002,-0.3057,1.2,0.0016,
0.004,-0.3057,1.2,-0.001066,
0.006,-0.3069,1.2,0.000533,
0.008,-0.3075,1.2,-0.002133,
0.01,-0.3112,1.1,-0.003288,
0.012,-0.3112,1.2,-0.002222,
0.014,-0.3087,1.2,0.001688,
0.016,-0.3118,1.2,-0.002755,
0.018,-0.3118,1.2,-0.0016,
0.02,-0.3149,1.2,-0.006044,
0.022,-0.313,1.1,-0.000533,
0.024,-0.3149,1.2,0.000533,
0.026,-0.3167,1.2,0,
0.028,-0.324,1.1,-0.004888,
0.03,-0.3264,0.6,-0.006488,
0.032,-0.346,0.5,-0.010311,
0.034,-0.3838,0.6,-0.017333,
0.036,-0.4351,0.7,-0.024977,
0.038,-0.4961,0.8,-0.032533,
0.04,-0.5651,0.9,-0.037422,
0.042,-0.6408,0.9,-0.039111,
0.044,-0.722,1,-0.0424,
0.046,-0.805,1.1,-0.038577,
0.048,-0.8953,1.1,-0.042311,
0.05,-0.9807,1.2,-0.043377,
0.052,-1.0686,1.2,-0.043911,
0.054,-1.1535,1.2,-0.040177,
0.056,-1.242,1.2,-0.045066,
0.058,-1.3207,1.2,-0.037955,
0.06,-1.4007,1.2,-0.039111,
0.062,-1.48,1.3,-0.038488,
0.064,-1.5581,1.2,-0.042844,
0.066,-1.6277,1.2,-0.040088,
0.068,-1.6985,1.2,-0.037955,
0.07,-1.7693,1.1,-0.039022,
0.072,-1.8438,1.2,-0.037422,
0.074,-1.9189,1,-0.036355,
0.076,-1.9939,1.1,-0.039555,
0.078,-2.0763,1,-0.041777,
0.08,-2.1636,1.1,-0.046133,
0.082,-2.2503,1,-0.044533,
0.084,-2.34,1,-0.0456,
0.086,-2.4431,1,-0.0504,
0.088,-2.5432,1,-0.052622,
0.09,-2.6482,1,-0.052088,
0.092,-2.7611,1,-0.055822,
0.094,-2.8753,1,-0.056977,
0.096,-2.9943,1,-0.060799,
0.098,-3.12,1,-0.063466,
0.1,-3.2439,1.1,-0.0656,
0.102,-3.3752,1.1,-0.069511,
0.104,-3.5058,1.1,-0.065688,
0.106,-3.6388,1.1,-0.067288,
0.108,-3.781,1,-0.071555,
0.11,-3.9239,1.1,-0.0744,
0.112,-4.0655,1,-0.076,
0.114,-4.2095,1.1,-0.074311,
0.116,-4.3597,1.1,-0.072711,
0.118,-4.511,1.1,-0.078133,
0.12,-4.6715,1.1,-0.085155,
0.122,-4.8223,1.1,-0.077066,
0.124,-4.9822,1,-0.0792,
0.126,-5.1482,1.1,-0.083022,
0.128,-5.3155,1.1,-0.087911,
0.13,-5.4784,1,-0.085155,
0.132,-5.6518,1.1,-0.085244,
0.134,-5.8275,1,-0.090044,
0.136,-6.0003,1.1,-0.086311,
0.138,-6.1828,1.1,-0.0912,
0.14,-6.3665,1,-0.093333,
0.142,-6.5508,1,-0.096,
0.144,-6.7394,1,-0.0928,
0.146,-6.9305,1,-0.096622,
0.148,-7.1245,1,-0.096533,
0.15,-7.3253,1.1,-0.0992,
0.152,-7.5255,1,-0.100355,
0.154,-7.73,1,-0.103644,
0.156,-7.9406,1,-0.106311,
0.158,-8.1524,1,-0.106933,
0.16,-8.3703,1,-0.110133,
0.162,-8.593,1,-0.111199,
0.164,-8.8183,1,-0.113955,
0.166,-9.0484,1,-0.115555,
0.168,-9.2803,1,-0.117155,
0.17,-9.5135,1.1,-0.116177,
0.172,-9.7515,1.1,-0.118844,
0.174,-9.9883,1,-0.120444,
0.176,-10.2306,1,-0.118222,
0.178,-10.4815,1.1,-0.123733,
0.18,-10.7329,1,-0.124711,
0.182,-10.9905,1,-0.130755,
0.184,-11.2481,1,-0.129688,
0.186,-11.5148,0.9,-0.137244,
0.188,-11.7809,1,-0.136711,
0.19,-12.0489,1,-0.136177,
0.192,-12.3308,1,-0.139911,
0.194,-12.6024,1,-0.136711,
0.196,-12.8808,1,-0.139466,
0.198,-13.1652,1,-0.1416,
0.2,-13.449,1,-0.142666,
0.202,-13.7292,0.9,-0.140533,
0.204,-14.0197,0.9,-0.144355,
0.206,-14.3066,1,-0.145955,
0.208,-14.5959,0.9,-0.144888,
