Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.1618,1.1,0.002133,
0.002,-0.1709,1.5,-0.0016,
0.004,-0.1673,1.1,0.0016,
0.006,-0.1715,1.2,-0.002666,
0.008,-0.1837,1,-0.007022,
0.01,-0.1929,1.1,-0.003288,
0.012,-0.1965,1,-0.0032,
0.014,-0.2062,0.8,-0.006488,
0.016,-0.2373,0.2,-0.017333,
0.018,-0.2904,0,-0.029777,
0.02,-0.382,0,-0.046666,
0.022,-0.5083,-0.1,-0.070488,
0.024,-0.6725,-0.2,-0.087288,
0.026,-0.8831,-0.3,-0.110133,
0.028,-1.1242,-0.3,-0.125866,
0.03,-1.4129,-0.2,-0.147022,
0.032,-1.7376,-0.2,-0.168711,
0.034,-2.0922,-0.1,-0.182311,
0.036,-2.4804,0,-0.196444,
0.038,-2.9076,0,-0.213688,
0.04,-3.3581,0,-0.226222,
0.042,-3.8348,0.2,-0.240888,
0.044,-4.3304,0.2,-0.250666,
0.046,-4.8559,0.3,-0.262044,
0.048,-5.4034,0.2,-0.274044,
0.05,-5.9734,0.3,-0.287555,
0.052,-6.5667,0.3,-0.297333,
0.054,-7.177,0.3,-0.304888,
0.056,-7.8045,0.2,-0.317422,
0.058,-8.4569,0.3,-0.3304,
0.06,-9.1357,0.3,-0.342933,
0.062,-9.8376,0.3,-0.355377,
0.064,-10.5718,0.2,-0.368355,
0.066,-11.339,0.2,-0.385155,
0.068,-12.13,0.1,-0.398222,
0.07,-12.9504,0.1,-0.411288,
0.072,-13.7951,0,-0.424266,
0.074,-14.6423,0,-0.428622,
0.076,-15.512,0,-0.434577,
0.078,-16.3988,0,-0.449688,
0.08,-17.3131,0,-0.462755,
0.082,-18.2561,-0.1,-0.471466,
0.084,-19.2425,-0.1,-0.495911,
0.086,-20.2648,-0.1,-0.518666,
0.088,-21.3293,0,-0.539288,
0.09,-22.4566,0.1,-0.568088,
0.092,-23.6278,0.4,-0.589688,
0.094,-24.8077,0.4,-0.591377,
0.096,-25.9753,0.5,-0.579466,
0.098,-27.1331,0.4,-0.575644,
0.1,-28.2799,0.3,-0.571288,
0.102,-29.4353,0.3,-0.576711,
0.104,-30.6084,0.1,-0.589688,
0.106,-31.8218,0,-0.614133,
0.108,-33.0962,0.1,-0.641777,
0.11,-34.4134,0.1,-0.661955,
0.112,-35.7464,0.1,-0.663555,
0.114,-37.0818,0.1,-0.665688,
0.116,-38.4179,0,-0.667911,
0.118,-39.7869,-0.2,-0.688977,
0.12,-41.1944,-0.3,-0.710755,
0.122,-42.6549,-0.2,-0.735111,
0.124,-44.1589,-0.1,-0.757422,
0.126,-45.6786,0,-0.760088,
0.128,-47.1966,-0.1,-0.760622,
0.13,-48.7249,-0.1,-0.767111,
0.132,-50.2953,0,-0.790488,
0.134,-51.9128,0,-0.815466,
0.136,-53.5796,0.1,-0.839822,
0.138,-55.2673,0.2,-0.843644,
0.14,-56.9396,0.1,-0.838222,
0.142,-58.6309,0,-0.847466,
0.144,-60.3771,0,-0.878311,
0.146,-62.1905,0.1,-0.915288,
0.148,-64.0258,-47.3,-0.913599,
0.15,-65.5572,-0.4,-0.680888,
0.152,-67.0556,3.7,-0.7248,
0.154,-68.3141,14.1,-0.594577,
0.156,-69.2504,-11.5,-0.432355,
0.158,-69.8608,6.5,-0.277777,
0.16,-70.1763,-6.2,-0.126933,
0.162,-70.2142,-12,0.010844,
0.164,-70.0378,-4.2,0.112266,
0.166,-69.721,-2.7,0.173066,
0.168,-69.3163,-4.3,0.209955,
0.17,-68.872,-7.2,0.222933,
0.172,-68.4179,-8.7,0.227288,
0.174,-67.9888,-9.4,0.211555,
0.176,-67.6165,-9.9,0.177955,
0.178,-67.3186,-10.9,0.139466,
0.18,-67.1105,-11.4,0.093866,
0.182,-67.0031,-12.2,0.041244,
0.184,-67.0061,-11.9,-0.011377,
0.186,-67.1203,-12.8,-0.069422,
0.188,-67.3424,-13.1,-0.124177,
0.19,-67.661,-13.4,-0.170311,
0.192,-68.0761,-13.8,-0.215911,
