Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3167,1.1,0.002666,
0.002,-0.3289,1.3,0.001066,
0.004,-0.3338,1.1,-0.003822,
0.006,-0.3509,0.4,-0.009244,
0.008,-0.3893,0.3,-0.019555,
0.01,-0.4485,0.2,-0.030933,
0.012,-0.5333,0.1,-0.046044,
0.014,-0.645,0.2,-0.059111,
0.016,-0.7793,0.1,-0.069422,
0.018,-0.9429,0.2,-0.082488,
0.02,-1.1272,0.1,-0.093866,
0.022,-1.3415,0.2,-0.106933,
0.024,-1.5825,0.1,-0.123111,
0.026,-1.8541,0.1,-0.137244,
0.028,-2.1459,0.2,-0.149244,
0.03,-2.4706,0.3,-0.165511,
0.032,-2.8106,0.3,-0.1736,
0.034,-3.1737,0.3,-0.186577,
0.036,-3.5637,0.3,-0.193688,
0.038,-3.9751,0.3,-0.206666,
0.04,-4.4042,0.3,-0.219733,
0.042,-4.8571,0.4,-0.228977,
0.044,-5.3307,0.2,-0.239288,
0.046,-5.8263,0.2,-0.251199,
0.048,-6.3494,0.3,-0.264266,
0.05,-6.8932,0.2,-0.275022,
0.052,-7.4596,0.2,-0.287022,
0.054,-8.0498,0.1,-0.297244,
0.056,-8.6742,0.1,-0.315733,
0.058,-9.3242,0,-0.328711,
0.06,-10.0121,0.1,-0.345066,
0.062,-10.7311,0.1,-0.363466,
0.064,-11.4904,0.1,-0.381955,
0.066,-12.2765,0.1,-0.398755,
0.068,-13.0895,0.1,-0.410133,
0.07,-13.9238,0.1,-0.418222,
0.072,-14.7667,0.1,-0.422577,
0.074,-15.6225,0,-0.430311,
0.076,-16.5001,0,-0.439377,
0.078,-17.4071,0,-0.455733,
0.08,-18.3391,0,-0.468711,
0.082,-19.3065,0,-0.488799,
0.084,-20.31,0,-0.506755,
0.086,-21.3543,0,-0.525244,
0.088,-22.4596,0.2,-0.557688,
0.09,-23.5979,0.4,-0.573422,
0.092,-24.757,0.6,-0.577777,
0.094,-25.9044,0.5,-0.571822,
0.096,-27.0385,0.5,-0.5664,
0.098,-28.1603,0.3,-0.560977,
0.1,-29.2846,0.3,-0.5648,
0.102,-30.4296,0.1,-0.574577,
0.104,-31.6155,0,-0.597866,
0.106,-32.8472,0.1,-0.622311,
0.108,-34.1363,0.1,-0.650577,
0.11,-35.443,0.1,-0.652088,
0.112,-36.7589,0,-0.658577,
0.114,-38.0712,0,-0.658133,
0.116,-39.4134,-0.2,-0.6744,
0.118,-40.7934,-0.3,-0.692888,
0.12,-42.2161,-0.2,-0.72,
0.122,-43.7023,-0.1,-0.747111,
0.124,-45.2019,0,-0.754133,
0.126,-46.7083,0,-0.753066,
0.128,-48.2195,0,-0.754133,
0.13,-49.7619,0,-0.775822,
0.132,-51.3512,0,-0.801333,
0.134,-52.9931,0.1,-0.827377,
0.136,-54.6599,0.2,-0.832177,
0.138,-56.3244,0.2,-0.829599,
0.14,-57.9931,0.1,-0.834488,
0.142,-59.6984,0,-0.860977,
0.144,-61.4708,0.1,-0.894044,
0.146,-63.2903,-1.2,-0.912533,
0.148,-65.0487,-1.7,-0.864266,
0.15,-66.4678,20.1,-0.773155,
0.152,-67.8222,8,-0.655911,
0.154,-68.8964,0.1,-0.503999,
0.156,-69.6331,16.2,-0.330933,
0.158,-70.078,-11.4,-0.186044,
0.16,-70.2349,-11.4,-0.0456,
0.162,-70.1439,-6.7,0.067822,
0.164,-69.8778,-1.9,0.148177,
0.166,-69.5043,-6.4,0.196977,
0.168,-69.0716,-6.8,0.222399,
0.17,-68.6193,-7.1,0.227822,
0.172,-68.1725,-8.6,0.221866,
0.174,-67.7703,-9.8,0.195288,
0.176,-67.4376,-10.6,0.157955,
0.178,-67.1782,-11.2,0.119377,
0.18,-67.0214,-11.7,0.0656,
0.182,-66.9719,-12.3,0.013599,
0.184,-67.0366,-12.4,-0.042844,
0.186,-67.2039,-13.1,-0.096088,
0.188,-67.4877,-13.3,-0.151911,
0.19,-67.8643,-13.7,-0.200177,
0.192,-68.3263,-14.3,-0.241955,
0.194,-68.7871,-14.3,-0.209422,
0.196,-69.3169,-9,-0.257155,
0.198,-69.8003,-8.6,-0.235466,
0.2,-70.2245,-14.4,-0.2024,
0.202,-70.5407,-27.3,-0.147555,
0.204,-70.6872,-34.3,-0.056444,
0.206,-70.6707,-32,0.024355,
0.208,-70.5285,-24.2,0.081333,
0.21,-70.3368,-15.8,0.101422,
0.212,-70.1323,-11.2,0.104177,
0.214,-69.912,-8.4,0.112888,
0.216,-69.6734,-8,0.122044,
0.218,-69.4042,-8.6,0.135644,
0.22,-69.1002,-8,0.1552,
0.222,-68.7615,-7.4,0.173066,
0.224,-68.3874,-6.5,0.189866,
0.226,-67.9705,-6.3,0.212622,
0.228,-67.5182,-5.6,0.229511,
0.23,-67.0403,-4.9,0.240888,
0.232,-66.5459,-4.1,0.251199,
0.234,-66.0357,-3.5,0.257155,
0.236,-65.5132,-2.5,0.264177,
0.238,-64.9859,-1.6,0.265777,
0.24,-64.5775,-7,0.222488,
0.242,-64.2016,-5.9,0.179555,
0.244,-63.9635,-6,0.101511,
0.246,-63.8707,-5.4,0.031466,
0.248,-63.9116,-4.1,-0.0336,
0.25,-64.0618,-4.1,-0.084088,
0.252,-64.2901,-3.5,-0.120444,
0.254,-64.5812,-3.7,-0.152977,
0.256,-64.9322,-3.4,-0.181777,
0.258,-65.3209,-3.7,-0.196355,
0.26,-65.7366,-4.2,-0.212177,
0.262,-66.1681,-4.8,-0.215377,
0.264,-66.6009,-5.3,-0.213777,
0.266,-67.025,-6.1,-0.213155,
0.268,-67.4364,-7,-0.204533,
0.27,-67.8368,-7.7,-0.198044,
0.272,-68.2232,-8.7,-0.193155,
0.274,-68.6022,-9.7,-0.1872,
0.276,-68.9763,-10.7,-0.187111,
0.278,-69.3413,-11.8,-0.179555,
0.28,-69.7173,-13,-0.188266,
0.282,-70.0994,-14.3,-0.193688,
0.284,-70.4137,-25.8,-0.126933,
0.286,-70.692,-36.1,-0.125333,
0.288,-70.8184,-44.8,-0.041777,
0.29,-70.7665,-39.9,0.043911,
0.292,-70.595,-28.1,0.096,
0.294,-70.3801,-16.9,0.107999,
0.296,-70.1629,-12.2,0.104177,
0.298,-69.9499,-10.7,0.104622,
0.3,-69.7509,-9.6,0.098755,
0.302,-69.5519,-10.4,0.101955,
0.304,-69.3493,-9.7,0.100888,
0.306,-69.1247,-9.2,0.110133,
0.308,-68.8884,-8.4,0.119377,
0.31,-68.6333,-8,0.131822,
0.312,-68.3562,-7.3,0.139466,
0.314,-68.0523,-6.8,0.155111,
0.316,-67.7233,-6.2,0.168177,
0.318,-67.3632,-5.5,0.183377,
0.32,-66.989,-4.8,0.1888,
0.322,-66.5911,-4.1,0.199111,
0.324,-66.1919,-3.1,0.201866,
0.326,-65.7818,-2,0.205599,
0.328,-65.3533,-0.8,0.216444,
0.33,-65.0255,-6.5,0.162755,
0.332,-64.7051,-5,0.1552,
0.334,-64.4756,-5.5,0.102044,
0.336,-64.359,-5.2,0.048355,
0.338,-64.3456,-4.3,-0.004355,
0.34,-64.4195,-4.5,-0.0472,
0.342,-64.5598,-4.2,-0.080266,
0.344,-64.7661,-4,-0.108444,
0.346,-65.0219,-4.1,-0.133511,
0.348,-65.3124,-4.4,-0.150311,
0.35,-65.6231,-4.8,-0.161155,
0.352,-65.9508,-5.4,-0.165422,
0.354,-66.2926,-6,-0.1736,
0.356,-66.6588,-6.5,-0.186044,
0.358,-67.0507,-7.2,-0.199111,
0.36,-67.4578,-8,-0.204533,
0.362,-67.8771,-8.6,-0.207822,
0.364,-68.3062,-9.6,-0.216533,
0.366,-68.7462,-10.5,-0.220799,
0.368,-69.2003,-11.3,-0.227288,
0.37,-69.6563,-12.4,-0.230577,
0.372,-70.1201,-13.8,-0.232177,
0.374,-70.5083,-28.5,-0.168711,
0.376,-70.822,-45.2,-0.147555,
0.378,-70.9472,-52.1,-0.032622,
0.38,-70.8471,-46.7,0.073777,
0.382,-70.6078,-28.9,0.131822,
0.384,-70.3332,-15.6,0.138311,
0.386,-70.0799,-11.6,0.125244,
0.388,-69.8467,-12.1,0.113955,
0.39,-69.6306,-10.5,0.106399,
0.392,-69.4127,-10.2,0.107466,
0.394,-69.1948,-10,0.109599,
0.396,-68.9684,-9.5,0.114488,
0.398,-68.7273,-8.9,0.120977,
0.4,-68.4777,-8.3,0.125866,
0.402,-68.2067,-7.8,0.138311,
0.404,-67.921,-6.9,0.144888,
0.406,-67.6153,-6.3,0.154577,
0.408,-67.2899,-5.4,0.164977,
0.41,-66.9524,-4.6,0.1704,
0.412,-66.6039,-3.6,0.177422,
0.414,-66.2371,-2.7,0.184977,
0.416,-65.8507,-1.8,0.196444,
0.418,-65.4418,-0.7,0.206133,
0.42,-65.1207,-5.5,0.140533,
0.422,-64.7838,-5,0.162222,
0.424,-64.5348,-5.6,0.115555,
0.426,-64.3969,-5.3,0.055288,
0.428,-64.3676,-4.7,0.002133,
0.43,-64.4298,-4.5,-0.039555,
0.432,-64.569,-4.2,-0.074311,
0.434,-64.7667,-4.1,-0.103022,
0.436,-65.0121,-4.3,-0.124799,
0.438,-65.2916,-4.6,-0.145333,
0.44,-65.5968,-4.9,-0.158933,
0.442,-65.927,-5.4,-0.171377,
0.444,-66.2719,-5.9,-0.176355,
0.446,-66.6399,-6.5,-0.187733,
0.448,-67.0269,-7.3,-0.195911,
0.45,-67.4315,-8,-0.205599,
0.452,-67.8515,-8.6,-0.212711,
0.454,-68.2866,-9.6,-0.221333,
0.456,-68.7346,-10.5,-0.227822,
0.458,-69.204,-11.4,-0.236533,
0.46,-69.685,-12.5,-0.243111,
0.462,-70.172,-13.9,-0.246844,
