Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3167,-5.2,-2.699,0.001066,
0.005,-0.2282,-4.2,9.004,0.030933,
0.01,-0.1435,-5.8,-17.303,-0.009244,
0.015,-0.163,-5.2,1.825,0.004355,
0.02,-0.1648,-4.7,-2.166,-0.0032,
0.025,-0.1624,-5.1,-0.562,0.000533,
0.03,-0.163,-5.1,-1.678,-0.003288,
0.035,-0.1648,-5.1,4.248,0.001688,
0.04,-0.1661,-5.1,-1.19,-0.002755,
0.045,-0.163,-5.2,1.738,0.003822,
0.05,-0.1685,-5.1,-2.325,-0.003822,
0.055,-0.1667,-5.1,-2.363,0.0016,
0.06,-0.1789,-5.1,-0.477,-0.008177,
0.065,-0.1855,-5.1,3.717,-0.002133,
0.07,-0.1916,-5.2,0.36,-0.001066,
0.075,-0.2026,-5.3,-1.223,-0.002755,
0.08,-0.2441,-5.4,-3.009,-0.010844,
0.085,-0.3259,-5.4,1.433,-0.016266,
0.09,-0.451,-5.3,-1.874,-0.026577,
0.095,-0.6005,-5.3,-2.458,-0.031466,
0.1,-0.7672,-5.2,1.019,-0.035822,
0.105,-0.9368,-5.1,-2.148,-0.030311,
0.11,-1.0998,-5.1,1.918,-0.030933,
0.115,-1.2524,-5.1,-0.591,-0.028799,
0.12,-1.4025,-5.1,-0.801,-0.029244,
0.125,-1.5508,-5.2,-2.689,-0.026577,
0.13,-1.7108,-5.2,-7.179,-0.034755,
0.135,-1.8768,-5.2,-3.279,-0.031999,
0.14,-2.055,-5.2,-4.67,-0.037955,
0.145,-2.246,-5.2,-3.514,-0.040622,
0.15,-2.4505,-5.1,-1.197,-0.039555,
0.155,-2.658,-5.2,3.153,-0.039022,
0.16,-2.879,-5.1,4.262,-0.044,
0.165,-3.0987,-5.2,-3.709,-0.041244,
0.17,-3.338,-5.2,4.08,-0.049955,
0.175,-3.5772,-5.2,-2.14,-0.0504,
0.18,-3.8226,-5.2,1.257,-0.049422,
0.185,-4.0667,-5.2,-5.087,-0.047733,
0.19,-4.3273,-5.2,-7.286,-0.057511,
0.195,-4.5928,-5.2,-1.012,-0.054755,
0.2,-4.8748,-5.2,0.825,-0.060177,
0.205,-5.1592,-5.2,-0.187,-0.055822,
0.21,-5.4577,-5.2,0.846,-0.061333,
0.215,-5.7611,-5.2,4.913,-0.057511,
0.22,-6.0699,-5.2,-4.179,-0.063466,
0.225,-6.3842,-5.2,3.932,-0.055822,
0.23,-6.7132,-5.2,-0.298,-0.067288,
0.235,-7.0373,-5.2,-1.334,-0.063999,
0.24,-7.3687,-5.2,-2.233,-0.067288,
0.245,-7.7111,-5.2,-0.675,-0.068355,
