Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.1562,-5.1,-0.599,-0.000533,
0.005,-0.1568,-5,1.645,0.001066,
0.01,-0.158,-5.2,-3.404,-0.0032,
0.015,-0.1562,-5.1,-0.302,0,
0.02,-0.1599,-5.2,-2.187,-0.001688,
0.025,-0.1562,-5.1,3.589,0.004355,
0.03,-0.1599,-5.1,-0.333,-0.001688,
0.035,-0.1605,-5.1,3.095,0.001066,
0.04,-0.1611,-5.2,-0.689,0.000533,
0.045,-0.1586,-5.1,1.919,0.001688,
0.05,-0.1617,-5.1,-0.79,0.0016,
0.055,-0.1623,-5.1,0.762,-0.0016,
0.06,-0.1709,-5.2,-3.502,-0.002222,
0.065,-0.177,-5.1,4.592,0.002133,
0.07,-0.1806,-5.1,-2.277,-0.0016,
0.075,-0.1812,-5.1,2.752,0.001066,
0.08,-0.1994,-5.4,-4.636,-0.005955,
0.085,-0.2654,-5.5,-0.119,-0.016355,
0.09,-0.4051,-5.4,-4.8,-0.029244,
0.095,-0.5772,-5.2,0.019,-0.034133,
0.1,-0.775,-5.2,-3.398,-0.041244,
0.105,-0.9624,-5,2.666,-0.033155,
0.11,-1.1504,-5,-0.036,-0.034222,
0.115,-1.3133,-4.9,2.442,-0.029244,
0.12,-1.4647,-5,1.737,-0.029333,
0.125,-1.6032,-5.1,1.263,-0.027644,
0.13,-1.7436,-5.1,-1.109,-0.027644,
0.135,-1.898,-5.2,-4.692,-0.036888,
0.14,-2.0677,-5.2,-6.355,-0.038488,
0.145,-2.2496,-5.2,2.274,-0.036888,
0.15,-2.4596,-5.2,-2.612,-0.0472,
0.155,-2.6738,-5.1,5.725,-0.046133,
0.16,-2.8966,-5.2,-4.704,-0.046666,
0.165,-3.1206,-5.2,-1.891,-0.046666,
0.17,-3.355,-5.2,-2.728,-0.051022,
0.175,-3.5973,-5.2,2.914,-0.051022,
0.18,-3.8493,-5.2,0.83,-0.052088,
0.185,-4.1069,-5.1,0.726,-0.051022,
0.19,-4.3712,-5.2,-7.029,-0.056977,
0.195,-4.6397,-5.1,-3.133,-0.057422,
0.2,-4.9193,-5.1,-8.538,-0.060799,
0.205,-5.2037,-5.1,5.071,-0.058577,
0.21,-5.4955,-5.2,1.704,-0.059199,
0.215,-5.7964,-5.1,3.717,-0.060266,
0.22,-6.1021,-5.2,-2.337,-0.062933,
0.225,-6.4171,-5.1,3.799,-0.061866,
0.23,-6.7375,-5.2,0.216,-0.063466,
0.235,-7.0628,-5.2,0.84,-0.063999,
0.24,-7.4034,-5.2,-3.812,-0.071022,
0.245,-7.7464,-5.1,0.495,-0.068888,
0.25,-8.1011,-5.2,-2.724,-0.071644,
0.255,-8.4685,-5.2,2.344,-0.073244,
0.26,-8.8396,-5.1,-5.661,-0.0776,
0.265,-9.2113,-5.2,2.774,-0.073777,
0.27,-9.5921,-5.2,-0.372,-0.076444,
0.275,-9.9828,-5.2,1.67,-0.0792,
0.28,-10.3838,-5.2,0.065,-0.080888,
0.285,-10.7896,-5.2,6.519,-0.080266,
0.29,-11.2035,-5.2,-0.144,-0.080888,
0.295,-11.6203,-5.2,0.765,-0.085155,
0.3,-12.0464,-5.2,2.723,-0.082488,
0.305,-12.4797,-5.2,3.601,-0.088977,
0.31,-12.9063,-5.2,-5.952,-0.085688,
0.315,-13.3458,-5.2,-2.868,-0.090044,
0.32,-13.7889,-5.2,-2.948,-0.090577,
0.325,-14.2326,-5.2,2.668,-0.086222,
0.33,-14.688,-5.2,0.793,-0.089511,
0.335,-15.1408,-5.2,-1.639,-0.091111,
0.34,-15.5919,-5.3,-0.783,-0.088977,
0.345,-16.0594,-5.2,2.701,-0.091644,
0.35,-16.527,-5.3,-1.698,-0.0912,
0.355,-17.0012,-5.2,-2.96,-0.096533,
0.36,-17.4718,-5.2,-3.019,-0.095466,
0.365,-17.9466,-5.2,-0.742,-0.095466,
0.37,-18.4172,-5.2,2.461,-0.091644,
0.375,-18.8933,-5.2,-0.152,-0.097155,
0.38,-19.3614,-5.2,1.005,-0.090577,
0.385,-19.8338,-5.2,3.136,-0.091111,
0.39,-20.3111,-5.2,1.585,-0.094933,
0.395,-20.7872,-5.2,1.416,-0.090044,
0.4,-21.2688,-5.2,-3.663,-0.099822,
0.405,-21.7534,-5.2,0.272,-0.100888,
0.41,-22.2356,-5.2,0.739,-0.092266,
0.415,-22.73,-5.2,2.758,-0.093866,
0.42,-23.2195,-5.2,-0.265,-0.097688,
0.425,-23.7041,-5.3,-2.969,-0.097155,
0.43,-24.1869,-5.3,1.116,-0.096088,
0.435,-24.6739,-5.3,1.776,-0.098755,
0.44,-25.1585,-5.3,-4.209,-0.0992,
0.445,-25.6401,-5.3,0.578,-0.095466,
0.45,-26.1345,-5.4,-4.319,-0.102577,
0.455,-26.6277,-5.3,3.29,-0.098222,
0.46,-27.119,-5.3,-1.337,-0.098222,
0.465,-27.6073,-5.3,-0.667,-0.098222,
0.47,-28.1059,-5.3,-0.703,-0.100355,
0.475,-28.6119,-5.3,1.177,-0.100888,
0.48,-29.1228,-5.2,-0.131,-0.102577,
0.485,-29.6336,-5.3,-0.002,-0.103022,
0.49,-30.1518,-5.2,-2.037,-0.103022,
0.495,-30.6731,-5.3,1.366,-0.104177,
0.5,-31.1949,-5.2,-1.077,-0.102488,
0.505,-31.7253,-5.2,3.271,-0.104177,
0.51,-32.2551,-5.2,1.356,-0.105244,
0.515,-32.7776,-5.2,-1.42,-0.107466,
0.52,-33.2976,-5.2,0.559,-0.103644,
0.525,-33.8158,-5.3,-2.146,-0.104177,
0.53,-34.3395,-5.2,0.761,-0.104711,
0.535,-34.8589,-5.2,1.656,-0.099288,
0.54,-35.3807,-5.3,1.024,-0.103644,
0.545,-35.8995,-5.3,3.147,-0.101955,
0.55,-36.4238,-5.3,1.154,-0.105777,
0.555,-36.9426,-5.3,-3.734,-0.105244,
0.56,-37.4638,-5.2,2.012,-0.104088,
0.565,-37.9833,-5.2,-0.172,-0.104711,
0.57,-38.4953,-5.2,1.708,-0.103022,
0.575,-39.0093,-5.2,2.298,-0.103644,
0.58,-39.5079,-5.2,1.316,-0.097688,
0.585,-40.0115,-5.2,-1.923,-0.100444,
0.59,-40.5138,-5.2,1.342,-0.099288,
0.595,-41.0161,-5.2,-1.383,-0.102577,
0.6,-41.516,-5.2,1.985,-0.100977,
0.605,-42.0171,-5.2,-6.747,-0.103111,
0.61,-42.5072,-5.1,-0.362,-0.097688,
0.615,-42.9924,-5.2,1.048,-0.0928,
0.62,-43.4734,-5.2,-0.476,-0.095555,
0.625,-43.9488,-5.2,-0.957,-0.0944,
0.63,-44.42,-5.2,2.407,-0.094933,
0.635,-44.8906,-5.2,6.296,-0.090044,
0.64,-45.3569,-5.2,3.412,-0.0944,
0.645,-45.8177,-5.2,-3.837,-0.094933,
0.65,-46.2749,-5.2,-1.058,-0.0912,
0.655,-46.7369,-5.2,-3.622,-0.097066,
0.66,-47.188,-5.2,1.484,-0.091733,
0.665,-47.639,-5.2,-1.531,-0.0928,
0.67,-48.0846,-5.2,1.778,-0.090044,
0.675,-48.5332,-5.2,-1.763,-0.088444,
0.68,-48.9757,-5.2,2.294,-0.088977,
0.685,-49.4145,-5.2,-3.638,-0.088977,
0.69,-49.8448,-5.1,0.497,-0.084622,
0.695,-50.2751,-5.2,0.195,-0.085155,
0.7,-50.6999,-5.2,2.69,-0.083555,
0.705,-51.1211,-5.2,1.249,-0.079822,
0.71,-51.5343,-5.1,3.115,-0.083022,
0.715,-51.9487,-5.2,-2.313,-0.085688,
0.72,-52.357,-5.1,4.128,-0.083555,
0.725,-52.7593,-5.2,1.716,-0.076,
0.73,-53.1664,-5.2,1.28,-0.083022,
0.735,-53.56,-5.2,-3.087,-0.082933,
0.74,-53.9519,-5.2,1.158,-0.0792,
0.745,-54.3382,-5.2,0.165,-0.076444,
0.75,-54.7197,-5.2,5.442,-0.073777,
0.755,-55.1018,-5.2,-3.349,-0.078133,
0.76,-55.4698,-5.2,-2.042,-0.074844,
0.765,-55.8293,-5.2,1.248,-0.073244,
0.77,-56.1815,-5.1,1.216,-0.069955,
0.775,-56.527,-5.2,-1.502,-0.070044,
0.78,-56.8614,-5.2,-2.309,-0.066666,
0.785,-57.1886,-5.2,-0.509,-0.064622,
0.79,-57.5066,-5.2,-0.998,-0.062933,
0.795,-57.8215,-5.2,2.139,-0.064533,
0.8,-58.1279,-5.2,2.869,-0.060799,
0.805,-58.4325,-5.2,-0.572,-0.059733,
0.81,-58.7291,-5.2,1.972,-0.058044,
0.815,-59.019,-5.2,-0.645,-0.058577,
0.82,-59.301,-5.2,0.156,-0.055911,
0.825,-59.5683,-5.2,-1.42,-0.053155,
0.83,-59.8302,-5.2,-2.839,-0.053155,
0.835,-60.0823,-5.2,-0.515,-0.051022,
0.84,-60.3307,-5.2,1.306,-0.051555,
0.845,-60.5669,-5.2,-1.412,-0.048266,
0.85,-60.7964,-5.2,0.725,-0.044,
0.855,-61.0259,-5.2,0.106,-0.043466,
0.86,-61.2462,-5.2,4.416,-0.040711,
0.865,-61.4592,-5.2,0.242,-0.040711,
0.87,-61.6649,-5.2,3.282,-0.040177,
0.875,-61.862,-5.2,3.134,-0.037955,
0.88,-62.047,-5.2,4.426,-0.034755,
0.885,-62.2295,-5.2,-1.595,-0.035822,
0.89,-62.4028,-5.2,2.774,-0.035288,
0.895,-62.5584,-5.2,-0.907,-0.029777,
0.9,-62.711,-5.2,7.798,-0.024355,
0.905,-62.8661,-5.2,-5.338,-0.029866,
0.91,-63.0022,-5.2,1.467,-0.024444,
0.915,-63.1352,-5.3,-7.448,-0.026044,
0.92,-63.2542,-5.3,4.965,-0.02,
0.925,-63.3757,-5.6,-3.465,-0.026044,
0.93,-63.474,-6.3,2.563,-0.0168,
0.935,-63.5552,-6.5,-8.327,-0.014666,
0.94,-63.6308,-6.4,5.024,-0.014577,
0.945,-63.7053,-6.4,4.209,-0.011911,
0.95,-63.7834,-6.5,-0.626,-0.0168,
0.955,-63.8585,-6.6,-4.523,-0.014666,
0.96,-63.9238,-6.6,5.057,-0.011377,
0.965,-63.9836,-6.7,-1.139,-0.013511,
0.97,-64.0337,-6.6,4.345,-0.006577,
0.975,-64.0697,-6.6,-3.938,-0.008711,
0.98,-64.0947,-6.6,4.684,-0.003822,
0.985,-64.1118,-6.6,-3.349,-0.003288,
0.99,-64.1191,-6.5,4.009,-0.001066,
0.995,-64.1222,-6.5,0.557,0,
1,-64.1258,-6.6,-1.277,-0.0032,
1.005,-64.171,-6.6,-4.115,-0.011911,
1.01,-64.3034,-6.6,-3.307,-0.033066,
1.015,-64.5244,-6.6,-6.826,-0.052088,
1.02,-64.8418,-6.6,-3.789,-0.067822,
1.025,-65.2501,-6.6,-6.526,-0.088444,
1.03,-65.7311,-6.8,0.573,-0.099822,
1.035,-66.2779,-7.3,-2.643,-0.112266,
1.04,-66.87,-7.4,-2.077,-0.119911,
1.045,-67.4883,-7.3,-0.934,-0.125333,
1.05,-68.1163,-8.1,3.051,-0.125866,
