Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3215,-5.1,-6.801,0.006044,
0.005,-0.2196,-4.3,9.542,0.033688,
0.01,-0.1568,-5,-15.544,-0.012444,
0.015,-0.1672,-5.2,6.694,0.007111,
0.02,-0.1727,-4.8,-0.208,-0.004355,
0.025,-0.1666,-5.1,0.352,0,
0.03,-0.169,-5.2,-2.953,-0.000533,
0.035,-0.1697,-5,-1.305,-0.002222,
0.04,-0.1733,-5.1,-2.685,-0.003822,
0.045,-0.169,-5.2,-1.071,0,
0.05,-0.1733,-5.2,-1.554,-0.0016,
0.055,-0.169,-5.1,3.767,0.004888,
0.06,-0.1825,-5.1,-4.878,-0.005422,
0.065,-0.1885,-5.1,3.551,0,
0.07,-0.2019,-5.2,-4.541,-0.003288,
0.075,-0.2147,-5.2,2.948,-0.002133,
0.08,-0.2587,-5.4,-5.636,-0.013066,
0.085,-0.349,-5.3,4.246,-0.0184,
0.09,-0.4735,-5.2,-0.489,-0.026577,
0.095,-0.6163,-5.2,3.313,-0.030311,
0.1,-0.7775,-5.1,-5.545,-0.035822,
0.105,-0.9404,-5.1,1.381,-0.030933,
0.11,-1.1071,-5,-1.521,-0.032622,
0.115,-1.2596,-5.1,-1.069,-0.030311,
0.12,-1.4159,-5.2,-6.203,-0.030933,
0.125,-1.5721,-5.1,-1.168,-0.031466,
0.13,-1.7308,-5.2,0.211,-0.031999,
0.135,-1.8956,-5.2,-1.743,-0.034666,
0.14,-2.0757,-5.2,-0.221,-0.038488,
0.145,-2.2625,-5.2,0.967,-0.038044,
0.15,-2.47,-5.2,-2.766,-0.044533,
0.155,-2.6787,-5.2,6.903,-0.040177,
0.16,-2.9003,-5.2,-3.723,-0.0456,
0.165,-3.1212,-5.1,5.83,-0.039022,
0.17,-3.3635,-5.2,-4.55,-0.0504,
0.175,-3.5967,-5.2,3.917,-0.042844,
0.18,-3.8457,-5.2,-0.767,-0.047733,
0.185,-4.0972,-5.2,3.612,-0.047733,
0.19,-4.3523,-5.2,1.435,-0.0488,
0.195,-4.6221,-5.2,3.558,-0.051555,
0.2,-4.9047,-5.2,-5.898,-0.056444,
0.205,-5.1958,-5.2,2.274,-0.060177,
0.21,-5.4863,-5.2,-4.144,-0.058577,
0.215,-5.7848,-5.2,5.3,-0.061333,
0.22,-6.0887,-5.2,-4.503,-0.063466,
0.225,-6.4006,-5.2,5.192,-0.060711,
0.23,-6.726,-5.2,-0.738,-0.067288,
0.235,-7.0549,-5.2,3.923,-0.063466,
0.24,-7.3949,-5.2,-3.085,-0.069955,
0.245,-7.7404,-5.2,1.694,-0.067822,
0.25,-8.1011,-5.2,-2.7,-0.073244,
0.255,-8.463,-5.1,0.631,-0.068888,
0.26,-8.8408,-5.2,-2.807,-0.076444,
0.265,-9.2131,-5.2,1.826,-0.072088,
0.27,-9.5983,-5.2,-2.498,-0.0776,
0.275,-9.9865,-5.2,3.049,-0.078666,
0.28,-10.3856,-5.2,0.406,-0.0808,
0.285,-10.7885,-5.2,1.589,-0.082488,
0.29,-11.2017,-5.2,-6.143,-0.083555,
0.295,-11.6112,-5.2,4.962,-0.076444,
0.3,-12.0336,-5.2,-1.705,-0.084088,
0.305,-12.4559,-5.2,3.953,-0.082933,
0.31,-12.8893,-5.2,-0.653,-0.089511,
0.315,-13.3306,-5.2,4.483,-0.088444,
0.32,-13.7773,-5.3,-4.607,-0.093244,
0.325,-14.2278,-5.3,-0.616,-0.090044,
0.33,-14.6856,-5.3,-1.815,-0.090666,
0.335,-15.1427,-5.3,-0.538,-0.0928,
0.34,-15.6041,-5.3,0.224,-0.093244,
0.345,-16.0643,-5.2,1.277,-0.089511,
0.35,-16.5325,-5.3,0.773,-0.0928,
0.355,-17.0006,-5.2,0.65,-0.096533,
0.36,-17.4657,-5.2,-0.327,-0.093866,
0.365,-17.9296,-5.2,0.112,-0.0928,
0.37,-18.3959,-5.3,0.156,-0.0944,
0.375,-18.8665,-5.2,-2.098,-0.0944,
0.38,-19.3438,-5.3,0.829,-0.092266,
0.385,-19.8247,-5.2,1.178,-0.0944,
0.39,-20.3087,-5.3,-1.778,-0.101422,
0.395,-20.7939,-5.2,7.094,-0.094933,
0.4,-21.2792,-5.3,1.157,-0.095466,
0.405,-21.7669,-5.3,1.376,-0.097155,
0.41,-22.2551,-5.2,-3.726,-0.102488,
0.415,-22.7367,-5.2,5.3,-0.0928,
0.42,-23.2231,-5.2,-4.088,-0.098666,
0.425,-23.6974,-5.3,0.713,-0.091111,
0.43,-24.1716,-5.3,-1.772,-0.093244,
0.435,-24.6453,-5.3,3.275,-0.093333,
0.44,-25.1299,-5.4,0.301,-0.092266,
0.445,-25.6212,-5.4,2.488,-0.094933,
0.45,-26.1205,-5.3,-1.659,-0.103644,
0.455,-26.6228,-5.3,-0.066,-0.102488,
0.46,-27.127,-5.3,0.421,-0.103111,
0.465,-27.6287,-5.3,0.828,-0.100355,
0.47,-28.1292,-5.4,-3.905,-0.102577,
0.475,-28.6351,-5.3,0.743,-0.103555,
0.48,-29.1411,-5.3,-3.337,-0.106311,
0.485,-29.6447,-5.3,-0.483,-0.102044,
0.49,-30.1488,-5.3,-2.122,-0.101955,
0.495,-30.6621,-5.3,-0.531,-0.106844,
0.5,-31.1827,-5.3,2.569,-0.104088,
0.505,-31.7101,-5.3,2.61,-0.105244,
0.51,-32.2454,-5.2,-0.179,-0.107466,
0.515,-32.7782,-5.3,-2.176,-0.107999,
0.52,-33.3055,-5.2,1.044,-0.103555,
0.525,-33.8329,-5.2,-0.225,-0.103111,
0.53,-34.3541,-5.2,4.188,-0.100355,
0.535,-34.8705,-5.2,0.192,-0.100888,
0.54,-35.3899,-5.3,-2.796,-0.103111,
0.545,-35.9063,-5.2,2.332,-0.102577,
0.55,-36.4159,-5.3,-0.893,-0.101422,
0.555,-36.9304,-5.3,-2.22,-0.102488,
0.56,-37.4468,-5.3,-0.643,-0.103111,
0.565,-37.965,-5.3,0.661,-0.103111,
0.57,-38.4838,-5.2,-0.536,-0.104711,
0.575,-39.0007,-5.2,-0.116,-0.101955,
0.58,-39.5159,-5.2,1.6,-0.100977,
0.585,-40.0237,-5.2,-2.675,-0.100888,
0.59,-40.5291,-5.2,0.503,-0.097688,
0.595,-41.0308,-5.2,-4.84,-0.104177,
0.6,-41.5227,-5.2,0.878,-0.097066,
0.605,-42.0134,-5.1,1.328,-0.098133,
0.61,-42.4987,-5.2,-0.516,-0.096088,
0.615,-42.9729,-5.2,-3.337,-0.098222,
0.62,-43.4545,-5.2,1.954,-0.096622,
0.625,-43.9342,-5.2,-1.564,-0.096533,
0.63,-44.4097,-5.2,0.467,-0.093866,
0.635,-44.8882,-5.2,-1.196,-0.094933,
0.64,-45.3594,-5.2,0.056,-0.091733,
0.645,-45.8226,-5.2,-0.405,-0.089511,
0.65,-46.2828,-5.2,0.08,-0.092177,
0.655,-46.7418,-5.2,0.52,-0.090577,
0.66,-47.1917,-5.1,2.567,-0.088444,
0.665,-47.6372,-5.2,0.452,-0.089511,
0.67,-48.0785,-5.2,-0.413,-0.088444,
0.675,-48.5179,-5.2,-0.247,-0.089511,
0.68,-48.9568,-5.2,-2.551,-0.090577,
0.685,-49.3956,-5.2,-1.634,-0.087288,
0.69,-49.8345,-5.2,1.901,-0.087377,
0.695,-50.2672,-5.2,-5.351,-0.088444,
0.7,-50.6963,-5.2,-0.398,-0.083555,
0.705,-51.1272,-5.2,-0.758,-0.086844,
0.71,-51.5526,-5.1,-4.493,-0.086755,
0.715,-51.967,-5.2,-3.035,-0.085155,
0.72,-52.3717,-5.2,4.583,-0.076533,
0.725,-52.7727,-5.2,7.779,-0.075377,
0.73,-53.1737,-5.2,-0.805,-0.080266,
0.735,-53.5637,-5.2,1.398,-0.076444,
0.74,-53.9495,-5.2,2.09,-0.075466,
0.745,-54.3334,-5.2,3.097,-0.076,
0.75,-54.7039,-5.2,5.937,-0.072177,
0.755,-55.0768,-5.2,-4.059,-0.073777,
0.76,-55.4479,-5.2,0.242,-0.074311,
0.765,-55.8117,-5.2,2.288,-0.068977,
0.77,-56.1681,-5.2,-1.286,-0.069955,
0.775,-56.5203,-5.2,-1.894,-0.071111,
0.78,-56.8596,-5.2,1.301,-0.065066,
0.785,-57.1923,-5.3,-0.217,-0.065688,
0.79,-57.517,-5.2,1.305,-0.064622,
0.795,-57.835,-5.2,-1.524,-0.064088,
0.8,-58.1408,-5.2,-1.157,-0.060799,
0.805,-58.4417,-5.2,-1.012,-0.058666,
0.81,-58.7346,-5.2,2.021,-0.059111,
0.815,-59.0203,-5.2,-0.197,-0.054311,
0.82,-59.2986,-5.2,1.271,-0.053688,
0.825,-59.5684,-5.2,-2.031,-0.055911,
0.83,-59.8247,-5.2,2.848,-0.049866,
0.835,-60.0725,-5.2,3.175,-0.046133,
0.84,-60.3167,-5.3,-0.628,-0.049422,
0.845,-60.5535,-5.3,-2.74,-0.048888,
0.85,-60.7854,-5.2,2.639,-0.044444,
0.855,-61.0179,-5.2,-3.699,-0.0488,
0.86,-61.2383,-5.2,2.258,-0.042311,
0.865,-61.4568,-5.2,-2.418,-0.043911,
0.87,-61.6655,-5.2,2.521,-0.040622,
0.875,-61.8627,-5.2,1.79,-0.037955,
0.88,-62.0494,-5.2,-1.353,-0.041155,
0.885,-62.2289,-5.2,0.505,-0.035822,
0.89,-62.3973,-5.3,0.97,-0.0336,
0.895,-62.5591,-5.3,-5.58,-0.035288,
0.9,-62.7105,-5.2,1.667,-0.027733,
0.905,-62.8667,-5.3,-2.927,-0.0336,
0.91,-63.0132,-5.2,3.467,-0.032533,
