Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3191,-5.1,-6.084,0.007555,
0.005,-0.2178,-4.3,9.252,0.034133,
0.01,-0.1495,-5.1,-18.129,-0.015199,
0.015,-0.1623,-5.3,4.342,0.006577,
0.02,-0.1648,-4.8,-0.748,-0.001688,
0.025,-0.1629,-5,1.872,0.000622,
0.03,-0.1636,-5.1,-1.185,0.001066,
0.035,-0.1636,-5,4.272,0.001066,
0.04,-0.166,-5.1,-0.016,-0.002755,
0.045,-0.1654,-5.1,1.375,-0.002222,
0.05,-0.1672,-5.2,-2.221,-0.0016,
0.055,-0.1672,-5.1,6.176,0.004888,
0.06,-0.1739,-5.2,-4.352,-0.003733,
0.065,-0.1854,-5.1,0.276,-0.002133,
0.07,-0.1958,-5.2,-0.424,-0.004355,
0.075,-0.2037,-5.3,0.416,-0.003733,
0.08,-0.2514,-5.3,-3.697,-0.010933,
0.085,-0.3453,-5.3,-1.383,-0.021688,
0.09,-0.4741,-5.3,-4.244,-0.030399,
0.095,-0.6218,-5.2,1.672,-0.031999,
0.1,-0.7909,-5.1,-1.763,-0.035288,
0.105,-0.9496,-5,-1.013,-0.029333,
0.11,-1.1095,-5.1,-1.776,-0.030399,
0.115,-1.2529,-5.1,3.391,-0.023822,
0.12,-1.4055,-5.2,-0.443,-0.031466,
0.125,-1.5581,-5.1,3.499,-0.030933,
0.13,-1.7211,-5.2,-3.146,-0.034755,
0.135,-1.8908,-5.2,2.051,-0.035288,
0.14,-2.0714,-5.2,-3.285,-0.042844,
0.145,-2.2667,-5.1,2.102,-0.037955,
0.15,-2.4736,-5.2,-6.875,-0.046577,
0.155,-2.6799,-5.2,4.664,-0.042844,
0.16,-2.9021,-5.2,-2.155,-0.050488,
0.165,-3.1237,-5.2,6.769,-0.044533,
0.17,-3.3635,-5.2,-2.574,-0.050933,
0.175,-3.6016,-5.1,4.838,-0.047733,
0.18,-3.8536,-5.2,-0.841,-0.051999,
0.185,-4.1069,-5.2,2.39,-0.054222,
0.19,-4.3688,-5.2,1.467,-0.055377,
0.195,-4.6337,-5.2,4.323,-0.052622,
0.2,-4.9175,-5.2,-1.795,-0.059111,
0.205,-5.208,-5.1,4.332,-0.056977,
0.21,-5.5004,-5.2,-2.238,-0.061866,
0.215,-5.8019,-5.1,3.276,-0.059733,
0.22,-6.1095,-5.2,-6.284,-0.061866,
0.225,-6.4257,-5.2,3.762,-0.062933,
0.23,-6.7443,-5.2,-2.489,-0.064622,
0.235,-7.0696,-5.2,2.541,-0.062933,
0.24,-7.3973,-5.2,-5.04,-0.066666,
0.245,-7.7367,-5.2,2.169,-0.068355,
0.25,-8.0919,-5.2,-2.819,-0.073244,
0.255,-8.4569,-5.2,-0.215,-0.073777,
0.26,-8.8317,-5.2,-1.729,-0.076533,
0.265,-9.2113,-5.2,2.364,-0.073244,
0.27,-9.6025,-5.2,0.67,-0.077511,
0.275,-9.9944,-5.2,-1.34,-0.078133,
0.28,-10.3972,-5.2,-1.063,-0.079733,
0.285,-10.8056,-5.2,1.273,-0.081955,
0.29,-11.2157,-5.2,-0.915,-0.081955,
0.295,-11.6338,-5.2,0.822,-0.086844,
0.3,-12.0537,-5.2,-4.41,-0.088444,
0.305,-12.4804,-5.2,1.72,-0.085777,
0.31,-12.9064,-5.2,-3.442,-0.086844,
0.315,-13.3373,-5.2,4.342,-0.082488,
0.32,-13.7767,-5.3,0.345,-0.088355,
