Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.324,-5.1,0.311,-0.008622,
0.005,-0.2178,-4.3,7.177,0.030933,
0.01,-0.1526,-4.8,-16.496,-0.011911,
0.015,-0.1654,-5.3,4.256,0.006044,
0.02,-0.1679,-4.8,-3.124,-0.003822,
0.025,-0.1648,-5.1,2.282,0.001155,
0.03,-0.1661,-5.1,1.51,0,
0.035,-0.1679,-5.1,0.525,-0.000533,
0.04,-0.1703,-5.1,-2.858,-0.0016,
0.045,-0.1673,-5.1,-1.187,0.001066,
0.05,-0.1697,-5.1,2.041,0.002222,
0.055,-0.1685,-5,4.358,0.003822,
0.06,-0.1801,-5.1,-5.191,-0.003822,
0.065,-0.1904,-5.2,3.088,-0.002755,
0.07,-0.2001,-5.1,-3.718,-0.004266,
0.075,-0.2099,-5.2,1.301,0,
0.08,-0.2539,-5.4,-4.003,-0.012533,
0.085,-0.3405,-5.3,-0.335,-0.018933,
0.09,-0.462,-5.2,-3.589,-0.026044,
0.095,-0.6042,-5.2,0.726,-0.028799,
0.1,-0.7653,-5.1,-2.169,-0.034133,
0.105,-0.9301,-5.2,-0.45,-0.036355,
0.11,-1.0931,-5.1,-1.553,-0.031466,
0.115,-1.2493,-5.1,-0.717,-0.035733,
0.12,-1.405,-5.1,-2.976,-0.031999,
0.125,-1.557,-5.2,-2.308,-0.032088,
0.13,-1.715,-5.2,-3.522,-0.030933,
0.135,-1.8792,-5.2,3.093,-0.029866,
0.14,-2.0611,-5.2,-5.352,-0.039644,
0.145,-2.2528,-5.2,-2.054,-0.040711,
0.15,-2.4591,-5.2,-2.859,-0.045066,
0.155,-2.6647,-5.2,1.28,-0.040088,
0.16,-2.882,-5.2,-4.878,-0.044444,
0.165,-3.1072,-5.2,0.596,-0.043377,
0.17,-3.3428,-5.2,1.397,-0.043911,
0.175,-3.5876,-5.2,2.139,-0.044533,
0.18,-3.8433,-5.2,-1.712,-0.051555,
0.185,-4.0905,-5.1,5.057,-0.042844,
0.19,-4.3505,-5.2,-4.362,-0.052088,
0.195,-4.6246,-5.1,2.506,-0.056444,
0.2,-4.9017,-5.2,-3.055,-0.057511,
0.205,-5.1885,-5.2,7.053,-0.055288,
0.21,-5.4821,-5.1,1.203,-0.056444,
0.215,-5.7812,-5.2,-0.278,-0.059111,
0.22,-6.0894,-5.2,-2.113,-0.060177,
0.225,-6.4062,-5.2,2.529,-0.063466,
0.23,-6.7242,-5.1,0.728,-0.063999,
0.235,-7.0458,-5.2,1.527,-0.062933,
0.24,-7.3779,-5.2,-4.297,-0.068355,
0.245,-7.7233,-5.2,2.826,-0.070488,
0.25,-8.0798,-5.2,-0.409,-0.074311,
0.255,-8.4442,-5.2,-0.186,-0.072177,
0.26,-8.8201,-5.2,-2.343,-0.078666,
0.265,-9.1998,-5.2,-0.205,-0.074311,
0.27,-9.5892,-5.2,-4.748,-0.079733,
0.275,-9.981,-5.1,3.881,-0.078133,
0.28,-10.382,-5.1,-4.013,-0.081866,
0.285,-10.78,-5.2,0.526,-0.078133,
0.29,-11.1907,-5.2,-1.927,-0.082933,
0.295,-11.6064,-5.2,1.901,-0.082488,
0.3,-12.0318,-5.2,-1.254,-0.087377,
0.305,-12.4578,-5.2,1.09,-0.085688,
0.31,-12.8845,-5.2,-2.466,-0.087377,
0.315,-13.316,-5.2,-3.327,-0.086844,
0.32,-13.7628,-5.2,4.014,-0.087911,
0.325,-14.2156,-5.2,0.361,-0.089511,
0.33,-14.6679,-5.2,-2.655,-0.091644,
0.335,-15.1238,-5.2,-1.12,-0.092177,
0.34,-15.5908,-5.3,-1.513,-0.096622,
0.345,-16.0534,-5.2,1.722,-0.090044,
0.35,-16.5185,-5.2,2.882,-0.091111,
0.355,-16.983,-5.2,0.095,-0.091733,
0.36,-17.4517,-5.2,4.016,-0.092177,
0.365,-17.9247,-5.3,0.434,-0.095466,
0.37,-18.3953,-5.2,-0.657,-0.094933,
0.375,-18.8629,-5.2,-0.131,-0.0928,
0.38,-19.3298,-5.2,1.249,-0.0928,
0.385,-19.8046,-5.3,1.504,-0.093244,
0.39,-20.285,-5.3,0.41,-0.097155,
0.395,-20.7672,-5.2,3.755,-0.093866,
0.4,-21.2567,-5.2,-2.241,-0.099822,
0.405,-21.7486,-5.2,1.516,-0.100888,
0.41,-22.2381,-5.2,-6.427,-0.099822,
0.415,-22.7239,-5.3,-0.61,-0.097066,
0.42,-23.2086,-5.3,-2.033,-0.099822,
0.425,-23.6914,-5.2,7.658,-0.097155,
0.43,-24.1729,-5.3,0.167,-0.098222,
0.435,-24.6539,-5.3,1.722,-0.096622,
0.44,-25.1287,-5.3,-3.261,-0.096,
0.445,-25.6097,-5.3,5.862,-0.094933,
0.45,-26.1022,-5.4,0.472,-0.098666,
0.455,-26.6015,-5.3,0.966,-0.100888,
0.46,-27.1038,-5.3,-1.066,-0.101955,
0.465,-27.6055,-5.4,1.588,-0.100355,
0.47,-28.1103,-5.3,-0.448,-0.099822,
0.475,-28.6193,-5.3,-0.379,-0.100355,
0.48,-29.129,-5.3,0.846,-0.102044,
0.485,-29.6386,-5.3,-0.236,-0.104177,
0.49,-30.1501,-5.3,-0.155,-0.104177,
0.495,-30.6616,-5.3,-1.438,-0.107466,
0.5,-31.1694,-5.3,-0.977,-0.100888,
0.505,-31.6943,-5.2,3.724,-0.102044,
0.51,-32.221,-5.3,1.328,-0.104177,
0.515,-32.7539,-5.2,-7.575,-0.109066,
0.52,-33.283,-5.2,3.574,-0.102488,
0.525,-33.814,-5.2,1.643,-0.107377,
0.53,-34.3353,-5.2,-1.687,-0.098755,
