Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.152,-5.1,-0.456,0.002222,
0.005,-0.1545,-5.1,5.685,0.0016,
0.01,-0.1526,-5.2,-1.703,0.002755,
0.015,-0.1545,-5,0.114,-0.000533,
0.02,-0.1539,-5.2,-2.993,-0.000622,
0.025,-0.1563,-5.1,3.936,-0.001066,
0.03,-0.1563,-5.2,-1.219,0,
0.035,-0.1545,-5.1,4.441,0.004266,
0.04,-0.1569,-5.2,-0.313,0.002133,
0.045,-0.1569,-5.1,1.284,0.0016,
0.05,-0.1587,-5.2,-2.758,-0.002133,
0.055,-0.16,-5.1,4.647,0.000533,
0.06,-0.1667,-5.2,-4.355,-0.003288,
0.065,-0.1728,-5.1,4.782,0.0016,
0.07,-0.1734,-5.2,-1.827,-0.001066,
0.075,-0.1776,-5.2,4.19,0,
0.08,-0.1867,-5.3,-4.667,-0.002133,
0.085,-0.2453,-5.5,-0.843,-0.015733,
0.09,-0.3796,-5.5,-7.279,-0.030933,
0.095,-0.5627,-5.3,-0.934,-0.038488,
0.1,-0.7672,-5.1,-2.637,-0.042311,
0.105,-0.9686,-5,3.214,-0.037422,
0.11,-1.1572,-5,-3.283,-0.032533,
0.115,-1.3299,-5,2.611,-0.029333,
0.12,-1.4752,-5.1,-3,-0.027111,
0.125,-1.6143,-5.1,-1.713,-0.027644,
0.13,-1.7504,-5.2,-6.029,-0.026577,
0.135,-1.903,-5.2,-0.176,-0.032533,
0.14,-2.066,-5.3,-4.02,-0.034222,
0.145,-2.2564,-5.2,-3.105,-0.041244,
0.15,-2.4591,-5.2,-6.609,-0.043466,
0.155,-2.6776,-5.2,6.395,-0.042311,
0.16,-2.9058,-5.2,-3.237,-0.042844,
0.165,-3.1445,-5.1,0.298,-0.0456,
0.17,-3.3813,-5.2,-2.682,-0.046666,
0.175,-3.6218,-5.2,2.293,-0.047733,
0.18,-3.8653,-5.2,-1.059,-0.049866,
0.185,-4.118,-5.2,5.373,-0.050488,
0.19,-4.3774,-5.2,-3.121,-0.054844,
0.195,-4.6453,-5.2,1.957,-0.051466,
0.2,-4.9224,-5.3,-5.765,-0.056977,
0.205,-5.2099,-5.2,-0.647,-0.057511,
0.21,-5.5017,-5.2,-2.77,-0.059199,
0.215,-5.7971,-5.2,1.766,-0.057511,
0.22,-6.0986,-5.2,-3.022,-0.060266,
0.225,-6.4172,-5.2,2.408,-0.063999,
0.23,-6.7382,-5.2,-2.513,-0.066133,
0.235,-7.0654,-5.2,2.572,-0.065155,
0.24,-7.4029,-5.2,-5.244,-0.067288,
0.245,-7.7508,-5.2,0.09,-0.068888,
0.25,-8.1054,-5.2,-3.131,-0.071022,
0.255,-8.4741,-5.2,1.716,-0.074311,
0.26,-8.847,-5.2,-0.091,-0.071644,
0.265,-9.2266,-5.2,2.101,-0.072088,
0.27,-9.613,-5.2,0.348,-0.074844,
0.275,-10.003,-5.2,0.074,-0.077066,
0.28,-10.4046,-5.2,-4.592,-0.081955,
0.285,-10.8068,-5.2,2.387,-0.080266,
0.29,-11.2115,-5.3,-3.803,-0.0808,
0.295,-11.6308,-5.2,0.157,-0.084088,
0.3,-12.052,-5.2,1.878,-0.085244,
0.305,-12.4755,-5.2,3.066,-0.086755,
0.31,-12.9016,-5.2,2.004,-0.084088,
0.315,-13.3441,-5.2,6.286,-0.088977,
0.32,-13.7915,-5.2,-1.139,-0.090666,
0.325,-14.2419,-5.2,3.263,-0.0944,
0.33,-14.699,-5.3,-1.673,-0.092711,
0.335,-15.1611,-5.2,0.175,-0.096622,
0.34,-15.6201,-5.3,-2.853,-0.091733,
0.345,-16.0833,-5.2,0.547,-0.093866,
