Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.1581,-5.1,-2.063,-0.001688,
0.005,-0.1532,-5.1,3.166,0.003288,
0.01,-0.1562,-5.1,0.589,0,
0.015,-0.1562,-5.1,1.383,0.001688,
0.02,-0.1587,-5.1,0.052,-0.004888,
0.025,-0.1575,-5.2,-1.788,-0.001155,
0.03,-0.1575,-5.1,-2.944,-0.000533,
0.035,-0.155,-5.1,1.435,0.004355,
0.04,-0.1605,-5.1,-0.373,-0.000533,
0.045,-0.1569,-5.1,3.031,0.0048,
0.05,-0.1617,-5.1,-0.887,-0.0016,
0.055,-0.1617,-5.1,1.331,0.001155,
0.06,-0.1703,-5.1,-4.16,-0.007111,
0.065,-0.1746,-5.1,1.366,0,
0.07,-0.1752,-5.2,-1.378,0.002666,
0.075,-0.1794,-5.2,-0.204,0,
0.08,-0.1928,-5.3,-5.315,-0.006577,
0.085,-0.2587,-5.5,1.565,-0.017955,
0.09,-0.393,-5.4,-1.64,-0.030933,
0.095,-0.562,-5.3,0.63,-0.032533,
0.1,-0.758,-5.2,-0.406,-0.038577,
0.105,-0.9533,-5.1,2.53,-0.034755,
0.11,-1.1388,-5,-1.976,-0.035822,
0.115,-1.3012,-5,2.366,-0.029333,
0.12,-1.4507,-5.1,-3.583,-0.030399,
0.125,-1.588,-5.1,0.048,-0.024888,
0.13,-1.7327,-5.2,0.5,-0.028266,
0.135,-1.8877,-5.2,-6.317,-0.029244,
0.14,-2.0659,-5.2,-1.236,-0.039022,
0.145,-2.2503,-5.2,2.027,-0.034222,
0.15,-2.4535,-5.2,-4.37,-0.043377,
0.155,-2.6665,-5.1,5.7,-0.040088,
0.16,-2.8917,-5.1,2.352,-0.045511,
0.165,-3.1182,-5.2,-0.356,-0.041244,
0.17,-3.3544,-5.1,-1.49,-0.0472,
0.175,-3.5912,-5.2,-2.633,-0.042844,
0.18,-3.8445,-5.1,-0.167,-0.052622,
0.185,-4.0899,-5.2,0.388,-0.047733,
0.19,-4.3511,-5.2,4.896,-0.051022,
0.195,-4.6209,-5.2,3.71,-0.051555,
0.2,-4.8998,-5.2,-6.354,-0.059111,
0.205,-5.1787,-5.1,6.727,-0.048266,
0.21,-5.4699,-5.2,1.543,-0.054844,
0.215,-5.7671,-5.2,2.033,-0.054755,
0.22,-6.0747,-5.2,-2.265,-0.061866,
0.225,-6.3909,-5.2,3.894,-0.060266,
0.23,-6.715,-5.2,-0.522,-0.066222,
0.235,-7.044,-5.2,-0.495,-0.064622,
0.24,-7.3833,-5.2,-2.627,-0.070488,
0.245,-7.7282,-5.2,-1.504,-0.068355,
0.25,-8.0852,-5.2,-1.607,-0.073777,
0.255,-8.4478,-5.2,2.69,-0.068355,
0.26,-8.8207,-5.2,-2.285,-0.076,
0.265,-9.1973,-5.2,2.002,-0.074311,
0.27,-9.5824,-5.2,-0.088,-0.075377,
0.275,-9.9755,-5.1,1.122,-0.0792,
0.28,-10.3728,-5.2,-2.731,-0.0776,
0.285,-10.7775,-5.2,2.581,-0.079733,
0.29,-11.184,-5.2,-2.406,-0.083022,
0.295,-11.596,-5.2,-1.829,-0.083555,
0.3,-12.0104,-5.2,1.813,-0.078133,
0.305,-12.4407,-5.2,4.686,-0.081955,
0.31,-12.8728,-5.2,-6.312,-0.093333,
0.315,-13.3092,-5.2,-2.232,-0.083022,
0.32,-13.7584,-5.2,-2.505,-0.088977,
0.325,-14.2089,-5.3,5.169,-0.083022,
0.33,-14.6691,-5.3,-1.373,-0.092266,
0.335,-15.1238,-5.3,-1.151,-0.092266,
0.34,-15.584,-5.3,1.583,-0.091644,
0.345,-16.0479,-5.2,3.249,-0.090044,
0.35,-16.5142,-5.2,0.709,-0.093333,
0.355,-16.9768,-5.3,0.772,-0.093866,
0.36,-17.4425,-5.2,0.952,-0.092711,
