Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.2941,-5.1,6.897,0.024977,
0.005,-0.2068,-4.3,8.426,0.035822,
0.01,-0.1538,-4.3,-16.418,-0.0168,
0.015,-0.1618,-5.4,4.304,0.003733,
0.02,-0.1642,-4.8,-2.921,-0.003288,
0.025,-0.1605,-5.1,1.449,0.000533,
0.03,-0.1611,-5.2,-1.178,0.001155,
0.035,-0.1618,-5.1,4.34,0.002133,
0.04,-0.163,-5.1,0.976,0,
0.045,-0.1654,-5.1,2.376,0.000533,
0.05,-0.1673,-5.2,0.839,0.001066,
0.055,-0.1654,-5,4.461,0.001066,
0.06,-0.1752,-5.2,-2.518,-0.002755,
0.065,-0.1861,-5.1,1.733,-0.001066,
0.07,-0.1928,-5.2,-2.092,-0.002222,
0.075,-0.2038,-5.2,0.259,-0.002755,
0.08,-0.2496,-5.3,-4.599,-0.014666,
0.085,-0.3435,-5.3,-1.574,-0.023822,
0.09,-0.4705,-5.3,-2.617,-0.029333,
0.095,-0.6213,-5.2,-0.613,-0.032622,
0.1,-0.7897,-5.2,-0.81,-0.036888,
0.105,-0.9588,-5,1.58,-0.031466,
0.11,-1.1193,-5.1,-1.319,-0.029866,
0.115,-1.2731,-5.1,5.89,-0.028711,
0.12,-1.4239,-5.2,-7.364,-0.031466,
0.125,-1.5758,-5.2,-0.352,-0.032533,
0.13,-1.7303,-5.2,1.852,-0.033155,
0.135,-1.8944,-5.2,2.031,-0.0352,
0.14,-2.0751,-5.2,-4.583,-0.040711,
0.145,-2.2686,-5.2,3.411,-0.041244,
0.15,-2.4731,-5.2,-4.625,-0.044,
0.155,-2.6806,-5.1,2.871,-0.045066,
0.16,-2.9015,-5.2,-2.994,-0.046666,
0.165,-3.1274,-5.2,-0.657,-0.048355,
0.17,-3.3611,-5.2,-6.272,-0.048266,
0.175,-3.6083,-5.2,0.656,-0.051555,
0.18,-3.8567,-5.2,-6.079,-0.051555,
0.185,-4.1112,-5.2,4.554,-0.0504,
0.19,-4.3725,-5.2,-4.157,-0.055911,
0.195,-4.6471,-5.1,1.374,-0.056355,
0.2,-4.9175,-5.2,-1.295,-0.053688,
0.205,-5.1983,-5.2,4.943,-0.054844,
0.21,-5.4876,-5.2,-4.576,-0.061866,
0.215,-5.7922,-5.1,2.988,-0.060799,
0.22,-6.1028,-5.2,-5.567,-0.062933,
0.225,-6.4208,-5.2,-1.047,-0.059644,
0.23,-6.7443,-5.2,-2.038,-0.062933,
0.235,-7.08,-5.2,-3.777,-0.071644,
0.24,-7.4132,-5.3,-5.278,-0.069422,
0.245,-7.7587,-5.2,1.008,-0.069955,
0.25,-8.1121,-5.2,-5.026,-0.072177,
0.255,-8.4759,-5.2,3.09,-0.072711,
0.26,-8.847,-5.2,-1.827,-0.0744,
0.265,-9.2266,-5.2,-0.509,-0.0776,
0.27,-9.6099,-5.2,-0.943,-0.078133,
0.275,-10.0024,-5.2,5.012,-0.080355,
0.28,-10.3991,-5.2,-6.833,-0.0792,
0.285,-10.8025,-5.2,3.573,-0.078133,
0.29,-11.2066,-5.2,0.661,-0.080888,
0.295,-11.621,-5.2,-5.814,-0.086222,
0.3,-12.0446,-5.2,-3.299,-0.082488,
0.305,-12.4798,-5.2,4.417,-0.087911,
0.31,-12.9143,-5.3,-3.195,-0.088977,
0.315,-13.3556,-5.2,1.591,-0.086222,
0.32,-13.8042,-5.2,-3.648,-0.090577,
0.325,-14.2571,-5.2,2.517,-0.088444,
0.33,-14.7039,-5.3,-0.461,-0.087377,
0.335,-15.161,-5.3,0.562,-0.091111,
0.34,-15.6219,-5.3,-4.172,-0.093866,
0.345,-16.0802,-5.3,1.29,-0.090577,
0.35,-16.5447,-5.3,-1.245,-0.0928,
0.355,-17.0074,-5.3,-1.305,-0.094933,
0.36,-17.4694,-5.3,1.486,-0.093333,
0.365,-17.94,-5.3,1.515,-0.0944,
0.37,-18.4118,-5.3,2.341,-0.0928,
0.375,-18.8927,-5.3,0.664,-0.095466,
0.38,-19.3749,-5.2,0.938,-0.098222,
0.385,-19.8534,-5.2,1.83,-0.090577,
0.39,-20.3368,-5.3,-3.736,-0.095466,
0.395,-20.8178,-5.3,1.023,-0.094933,
0.4,-21.3018,-5.3,-1.989,-0.098755,
0.405,-21.7815,-5.3,2.121,-0.096533,
0.41,-22.2649,-5.3,-0.135,-0.099288,
0.415,-22.7447,-5.2,6.23,-0.094933,
0.42,-23.2195,-5.3,-1.605,-0.096533,
0.425,-23.6968,-5.3,2.228,-0.093866,
0.43,-24.1869,-5.4,1.191,-0.098755,
0.435,-24.6758,-5.3,-0.352,-0.101955,
0.44,-25.1653,-5.4,1.524,-0.100355,
0.445,-25.6554,-5.3,3.141,-0.100355,
0.45,-26.1535,-5.4,-4.239,-0.100888,
0.455,-26.6509,-5.3,1.827,-0.099288,
0.46,-27.1545,-5.3,0.72,-0.102044,
0.465,-27.6507,-5.3,-0.395,-0.099822,
0.47,-28.1469,-5.4,-1.662,-0.098755,
0.475,-28.651,-5.3,-0.618,-0.101955,
0.48,-29.1497,-5.3,0.925,-0.097155,
0.485,-29.6563,-5.3,-1.212,-0.103644,
0.49,-30.1629,-5.4,-2.845,-0.100888,
0.495,-30.6817,-5.3,0.327,-0.100888,
0.5,-31.209,-5.3,0.736,-0.104711,
0.505,-31.74,-5.3,2.295,-0.103555,
0.51,-32.2759,-5.2,0.787,-0.104711,
0.515,-32.8045,-5.2,0.787,-0.100888,
0.52,-33.3324,-5.2,-1.795,-0.104177,
0.525,-33.8592,-5.2,0.53,-0.104177,
0.53,-34.3804,-5.2,1.758,-0.107377,
0.535,-34.8919,-5.3,-0.819,-0.100888,
0.54,-35.404,-5.3,0.724,-0.101511,
0.545,-35.9209,-5.3,-0.364,-0.103555,
0.55,-36.4397,-5.2,-0.576,-0.106844,
0.555,-36.9585,-5.3,-0.24,-0.104177,
0.56,-37.4792,-5.2,0.795,-0.104177,
0.565,-37.9992,-5.2,1.82,-0.102577,
0.57,-38.5186,-5.2,-0.575,-0.103644,
0.575,-39.0325,-5.3,-0.704,-0.101955,
0.58,-39.5428,-5.2,2.814,-0.101511,
0.585,-40.0463,-5.2,-0.786,-0.100355,
0.59,-40.5474,-5.2,0.477,-0.099288,
0.595,-41.043,-5.1,-2.081,-0.099822,
0.6,-41.5307,-5.2,2.51,-0.094933,
0.605,-42.0238,-5.2,-4.503,-0.099288,
0.61,-42.514,-5.2,0.203,-0.100444,
0.615,-42.9961,-5.2,1.08,-0.096533,
0.62,-43.4832,-5.2,0.027,-0.095466,
0.625,-43.9654,-5.2,0.448,-0.097155,
0.63,-44.4414,-5.2,1.21,-0.094933,
0.635,-44.9163,-5.2,1.874,-0.094933,
0.64,-45.3881,-5.2,0.857,-0.0944,
0.645,-45.8483,-5.2,0.156,-0.092266,
0.65,-46.3073,-5.2,-1.225,-0.093333,
0.655,-46.762,-5.2,-1.187,-0.093333,
0.66,-47.2076,-5.2,6.694,-0.087377,
0.665,-47.6482,-5.2,-1.27,-0.091644,
0.67,-48.0877,-5.2,4.142,-0.087911,
0.675,-48.5308,-5.2,-3.052,-0.090044,
0.68,-48.9764,-5.2,5.849,-0.086844,
0.685,-49.4189,-5.2,-3.324,-0.089511,
0.69,-49.8601,-5.1,0.988,-0.087822,
0.695,-50.2984,-5.2,-2.505,-0.0912,
0.7,-50.7244,-5.2,1.048,-0.086844,
0.705,-51.1492,-5.2,-0.955,-0.086222,
0.71,-51.5661,-5.2,1.618,-0.085777,
0.715,-51.9793,-5.2,-3.796,-0.085688,
0.72,-52.387,-5.2,0.829,-0.0808,
0.725,-52.7892,-5.2,-0.349,-0.081866,
0.73,-53.1829,-5.2,-1.467,-0.078666,
0.735,-53.5699,-5.2,-0.992,-0.078133,
0.74,-53.9556,-5.2,0.771,-0.075377,
0.745,-54.3426,-5.2,1.342,-0.078666,
0.75,-54.7295,-5.2,2.558,-0.078133,
0.755,-55.1049,-5.2,-1.777,-0.075377,
0.76,-55.4742,-5.2,-0.179,-0.073777,
0.765,-55.8361,-5.2,-1.392,-0.072177,
0.77,-56.1895,-5.2,0.082,-0.069422,
0.775,-56.5411,-5.2,-2.425,-0.070577,
0.78,-56.8749,-5.2,-0.766,-0.067822,
0.785,-57.2021,-5.3,1.182,-0.063466,
0.79,-57.5262,-5.2,-2.028,-0.065688,
0.795,-57.8405,-5.2,-0.359,-0.062399,
0.8,-58.1463,-5.2,-0.727,-0.060266,
0.805,-58.4478,-5.2,-2.621,-0.060799,
0.81,-58.7408,-5.2,1.748,-0.057511,
0.815,-59.0282,-5.2,-0.877,-0.056888,
0.82,-59.295,-5.2,1.469,-0.052622,
0.825,-59.558,-5.3,-3.899,-0.055288,
0.83,-59.8113,-5.3,0.957,-0.047733,
0.835,-60.0683,-5.3,0.715,-0.049422,
0.84,-60.3216,-5.2,3.185,-0.0472,
0.845,-60.5712,-5.2,-1.565,-0.051555,
