Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.3124,-5.2,-4.695,0.008711,
0.005,-0.2135,-4.4,10.956,0.034755,
0.01,-0.1575,-4.6,-13.55,-0.017955,
0.015,-0.1617,-5.3,5.969,0.005955,
0.02,-0.1654,-4.8,0.461,-0.001066,
0.025,-0.1629,-5,1.757,0.001688,
0.03,-0.1654,-5.2,-4.797,-0.004355,
0.035,-0.1654,-5.1,5.85,0.001066,
0.04,-0.1691,-5.1,-1.374,-0.003822,
0.045,-0.1678,-5.1,3.549,0.000533,
0.05,-0.1684,-5.2,-0.225,-0.001066,
0.055,-0.1684,-5,6.933,0.001155,
0.06,-0.1776,-5.2,-4.171,-0.004888,
0.065,-0.1897,-5.2,3.611,-0.003822,
0.07,-0.1976,-5.2,-2.673,-0.005422,
0.075,-0.205,-5.2,2.562,0.001066,
0.08,-0.2532,-5.4,-1.464,-0.010311,
0.085,-0.3466,-5.2,2.313,-0.022311,
0.09,-0.468,-5.3,-2.781,-0.027644,
0.095,-0.6157,-5.2,4.74,-0.029244,
0.1,-0.7787,-5.2,-4.176,-0.035288,
0.105,-0.9453,-5.2,5.2,-0.027644,
0.11,-1.1162,-5.1,-1.752,-0.034133,
0.115,-1.2676,-5.1,6.772,-0.024444,
0.12,-1.4281,-5.1,-2.816,-0.033066,
0.125,-1.5813,-5.1,6.856,-0.029333,
0.13,-1.7345,-5.2,-0.872,-0.034755,
0.135,-1.8908,-5.1,4.087,-0.032088,
0.14,-2.0617,-5.2,-1.099,-0.033688,
0.145,-2.2533,-5.2,1.17,-0.036888,
0.15,-2.4547,-5.2,-0.076,-0.043377,
0.155,-2.6647,-5.2,3.377,-0.040177,
0.16,-2.8905,-5.2,-3.309,-0.0472,
0.165,-3.1127,-5.1,5.976,-0.040177,
0.17,-3.3544,-5.2,-5.882,-0.051022,
0.175,-3.5857,-5.2,-0.105,-0.0456,
0.18,-3.8347,-5.2,-4.961,-0.049333,
0.185,-4.0868,-5.2,5.617,-0.046666,
0.19,-4.3505,-5.2,-1.061,-0.052088,
0.195,-4.6221,-5.2,2.54,-0.053688,
0.2,-4.9022,-5.2,-2.088,-0.058577,
0.205,-5.1891,-5.2,2.613,-0.059644,
0.21,-5.4827,-5.2,-0.59,-0.061333,
0.215,-5.7842,-5.2,3.387,-0.060266,
0.22,-6.0985,-5.2,-6.219,-0.069422,
0.225,-6.4122,-5.2,3.992,-0.062933,
0.23,-6.7333,-5.2,-2.222,-0.067822,
0.235,-7.0586,-5.2,3.844,-0.063466,
0.24,-7.3955,-5.2,-4.59,-0.071022,
0.245,-7.7343,-5.2,1.233,-0.070044,
0.25,-8.0895,-5.2,-3.538,-0.073244,
0.255,-8.4557,-5.2,2.809,-0.073244,
0.26,-8.8292,-5.1,-1.057,-0.075911,
0.265,-9.2034,-5.2,3.976,-0.074933,
0.27,-9.5842,-5.2,-1.611,-0.076977,
0.275,-9.973,-5.2,4.908,-0.076444,
0.28,-10.3777,-5.2,-5.004,-0.085155,
0.285,-10.7836,-5.2,2.284,-0.081422,
0.29,-11.198,-5.2,-1.793,-0.085688,
0.295,-11.6167,-5.2,-1.968,-0.087377,
0.3,-12.0446,-5.2,-3.639,-0.087911,
0.305,-12.4675,-5.2,0.885,-0.084088,
0.31,-12.8984,-5.2,-2.944,-0.088355,
0.315,-13.3318,-5.2,0.453,-0.084088,
0.32,-13.7828,-5.3,-0.988,-0.090577,
0.325,-14.2315,-5.3,-0.051,-0.0944,
0.33,-14.6807,-5.3,-2.996,-0.0928,
0.335,-15.1317,-5.2,3.158,-0.090577,
0.34,-15.5828,-5.3,-1.497,-0.091733,
0.345,-16.0399,-5.3,-0.786,-0.092177,
0.35,-16.5099,-5.3,-1.924,-0.0944,
0.355,-16.9823,-5.3,-0.134,-0.096533,
0.36,-17.4541,-5.2,0.828,-0.0928,
0.365,-17.9296,-5.3,-1.428,-0.0944,
0.37,-18.4056,-5.3,-3.182,-0.097066,
0.375,-18.8793,-5.3,-0.439,-0.095466,
0.38,-19.356,-5.3,0.491,-0.095555,
0.385,-19.8326,-5.2,4.876,-0.090044,
0.39,-20.3069,-5.3,2.585,-0.091733,
0.395,-20.7866,-5.2,-0.875,-0.0944,
0.4,-21.2633,-5.2,-2.417,-0.091644,
0.405,-21.7437,-5.3,2.393,-0.095555,
0.41,-22.2307,-5.3,-0.881,-0.098222,
0.415,-22.7166,-5.3,0.735,-0.0944,
0.42,-23.2103,-5.3,-1.12,-0.100355,
0.425,-23.6974,-5.3,0.607,-0.097688,
0.43,-24.1851,-5.3,2.685,-0.098755,
0.435,-24.6618,-5.3,2.889,-0.0912,
0.44,-25.1567,-5.3,-0.571,-0.103022,
0.445,-25.6377,-5.3,2.861,-0.096,
0.45,-26.129,-5.4,0.685,-0.098133,
0.455,-26.6234,-5.3,5.078,-0.097066,
0.46,-27.1196,-5.3,2.137,-0.096533,
0.465,-27.6104,-5.3,1.754,-0.098222,
0.47,-28.1017,-5.3,1.68,-0.096533,
0.475,-28.6107,-5.3,-3.996,-0.101955,
0.48,-29.1246,-5.3,-1.496,-0.102488,
0.485,-29.6386,-5.3,-0.427,-0.105866,
0.49,-30.1531,-5.3,-2.538,-0.103644,
0.495,-30.6688,-5.3,0.146,-0.103555,
0.5,-31.1943,-5.3,-1.657,-0.107911,
0.505,-31.7205,-5.2,3.72,-0.104177,
0.51,-32.2527,-5.2,-2.631,-0.103644,
0.515,-32.7782,-5.2,-5.147,-0.103644,
0.52,-33.3013,-5.2,1.382,-0.100888,
0.525,-33.8237,-5.2,-2.689,-0.104088,
0.53,-34.3401,-5.2,1.706,-0.100888,
0.535,-34.8601,-5.2,4.416,-0.100888,
0.54,-35.3814,-5.2,0.352,-0.101511,
0.545,-35.9038,-5.3,-0.36,-0.105777,
0.55,-36.4238,-5.3,-0.057,-0.103555,
0.555,-36.9463,-5.3,-3.898,-0.105244,
0.56,-37.4651,-5.2,-1.924,-0.103111,
0.565,-37.9833,-5.3,-0.561,-0.104711,
0.57,-38.4954,-5.2,-1.176,-0.102577,
0.575,-39.0099,-5.2,-1.792,-0.103644,
0.58,-39.5153,-5.2,-0.952,-0.101511,
0.585,-40.0164,-5.2,0.506,-0.098755,
0.59,-40.5187,-5.2,0.018,-0.099822,
0.595,-41.0234,-5.2,-1.744,-0.106311,
0.6,-41.5221,-5.2,0.303,-0.098755,
0.605,-42.0165,-5.2,-1.195,-0.098755,
0.61,-42.5097,-5.2,-1.608,-0.100444,
0.615,-42.9992,-5.2,0.791,-0.096622,
0.62,-43.4777,-5.2,6.95,-0.094933,
0.625,-43.9525,-5.2,1.663,-0.093866,
0.63,-44.4243,-5.2,3.028,-0.093333,
0.635,-44.8961,-5.2,0.187,-0.097066,
0.64,-45.36,-5.2,-0.465,-0.092266,
0.645,-45.822,-5.2,-3.424,-0.096,
0.65,-46.2749,-5.2,-0.356,-0.091111,
0.655,-46.7321,-5.2,-1.783,-0.0928,
0.66,-47.1825,-5.2,2.765,-0.090044,
0.665,-47.6336,-5.2,-1.213,-0.091733,
0.67,-48.0803,-5.2,0.981,-0.090044,
0.675,-48.5265,-5.2,-2.328,-0.090044,
0.68,-48.9702,-5.2,0.613,-0.087911,
0.685,-49.4115,-5.2,-2.102,-0.089511,
0.69,-49.8485,-5.2,-0.97,-0.090044,
0.695,-50.2794,-5.2,-1.62,-0.091111,
0.7,-50.7018,-5.2,-2.913,-0.084088,
0.705,-51.1205,-5.2,-0.856,-0.085688,
0.71,-51.5349,-5.2,3.114,-0.081333,
0.715,-51.9481,-5.2,-0.607,-0.084088,
0.72,-52.3565,-5.2,-1.652,-0.083555,
0.725,-52.7556,-5.2,-0.593,-0.078133,
0.73,-53.1597,-5.2,3.163,-0.0776,
0.735,-53.5595,-5.2,-3.423,-0.086844,
0.74,-53.944,-5.2,0.505,-0.077066,
0.745,-54.3352,-5.2,5.185,-0.079733,
0.75,-54.7155,-5.1,4.321,-0.076,
0.755,-55.089,-5.2,-3.686,-0.074311,
0.76,-55.4601,-5.2,3.947,-0.070577,
0.765,-55.822,-5.2,3.074,-0.071022,
0.77,-56.1724,-5.2,1.466,-0.067288,
0.775,-56.5203,-5.2,-1.054,-0.068888,
0.78,-56.8566,-5.2,1.312,-0.067822,
0.785,-57.1862,-5.2,1.348,-0.065155,
0.79,-57.5035,-5.2,1.934,-0.061777,
0.795,-57.8148,-5.2,0.193,-0.061244,
0.8,-58.1237,-5.3,1.922,-0.061333,
0.805,-58.4221,-5.2,-0.367,-0.058044,
0.81,-58.7218,-5.2,0.776,-0.060177,
0.815,-59.0087,-5.2,-1.048,-0.055911,
0.82,-59.2913,-5.2,4.259,-0.053155,
0.825,-59.5684,-5.2,-0.404,-0.054311,
0.83,-59.8284,-5.2,2.373,-0.051555,
0.835,-60.0805,-5.2,0.205,-0.048888,
0.84,-60.3356,-5.2,-1.161,-0.052622,
0.845,-60.573,-5.2,-0.456,-0.048266,
0.85,-60.8049,-5.2,1.767,-0.045511,
0.855,-61.0308,-5.2,-4.533,-0.0472,
0.86,-61.2444,-5.3,-0.301,-0.043911,
