Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3106,1.4,0.002666,
0.002,-0.3155,1.4,-0.000622,
0.004,-0.3148,1.3,-0.0016,
0.006,-0.3155,1.3,-0.003822,
0.008,-0.3191,1.3,-0.002133,
0.01,-0.3191,1.4,0.000533,
0.012,-0.3216,1.3,-0.001155,
0.014,-0.3246,1.3,-0.002666,
0.016,-0.3338,1,-0.007644,
0.018,-0.3521,0.6,-0.010844,
0.02,-0.396,0.6,-0.023822,
0.022,-0.4552,0.6,-0.030933,
0.024,-0.537,0.7,-0.041777,
0.026,-0.6231,0.7,-0.044,
0.028,-0.7348,0.8,-0.052622,
0.03,-0.8587,0.8,-0.060266,
0.032,-0.9893,0.9,-0.068888,
0.034,-1.1303,1,-0.066222,
0.036,-1.2816,1,-0.075377,
0.038,-1.4354,1.1,-0.079733,
0.04,-1.6021,1.1,-0.082488,
0.042,-1.7632,1.1,-0.083022,
0.044,-1.9323,1.2,-0.085777,
0.046,-2.1062,1.3,-0.086222,
0.048,-2.2814,1.3,-0.088444,
0.05,-2.4602,1.2,-0.088444,
0.052,-2.6403,1.2,-0.087377,
0.054,-2.8301,1.2,-0.093866,
0.056,-3.0175,1.1,-0.096088,
0.058,-3.2103,1.1,-0.098666,
0.06,-3.4093,1.1,-0.097066,
0.062,-3.6138,1,-0.102577,
0.064,-3.8292,1,-0.107377,
0.066,-4.0539,1,-0.115022,
0.068,-4.2809,0.9,-0.118844,
0.07,-4.5202,1,-0.120444,
0.072,-4.7692,0.9,-0.127466,
0.074,-5.0268,0.9,-0.134044,
0.076,-5.2935,0.9,-0.134044,
0.078,-5.5675,1,-0.140533,
0.08,-5.8574,0.9,-0.147022,
0.082,-6.1559,0.9,-0.151911,
0.084,-6.4672,0.9,-0.159555,
0.086,-6.787,0.9,-0.161155,
0.088,-7.1178,0.9,-0.163822,
0.09,-7.4596,0.9,-0.171466,
0.092,-7.813,0.9,-0.178488,
0.094,-8.1743,0.8,-0.184444,
0.096,-8.5521,0.9,-0.192,
0.098,-8.9361,0.9,-0.196977,
0.1,-9.3291,0.9,-0.198044,
0.102,-9.7368,1,-0.204533,
0.104,-10.1488,1,-0.206133,
0.106,-10.5773,1,-0.213244,
0.108,-11.0143,1,-0.219199,
0.11,-11.4605,1,-0.224088,
0.112,-11.9164,1,-0.229511,
0.114,-12.3772,1,-0.234399,
0.116,-12.8429,1.1,-0.234399,
0.118,-13.3184,1,-0.239288,
0.12,-13.7969,1,-0.238133,
0.122,-14.2766,1,-0.240355,
0.124,-14.7594,0.9,-0.241422,
0.126,-15.252,0.8,-0.246311,
0.128,-15.7457,0.8,-0.247377,
0.13,-16.2554,0.8,-0.257155,
0.132,-16.7669,0.7,-0.258844,
0.134,-17.2936,0.8,-0.263644,
0.136,-17.8289,0.7,-0.271288,
0.138,-18.3684,0.7,-0.270133,
0.14,-18.9257,0.8,-0.28,
0.142,-19.4927,0.8,-0.2832,
0.144,-20.0719,0.8,-0.287555,
0.146,-20.6609,0.9,-0.294044,
0.148,-21.2682,0.9,-0.303288,
0.15,-21.8926,1,-0.3152,
0.152,-22.5255,1,-0.319555,
0.154,-23.1701,1.1,-0.325511,
0.156,-23.8109,1.3,-0.322222,
0.158,-24.4542,1.2,-0.3184,
0.16,-25.0933,1.2,-0.317955,
0.162,-25.7183,1.1,-0.312,
0.164,-26.3421,1,-0.3136,
0.166,-26.9573,1,-0.305955,
0.168,-27.575,0.9,-0.307644,
0.17,-28.1902,0.8,-0.308711,
0.172,-28.8085,0.7,-0.309244,
0.174,-29.4414,0.6,-0.315733,
0.176,-30.0811,0.5,-0.321244,
0.178,-30.7427,0.5,-0.333688,
0.18,-31.422,0.5,-0.341244,
0.182,-32.1209,0.5,-0.352088,
