Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3106,1.3,0.0016,
0.002,-0.321,0.9,0.003822,
0.004,-0.3442,0.1,-0.014666,
0.006,-0.393,0.1,-0.026577,
0.008,-0.4785,0,-0.046133,
0.01,-0.5987,0,-0.065066,
0.012,-0.758,0,-0.081955,
0.014,-0.9521,-0.1,-0.101422,
0.016,-1.1895,-0.1,-0.120444,
0.018,-1.4654,-0.1,-0.140533,
0.02,-1.784,-0.1,-0.161688,
0.022,-2.1478,-0.2,-0.187733,
0.024,-2.5463,-0.1,-0.201244,
0.026,-2.998,-0.2,-0.231644,
0.028,-3.4796,-0.1,-0.244711,
0.03,-4.0026,-0.1,-0.265777,
0.032,-4.5727,-0.1,-0.289155,
0.034,-5.1776,-0.1,-0.303288,
0.036,-5.8215,-0.1,-0.324977,
0.038,-6.5106,-0.2,-0.347822,
0.04,-7.2344,-0.1,-0.365066,
0.042,-8.0029,-0.3,-0.3896,
0.044,-8.8134,-0.2,-0.409066,
0.046,-9.6777,-0.3,-0.436177,
0.048,-10.5957,-0.3,-0.464977,
0.05,-11.5655,-0.2,-0.490488,
0.052,-12.5891,-0.2,-0.515466,
0.054,-13.6553,-0.2,-0.537066,
0.056,-14.7412,-0.3,-0.548533,
0.058,-15.8465,-0.4,-0.557155,
0.06,-16.9854,-0.4,-0.576177,
0.062,-18.1701,-0.5,-0.597866,
0.064,-19.4103,-0.5,-0.623288,
0.066,-20.7177,-0.4,-0.663466,
0.068,-22.1075,-0.3,-0.7048,
0.07,-23.5809,0,-0.748177,
0.072,-25.0939,0.1,-0.760622,
0.074,-26.5777,0,-0.74,
0.076,-28.0554,0,-0.734044,
0.078,-29.5404,0,-0.746044,
0.08,-31.0577,-0.1,-0.764444,
0.082,-32.6422,0,-0.794311,
0.084,-34.2962,2.1,-0.824088,
0.086,-35.9118,2.4,-0.801866,
0.088,-37.4542,2.5,-0.764444,
0.09,-38.9416,2.3,-0.739466,
0.092,-40.3955,2.2,-0.7232,
0.094,-41.8286,2.4,-0.715644,
0.096,-43.2543,2.8,-0.7096,
0.098,-44.649,2.9,-0.6912,
0.1,-45.9875,2.9,-0.663555,
0.102,-47.2625,3.1,-0.626577,
0.104,-48.4802,3.1,-0.607111,
0.106,-49.6533,3.2,-0.58,
0.108,-50.7885,3.1,-0.562577,
0.11,-51.8878,3.1,-0.548,
0.112,-52.9431,3.3,-0.518133,
0.114,-53.9617,3.2,-0.501777,
0.116,-54.9212,3.1,-0.473599,
0.118,-55.8203,3.1,-0.445422,
0.12,-56.6686,3,-0.418755,
0.122,-57.467,2.8,-0.396622,
0.124,-58.2275,2.7,-0.376533,
0.126,-58.9532,2.7,-0.360266,
0.128,-59.6508,2.7,-0.342844,
0.13,-60.31,2.7,-0.327111,
0.132,-60.9301,2.7,-0.305955,
0.134,-61.5209,2.8,-0.291822,
0.136,-62.0764,2.8,-0.275644,
0.138,-62.5872,2.8,-0.250666,
0.14,-63.0639,2.8,-0.234933,
0.142,-63.4912,-0.5,-0.210577,
0.144,-63.8586,0.7,-0.177422,
0.146,-64.1784,-0.1,-0.155733,
0.148,-64.4519,0.1,-0.131377,
0.15,-64.6832,0,-0.113955,
0.152,-64.8736,-0.1,-0.091111,
0.154,-65.0225,0,-0.068888,
0.156,-65.1312,-0.4,-0.048266,
0.158,-65.1989,-0.3,-0.030933,
0.16,-65.2264,0,-0.010844,
0.162,-65.2191,-0.8,0.010844,
0.164,-65.2441,-2.5,0.013511,
0.166,-65.2593,-2,-0.010222,
0.168,-65.3033,-2.7,-0.022755,
0.17,-65.3717,-3.2,-0.038044,
0.172,-65.4687,-3.5,-0.051022,
0.174,-65.595,-4,-0.066133,
0.176,-65.7586,-4.6,-0.084088,
0.178,-65.9619,-5.3,-0.103644,
0.18,-66.1999,-5.9,-0.123199,
0.182,-66.4886,-6.6,-0.149777,
0.184,-66.8157,-7.5,-0.168177,
0.186,-67.1905,-8.4,-0.192622,
0.188,-67.5744,-5.6,-0.209955,
0.19,-67.9785,-7.2,-0.202933,
0.192,-68.366,-7.8,-0.193066,
0.194,-68.7335,-8.4,-0.182311,
0.196,-69.0856,-9,-0.172533,
0.198,-69.4103,-9.6,-0.162133,
0.2,-69.7082,-9.9,-0.143733,
0.202,-69.9664,-10.4,-0.125333,
0.204,-70.1837,-16.1,-0.105244,
0.206,-70.3344,-21.3,-0.068355,
0.208,-70.4034,-24.3,-0.026577,
0.21,-70.3967,-23.7,0.010844,
0.212,-70.3503,-21.7,0.027644,
0.214,-70.2832,-18.1,0.034133,
0.216,-70.2239,-16.1,0.029866,
0.218,-70.1849,-14.9,0.020088,
0.22,-70.1574,-14.1,0.011911,
0.222,-70.1458,-13.7,0.004355,
0.224,-70.1415,-13.5,0.001688,
0.226,-70.1464,-13.4,-0.0032,
0.228,-70.1477,-13.6,0,
0.23,-70.1483,-13.9,-0.000533,
0.232,-70.1483,-14.2,0,
0.234,-70.1483,-14.3,0.000533,
0.236,-70.1525,-14.5,0,
0.238,-70.1574,-14.7,-0.004355,
0.24,-70.1592,-14.8,-0.001066,
0.242,-70.1635,-15,-0.004355,
0.244,-70.166,-15.1,0.0016,
0.246,-70.169,-15.2,0.001066,
0.248,-70.1715,-15.2,-0.000622,
0.25,-70.1708,-15.1,0.000622,
0.252,-70.1708,-14.9,0.000622,
0.254,-70.1708,-14.8,-0.000533,
0.256,-70.1708,-14.7,0.000622,
0.258,-70.1715,-14.6,-0.000622,
0.26,-70.1708,-14.5,0,
0.262,-70.1708,-14.5,0.000622,
0.264,-70.1715,-14.5,0,
0.266,-70.1702,-14.5,0.001155,
0.268,-70.1715,-14.6,-0.000622,
0.27,-70.1708,-14.7,0,
0.272,-70.1715,-14.8,0,
0.274,-70.1702,-14.9,0.001155,
0.276,-70.1708,-15.1,0,
0.278,-70.1715,-15.1,0,
0.28,-70.1708,-15.1,0,
0.282,-70.1708,-15.1,0,
0.284,-70.1702,-15,0.001155,
0.286,-70.1708,-15,0,
0.288,-70.1715,-14.9,-0.000622,
0.29,-70.1678,-14.8,0.002666,
0.292,-70.1715,-14.7,-0.000622,
0.294,-70.1708,-14.7,0.000622,
0.296,-70.1708,-14.7,0.000622,
0.298,-70.1708,-14.7,0.000622,
0.3,-70.1702,-14.7,0.000533,
0.302,-70.1721,-14.8,-0.001688,
0.304,-70.1721,-14.9,-0.002755,
0.306,-70.1708,-14.9,0,
0.308,-70.1708,-14.9,0,
0.31,-70.1708,-14.9,0.001688,
0.312,-70.1464,-14.6,0.021688,
0.314,-70.1403,-13.3,0.012,
0.316,-70.1037,-11.6,0.020622,
0.318,-70.0457,-10.4,0.032533,
0.32,-69.9664,-10,0.046666,
0.322,-69.8626,-9.7,0.056977,
0.324,-69.7271,-9.2,0.067288,
0.326,-69.5507,-8.5,0.092266,
0.328,-69.3377,-7.9,0.110133,
0.33,-69.0832,-7.3,0.132355,
0.332,-68.7878,-6.5,0.152977,
0.334,-68.4423,-5.8,0.175822,
0.336,-68.0902,-4.9,0.1616,
0.338,-67.6782,-7.1,0.196355,
0.34,-67.2912,-6.6,0.1904,
0.342,-66.9226,-6.2,0.182755,
0.344,-66.5673,-5.6,0.174222,
0.346,-66.2335,-5.2,0.166488,
0.348,-65.9259,-4.8,0.150755,
0.35,-65.6494,-4.6,0.133422,
0.352,-65.4101,-4.3,0.112888,
0.354,-65.2087,-4.1,0.096,
0.356,-65.0549,-4,0.071022,
0.358,-64.9511,-3.8,0.0472,
0.36,-64.8773,-3.7,0.037422,
0.362,-64.887,-3.5,0.001155,
