Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3117,1.3,0.000622,
0.002,-0.3227,0.8,0.003822,
0.004,-0.3459,0.2,-0.0168,
0.006,-0.3972,0.1,-0.029333,
0.008,-0.4832,0,-0.047733,
0.01,-0.6084,0,-0.066222,
0.012,-0.7622,0,-0.081422,
0.014,-0.9612,0,-0.105333,
0.016,-1.1961,-0.1,-0.122577,
0.018,-1.4702,-0.1,-0.142133,
0.02,-1.79,-0.1,-0.161688,
0.022,-2.1507,-0.1,-0.187111,
0.024,-2.553,-0.1,-0.206755,
0.026,-2.9955,-0.2,-0.225155,
0.028,-3.4807,-0.1,-0.245244,
0.03,-4.0074,-0.2,-0.265866,
0.032,-4.572,-0.2,-0.288088,
0.034,-5.1769,-0.1,-0.305511,
0.036,-5.8244,-0.1,-0.329866,
0.038,-6.5123,-0.1,-0.348266,
0.04,-7.2362,-0.2,-0.364622,
0.042,-8.0016,-0.2,-0.386311,
0.044,-8.8152,-0.2,-0.409688,
0.046,-9.6782,-0.2,-0.435644,
0.048,-10.5968,-0.3,-0.466577,
0.05,-11.5672,-0.2,-0.489333,
0.052,-12.5908,-0.2,-0.516533,
0.054,-13.6595,-0.2,-0.538755,
0.056,-14.7441,-0.1,-0.544711,
0.058,-15.847,-0.4,-0.556088,
0.06,-16.9853,-0.5,-0.573422,
0.062,-18.1694,-0.5,-0.594044,
0.064,-19.4109,-0.5,-0.6256,
0.066,-20.7195,-0.4,-0.664088,
0.068,-22.1104,-0.3,-0.706844,
0.07,-23.5814,0,-0.745422,
0.072,-25.089,0.1,-0.752,
0.074,-26.5813,0,-0.744355,
0.076,-28.0559,0,-0.7368,
0.078,-29.5384,0,-0.743822,
0.08,-31.06,-0.2,-0.764977,
0.082,-32.6183,0.3,-0.7704,
0.084,-34.2827,2.4,-0.821955,
0.086,-35.8946,2.5,-0.798577,
0.088,-37.4352,2.3,-0.760711,
0.09,-38.9171,2.3,-0.7384,
0.092,-40.3722,2.1,-0.723733,
