Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3081,1.1,0,
0.002,-0.3105,1.2,0.001066,
0.004,-0.3093,1.2,0.000533,
0.006,-0.3093,1.1,0.002133,
0.008,-0.3117,1.2,-0.000533,
0.01,-0.3124,1.1,0.000533,
0.012,-0.3172,1.1,-0.002133,
0.014,-0.3203,1.1,-0.0016,
0.016,-0.3301,0.6,-0.008711,
0.018,-0.3526,0.4,-0.011911,
0.02,-0.3972,0.4,-0.024444,
0.022,-0.454,0.4,-0.031466,
0.024,-0.5364,0.5,-0.044533,
0.026,-0.6261,0.5,-0.047733,
0.028,-0.7304,0.6,-0.053155,
0.03,-0.8574,0.7,-0.063466,
0.032,-0.9837,0.7,-0.066133,
0.034,-1.1235,0.7,-0.069955,
0.036,-1.2724,0.9,-0.075911,
0.038,-1.4256,0.9,-0.076977,
0.04,-1.5868,1,-0.081422,
0.042,-1.7503,1,-0.0824,
0.044,-1.9176,1,-0.080355,
0.046,-2.0897,1,-0.084622,
0.048,-2.2655,1,-0.088444,
0.05,-2.4437,1.1,-0.088444,
0.052,-2.6207,1.1,-0.091111,
0.054,-2.8062,1.1,-0.090577,
0.056,-2.9948,1,-0.094933,
0.058,-3.1871,1,-0.097066,
0.06,-3.3836,0.9,-0.099288,
0.062,-3.5893,0.8,-0.101422,
0.064,-3.8023,0.8,-0.103555,
0.066,-4.027,0.8,-0.116177,
0.068,-4.2564,0.8,-0.115555,
0.07,-4.492,0.8,-0.119822,
0.072,-4.7423,0.7,-0.125866,
0.074,-5.0053,0.7,-0.131822,
0.076,-5.2708,0.7,-0.137777,
0.078,-5.5516,0.7,-0.14,
0.08,-5.8434,0.7,-0.145422,
0.082,-6.1449,0.7,-0.150844,
0.084,-6.4574,0.7,-0.156266,
0.086,-6.7833,0.7,-0.164355,
0.088,-7.1166,0.7,-0.166577,
0.09,-7.4565,0.7,-0.172533,
0.092,-7.8087,0.7,-0.177422,
0.094,-8.1712,0.7,-0.183911,
0.096,-8.5429,0.7,-0.187644,
0.098,-8.9262,0.8,-0.194755,
0.1,-9.3163,0.9,-0.193688,
0.102,-9.7179,0.8,-0.199644,
0.104,-10.1286,0.9,-0.202844,
0.106,-10.5547,0.8,-0.212177,
0.108,-10.9868,0.8,-0.215911,
0.11,-11.4287,0.9,-0.220266,
0.112,-11.8779,0.8,-0.225155,
0.114,-12.343,0.9,-0.230044,
0.116,-12.8093,0.8,-0.236533,
0.118,-13.2842,0.8,-0.235999,
0.12,-13.7614,0.7,-0.241422,
0.122,-14.243,0.7,-0.238666,
0.124,-14.7301,0.7,-0.241422,
0.126,-15.2202,0.6,-0.241422,
0.128,-15.7188,0.6,-0.249511,
0.13,-16.2236,0.5,-0.256088,
0.132,-16.7381,0.6,-0.258755,
0.134,-17.2594,0.6,-0.260977,
0.136,-17.7959,0.6,-0.267466,
0.138,-18.3415,0.6,-0.276711,
0.14,-18.8969,0.6,-0.279911,
0.142,-19.4646,0.6,-0.284355,
0.144,-20.042,0.6,-0.289244,
0.146,-20.6352,0.7,-0.296711,
0.148,-21.2389,0.7,-0.302755,
0.15,-21.8559,0.9,-0.309777,
0.152,-22.4895,0.9,-0.320088,
0.154,-23.1303,1,-0.320088,
0.156,-23.7773,1,-0.326577,
0.158,-24.4145,1,-0.317333,
0.16,-25.0511,1,-0.3152,
0.162,-25.6816,0.9,-0.311911,
0.164,-26.303,0.9,-0.306577,
0.166,-26.9218,0.8,-0.309244,
0.168,-27.5371,0.7,-0.307111,
0.17,-28.1487,0.6,-0.305511,
0.172,-28.7706,0.5,-0.309777,
0.174,-29.4017,0.5,-0.3168,
0.176,-30.0407,0.3,-0.320088,
0.178,-30.6999,0.3,-0.333066,
0.18,-31.3805,0.3,-0.341244,
0.182,-32.0873,0.3,-0.354844,
0.184,-32.8191,0.3,-0.368444,
0.186,-33.5753,0.4,-0.381422,
0.188,-34.3456,0.4,-0.386311,
0.19,-35.1256,0.6,-0.391733,
0.192,-35.9105,0.6,-0.3912,
0.194,-36.6997,0.5,-0.3944,
0.196,-37.4883,0.5,-0.396088,
0.198,-38.2787,0.5,-0.397155,
0.2,-39.0819,0.6,-0.401511,
0.202,-39.8979,0.6,-0.408533,
0.204,-40.7249,0.6,-0.416088,
0.206,-41.5691,0.6,-0.424799,
0.208,-42.426,0.7,-0.430755,
0.21,-43.3037,0.8,-0.442222,
0.212,-44.182,0.8,-0.443288,
0.214,-45.0609,0.8,-0.439466,
0.216,-45.9355,0.9,-0.436711,
0.218,-46.8059,0.8,-0.435111,
0.22,-47.6707,0.8,-0.431822,
0.222,-48.5387,0.8,-0.433511,
0.224,-49.4157,0.8,-0.438844,
0.226,-50.3056,0.7,-0.446488,
0.228,-51.2065,0.7,-0.453511,
0.23,-52.1263,0.7,-0.461688,
0.232,-53.0602,0.8,-0.470933,
0.234,-53.9995,0.6,-0.468177,
0.236,-54.9376,0.6,-0.469866,
0.238,-55.8806,0.6,-0.470933,
0.24,-56.8248,0.5,-0.474755,
0.242,-57.7721,0.5,-0.476888,
0.244,-58.7376,0.5,-0.483911,
0.246,-59.7289,0.6,-0.498666,
0.248,-60.7378,0.7,-0.508888,
0.25,-61.7662,0.8,-0.518133,
0.252,-62.8142,0.8,-0.526844,
0.254,-63.8487,-19.7,-0.512711,
0.256,-64.8363,6.3,-0.489955,
0.258,-65.6651,0.3,-0.3488,
0.26,-66.4696,1,-0.385244,
0.262,-67.1086,0.7,-0.297866,
0.264,-67.5487,0.6,-0.202933,
0.266,-67.8191,0,-0.116088,
0.268,-67.9222,0.6,-0.035288,
0.27,-67.8978,-1,0.026044,
0.272,-67.7739,-1.8,0.071111,
0.274,-67.5633,-1.8,0.113422,
0.276,-67.3125,-3.6,0.131288,
0.278,-67.0293,-3.4,0.1416,
0.28,-66.7332,-4.1,0.145955,
0.282,-66.4403,-4.7,0.145955,
0.284,-66.1705,-5.2,0.132355,
0.286,-65.93,-5.6,0.116711,
0.288,-65.7353,-5.8,0.090666,
0.29,-65.5956,-5.9,0.066666,
0.292,-65.5168,-5.9,0.033155,
0.294,-65.5071,-5.8,-0.003822,
0.296,-65.5516,-5.5,-0.028711,
0.298,-65.6426,-5.6,-0.051022,
0.3,-65.7805,-5.7,-0.073777,
0.302,-65.9599,-5.7,-0.0944,
0.304,-66.1766,-5.8,-0.111733,
0.306,-66.4323,-6.1,-0.132888,
0.308,-66.7223,-6.2,-0.147644,
0.31,-67.0439,-6.4,-0.162222,
0.312,-67.3784,-6.7,-0.1704,
0.314,-67.7226,-7,-0.169244,
0.316,-68.062,-7.5,-0.169866,
0.318,-68.4001,-7.9,-0.170844,
0.32,-68.7193,-8.5,-0.1568,
0.322,-69.0239,-9.2,-0.149777,
0.324,-69.3077,-9.7,-0.140533,
0.326,-69.5653,-10.5,-0.127555,
0.328,-69.7838,-11.3,-0.101422,
0.33,-69.9455,-9.4,-0.085688,
0.332,-70.0694,-11.6,-0.056355,
0.334,-70.1286,-13.9,-0.021688,
0.336,-70.1189,-14.1,0.010844,
0.338,-70.0737,-12.4,0.024444,
0.34,-70.0102,-10.7,0.033155,
0.342,-69.9394,-11,0.033688,
0.344,-69.8644,-11.1,0.035733,
0.346,-69.7905,-11.1,0.035288,
0.348,-69.724,-11.1,0.034133,
0.35,-69.6605,-11.1,0.030399,
0.352,-69.605,-11.2,0.025422,
0.354,-69.5567,-11.2,0.021777,
0.356,-69.5195,-11.1,0.018488,
0.358,-69.4853,-11.2,0.017422,
0.36,-69.4609,-11.2,0.013066,
0.362,-69.445,-11.1,0.004355,
0.364,-69.4353,-11.1,0.004888,
0.366,-69.4359,-10.7,-0.002222,
0.368,-69.4408,-10.7,-0.003288,
0.37,-69.4432,-10.7,-0.001066,
0.372,-69.445,-10.8,-0.000533,
0.374,-69.4499,-10.8,-0.002133,
0.376,-69.4493,-10.8,-0.001066,
0.378,-69.4511,-10.8,-0.0016,
0.38,-69.4554,-10.8,0.000533,
0.382,-69.4548,-10.8,0,
0.384,-69.4542,-10.9,0.000533,
0.386,-69.4554,-10.9,-0.001066,
0.388,-69.4554,-10.9,-0.001066,
0.39,-69.4542,-10.9,0.000533,
0.392,-69.4548,-11,-0.002666,
0.394,-69.4548,-11,-0.003288,
0.396,-69.4548,-11,-0.003288,
0.398,-69.4548,-11,0,
0.4,-69.4548,-11,0.001066,
0.402,-69.453,-11,0.002133,
0.404,-69.4554,-11,-0.0016,
0.406,-69.4524,-11,0.0032,
0.408,-69.4554,-10.9,0,
0.41,-69.4548,-11,0,
0.412,-69.456,-11,-0.002133,
0.414,-69.4548,-10.9,0.001066,
0.416,-69.4548,-10.9,0.001066,
0.418,-69.456,-10.8,-0.001066,
0.42,-69.456,-10.8,-0.001066,
0.422,-69.4554,-10.8,0,
0.424,-69.4548,-10.8,-0.0016,
0.426,-69.4536,-10.7,-0.0016,
0.428,-69.4548,-10.8,0,
0.43,-69.4487,-10.8,0.001066,
0.432,-69.4493,-10.8,-0.002133,
0.434,-69.4475,-10.7,-0.000533,
0.436,-69.4438,-10.7,0.002222,
0.438,-69.4395,-10.6,0.001688,
0.44,-69.4365,-10.5,0.002133,
0.442,-69.4286,-10.3,-0.001155,
0.444,-69.4109,-10.1,0.008622,
0.446,-69.384,-9.8,0.012444,
0.448,-69.3462,-9.7,0.020622,
0.45,-69.2918,-9.5,0.030933,
0.452,-69.2259,-9.4,0.035288,
0.454,-69.146,-9.3,0.042844,
0.456,-69.0556,-9.1,0.049422,
0.458,-68.9519,-9,0.053155,
0.46,-68.8384,-8.8,0.059644,
0.462,-68.7138,-8.5,0.064622,
0.464,-68.579,-8.3,0.071022,
0.466,-68.4331,-8.1,0.073777,
0.468,-68.2872,-7.7,0.075377,
0.47,-68.1316,-7.5,0.076977,
0.472,-67.9692,-7.2,0.079733,
0.474,-67.8038,-6.8,0.081422,
0.476,-67.6353,-6.4,0.085777,
0.478,-67.4602,-6.2,0.086755,
0.48,-67.2807,-5.7,0.088977,
0.482,-67.0927,-5.3,0.095022,
0.484,-66.9023,-4.9,0.096622,
0.486,-66.7052,-4.5,0.098133,
0.488,-66.4989,-4.1,0.103644,
0.49,-66.2859,-3.7,0.108977,
0.492,-66.0686,-3.3,0.108444,
0.494,-65.8409,-2.7,0.113955,
0.496,-65.6096,-2.3,0.114488,
0.498,-65.3679,-1.8,0.120977,
0.5,-65.1665,-3.1,0.079733,
0.502,-64.9681,-3.6,0.093333,
0.504,-64.8155,-3.6,0.068355,
0.506,-64.7209,-3.5,0.040711,
0.508,-64.6776,-3.4,0.014666,
0.51,-64.677,-2.6,-0.004355,
0.512,-64.716,-2.6,-0.0184,
0.514,-64.7813,-2.6,-0.033066,
0.516,-64.876,-2.5,-0.049422,
0.518,-64.9834,-2.5,-0.059733,
0.52,-65.1122,-2.5,-0.063555,
0.522,-65.2458,-2.6,-0.068888,
0.524,-65.3947,-2.7,-0.074311,
0.526,-65.5473,-2.9,-0.077511,
0.528,-65.7036,-3.1,-0.080266,
0.53,-65.8659,-3.4,-0.081333,
0.532,-66.0289,-3.5,-0.083022,
0.534,-66.1882,-3.9,-0.083022,
0.536,-66.3469,-4.2,-0.078133,
0.538,-66.5007,-4.5,-0.0776,
0.54,-66.649,-4.9,-0.076444,
0.542,-66.787,-5.4,-0.070577,
0.544,-66.9267,-5.8,-0.069422,
0.546,-67.0635,-6.2,-0.068444,
0.548,-67.2032,-6.6,-0.068888,
0.55,-67.3436,-7.1,-0.069955,
0.552,-67.4895,-7.5,-0.074933,
0.554,-67.6427,-7.9,-0.078666,
0.556,-67.8038,-8.4,-0.081955,
0.558,-67.9741,-8.9,-0.086844,
0.56,-68.1578,-9.4,-0.0928,
0.562,-68.355,-9.8,-0.099288,
0.564,-68.5637,-10.3,-0.105777,
0.566,-68.7828,-10.8,-0.111733,
0.568,-69.0196,-11.4,-0.119911,
0.57,-69.2656,-11.9,-0.123733,
0.572,-69.4585,-9.8,-0.111288,
0.574,-69.6556,-9.8,-0.091111,
0.576,-69.8064,-10.1,-0.072711,
0.578,-69.9059,-10.5,-0.043466,
0.58,-69.9663,-10.7,-0.025511,
0.582,-69.9822,-10.9,-0.003288,
0.584,-69.9724,-11.2,0.006488,
0.586,-69.9474,-10.8,0.016266,
0.588,-69.901,-11.3,0.023822,
0.59,-69.8497,-11.1,0.029866,
0.592,-69.7936,-11.1,0.029777,
0.594,-69.7307,-11.2,0.030933,
0.596,-69.6715,-11.2,0.031466,
0.598,-69.6135,-11.3,0.028711,
0.6,-69.5622,-11.4,0.023911,
0.602,-69.5177,-11.4,0.020088,
0.604,-69.478,-11.3,0.019022,
0.606,-69.4493,-11.4,0.014666,
0.608,-69.4328,-11.4,0.008177,
0.61,-69.4316,-11.3,0.0016,
0.612,-69.4328,-10.9,-0.002133,
0.614,-69.4341,-11,0,
0.616,-69.4389,-11.1,-0.002666,
0.618,-69.4402,-11.1,-0.002222,
0.62,-69.442,-11.1,0,
0.622,-69.4432,-11.1,0,
0.624,-69.4432,-11.1,0.000533,
0.626,-69.4438,-11.2,0.000533,
0.628,-69.445,-11.1,-0.000533,
0.63,-69.4444,-11,0.001155,
0.632,-69.4444,-10.9,0.001155,
0.634,-69.4438,-11,0.002755,
0.636,-69.4438,-11,0.002222,
0.638,-69.4438,-10.9,0.000533,
0.64,-69.445,-10.9,-0.0016,
0.642,-69.4438,-11,-0.000533,
0.644,-69.4432,-11,0.001066,
0.646,-69.4438,-11,0.000533,
0.648,-69.4438,-11,0.000533,
0.65,-69.4444,-11,-0.000533,
0.652,-69.4444,-11.1,0.001688,
0.654,-69.4457,-11.1,-0.002222,
0.656,-69.4432,-11.1,0,
0.658,-69.4444,-11.1,0,
0.66,-69.4444,-11.1,-0.000533,
0.662,-69.4444,-11,0.002222,
0.664,-69.4438,-11,0.000533,
0.666,-69.4432,-11,0.001066,
0.668,-69.4487,-11,-0.003822,
0.67,-69.4444,-11,0.000533,
0.672,-69.4426,-10.8,-0.003288,
0.674,-69.4395,-11,0,
0.676,-69.4371,-11,0,
0.678,-69.4353,-10.9,0.002133,
0.68,-69.4322,-10.8,0.000533,
0.682,-69.4249,-10.6,0.003288,
0.684,-69.4151,-10.4,0.008177,
0.686,-69.4005,-10.1,0.009244,
0.688,-69.3742,-9.9,0.014133,
0.69,-69.337,-9.8,0.021155,
0.692,-69.29,-9.6,0.024444,
0.694,-69.2308,-9.4,0.031999,
0.696,-69.1606,-9.4,0.037955,
0.698,-69.0794,-9.2,0.043466,
0.7,-68.9812,-9,0.049866,
0.702,-68.8731,-8.8,0.054844,
0.704,-68.7499,-8.6,0.062933,
0.706,-68.6174,-8.4,0.067288,
0.708,-68.4715,-8.2,0.076,
0.71,-68.3165,-7.9,0.0808,
0.712,-68.1541,-7.6,0.082488,
0.714,-67.9845,-7.4,0.0824,
0.716,-67.8069,-7.1,0.089511,
0.718,-67.6286,-6.8,0.087911,
0.72,-67.4425,-6.3,0.093866,
0.722,-67.2575,-6,0.092266,
0.724,-67.0677,-5.5,0.093866,
0.726,-66.8755,-5.1,0.099822,
0.728,-66.6795,-4.7,0.098222,
0.73,-66.4775,-4.1,0.102044,
0.732,-66.2712,-3.8,0.099822,
0.734,-66.0545,-3.3,0.107999,
0.736,-65.8336,-2.8,0.111733,
0.738,-65.6065,-2.4,0.113955,
0.74,-65.374,-1.8,0.118311,
0.742,-65.1781,-2.5,0.0792,
0.744,-64.9791,-3.8,0.093333,
