Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.291,1.1,0.001688,
0.002,-0.291,1.2,0.003288,
0.004,-0.2917,1.2,-0.000622,
0.006,-0.2917,1.2,-0.000622,
0.008,-0.291,1.1,0.002755,
0.01,-0.2923,1.2,-0.001688,
0.012,-0.2917,1.2,0.0016,
0.014,-0.2929,1.2,0.000533,
0.016,-0.291,1.1,0.003288,
0.018,-0.2947,1.2,-0.000533,
0.02,-0.2953,1.2,-0.0016,
0.022,-0.2947,1.2,0,
0.024,-0.299,1.2,-0.001066,
0.026,-0.2996,1.1,-0.002133,
0.028,-0.3002,1.1,0.001066,
0.03,-0.3075,0.9,-0.0016,
0.032,-0.324,0.6,-0.011911,
0.034,-0.3551,0.6,-0.017866,
0.036,-0.4003,0.6,-0.022222,
0.038,-0.4619,0.7,-0.034666,
0.04,-0.5291,0.8,-0.038577,
0.042,-0.6029,0.9,-0.037422,
0.044,-0.6896,1,-0.042844,
0.046,-0.7744,1,-0.042844,
0.048,-0.866,1.1,-0.046666,
0.05,-0.9582,1.2,-0.044533,
0.052,-1.0491,1.2,-0.047733,
0.054,-1.1327,1.2,-0.044444,
0.056,-1.2261,1.3,-0.040711,
0.058,-1.3091,1.3,-0.041244,
0.06,-1.3921,1.4,-0.040711,
0.062,-1.4709,1.3,-0.037511,
0.064,-1.5484,1.3,-0.042311,
0.066,-1.6167,1.2,-0.0352,
0.068,-1.6918,1.3,-0.036355,
0.07,-1.7583,1.2,-0.034666,
0.072,-1.8383,1.1,-0.042311,
0.074,-1.9036,1.1,-0.034222,
0.076,-1.975,1.1,-0.033066,
0.078,-2.0562,1.1,-0.041244,
0.08,-2.1349,1,-0.038488,
0.082,-2.2204,1,-0.047733,
0.084,-2.3131,1,-0.041155,
0.086,-2.3998,1,-0.0456,
0.088,-2.5091,1,-0.055911,
0.09,-2.611,1,-0.053688,
0.092,-2.7215,1,-0.056977,
0.094,-2.8356,1,-0.056977,
0.096,-2.9503,1,-0.059111,
0.098,-3.0761,1.1,-0.062399,
0.1,-3.2,1,-0.060799,
0.102,-3.3245,1,-0.060266,
0.104,-3.4588,1,-0.067822,
0.106,-3.5955,1,-0.069955,
0.108,-3.7359,1,-0.073244,
0.11,-3.8775,1.1,-0.070044,
0.112,-4.0246,1.1,-0.076533,
0.114,-4.1662,1.1,-0.073777,
0.116,-4.3175,1.1,-0.075911,
0.118,-4.4713,1.1,-0.079733,
0.12,-4.6233,1.1,-0.078666,
0.122,-4.7796,1.1,-0.0776,
0.124,-4.9389,1,-0.0792,
0.126,-5.1006,1,-0.083555,
0.128,-5.2672,1.1,-0.082933,
0.13,-5.4302,1,-0.083022,
0.132,-5.6011,1.1,-0.087377,
0.134,-5.7671,1,-0.081333,
0.136,-5.9441,1.1,-0.087911,
0.138,-6.1248,1,-0.092266,
0.14,-6.3055,1,-0.0912,
0.142,-6.4861,1,-0.0928,
0.144,-6.6735,1,-0.093333,
0.146,-6.8658,1,-0.093866,
0.148,-7.058,1,-0.096533,
0.15,-7.2582,1,-0.100355,
0.152,-7.4572,1,-0.099822,
0.154,-7.6604,1,-0.100888,
0.156,-7.8722,1,-0.103022,
0.158,-8.0834,1,-0.105777,
0.16,-8.3007,1,-0.109599,
0.162,-8.5229,1,-0.111288,
0.164,-8.7475,1,-0.112888,
