Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.1666,1,-0.003733,
0.002,-0.1666,1.2,-0.002133,
0.004,-0.163,1.2,0,
0.006,-0.1673,1.1,0.002133,
0.008,-0.1697,1.1,-0.002755,
0.01,-0.1679,1.2,0.000533,
0.012,-0.1691,1.2,-0.002222,
0.014,-0.1709,1.1,-0.001066,
0.016,-0.1715,1.1,-0.002666,
0.018,-0.174,1.1,-0.003288,
0.02,-0.1819,1.1,-0.006488,
0.022,-0.185,1.1,0,
0.024,-0.1874,1.1,0.002666,
0.026,-0.1917,1.1,-0.001155,
0.028,-0.1971,1,-0.0032,
0.03,-0.2111,0.6,-0.007555,
0.032,-0.2434,0.4,-0.021155,
0.034,-0.2929,0.3,-0.029333,
0.036,-0.3643,0.3,-0.035822,
0.038,-0.462,0.3,-0.048888,
0.04,-0.5804,0.4,-0.060266,
0.042,-0.7177,0.3,-0.069955,
0.044,-0.8782,0.4,-0.084088,
0.046,-1.0467,0.5,-0.088977,
0.048,-1.234,0.6,-0.098666,
0.05,-1.4342,0.7,-0.104088,
0.052,-1.6393,0.8,-0.104711,
0.054,-1.8627,0.9,-0.109066,
0.056,-2.0965,0.9,-0.117777,
0.058,-2.3223,1,-0.116622,
0.06,-2.5603,1,-0.119822,
0.062,-2.8008,1.1,-0.119911,
0.064,-3.0407,1,-0.120444,
0.066,-3.2824,1.1,-0.122044,
0.068,-3.5308,1,-0.123111,
0.07,-3.778,1,-0.123199,
0.072,-4.0319,1,-0.124799,
0.074,-4.2882,0.9,-0.129066,
0.076,-4.5476,0.9,-0.130666,
0.078,-4.8223,0.9,-0.138844,
0.08,-5.0964,0.8,-0.139466,
0.082,-5.3759,0.8,-0.143733,
0.084,-5.6713,0.8,-0.149777,
0.086,-5.9753,0.8,-0.151377,
0.088,-6.2859,0.7,-0.158933,
0.09,-6.6125,0.7,-0.164977,
0.092,-6.9469,0.7,-0.168177,
0.094,-7.2912,0.6,-0.174133,
0.096,-7.6488,0.7,-0.180622,
0.098,-8.0144,0.6,-0.183911,
0.1,-8.3965,0.7,-0.1904,
0.102,-8.7951,0.6,-0.201866,
0.104,-9.2016,0.7,-0.204,
0.106,-9.6246,0.7,-0.211644,
0.108,-10.061,0.7,-0.220888,
0.11,-10.5065,0.8,-0.224622,
0.112,-10.9679,0.8,-0.231111,
0.114,-11.4318,0.8,-0.234933,
0.116,-11.9176,0.9,-0.243555,
0.118,-12.4029,0.8,-0.243644,
0.12,-12.8954,0.9,-0.250666,
0.122,-13.3935,0.9,-0.249066,
0.124,-13.8964,0.9,-0.250666,
0.126,-14.4006,0.8,-0.253955,
0.128,-14.9029,0.8,-0.250133,
0.13,-15.4137,0.7,-0.256622,
0.132,-15.9283,0.7,-0.260977,
0.134,-16.4495,0.7,-0.260444,
0.136,-16.9762,0.7,-0.264177,
0.138,-17.5127,0.6,-0.270133,
0.14,-18.0633,0.6,-0.275111,
0.142,-18.6236,0.5,-0.282666,
