Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.1751,1.1,-0.002666,
0.002,-0.1764,1.4,0.0032,
0.004,-0.1788,1.1,-0.001066,
0.006,-0.1794,1.1,-0.0016,
0.008,-0.1916,1,-0.005422,
0.01,-0.202,1.1,-0.007022,
0.012,-0.205,1,-0.0032,
0.014,-0.2208,0.6,-0.006488,
0.016,-0.2526,0.2,-0.019555,
0.018,-0.3148,0,-0.0336,
0.02,-0.4082,0,-0.050488,
0.022,-0.54,-0.1,-0.071022,
0.024,-0.7146,-0.2,-0.0928,
0.026,-0.9215,-0.3,-0.109066,
0.028,-1.1693,-0.2,-0.125866,
0.03,-1.4629,-0.2,-0.151377,
0.032,-1.7888,-0.2,-0.167644,
0.034,-2.1483,-0.1,-0.185511,
0.036,-2.5414,0,-0.195911,
0.038,-2.9668,0,-0.213777,
0.04,-3.4154,0,-0.228444,
0.042,-3.8945,0.1,-0.241955,
0.044,-4.3956,0.2,-0.252799,
0.046,-4.9217,0.2,-0.265244,
0.048,-5.4735,0.3,-0.279377,
0.05,-6.0472,0.3,-0.2864,
0.052,-6.6417,0.3,-0.297866,
0.054,-7.2545,0.3,-0.307644,
0.056,-7.8862,0.2,-0.316266,
0.058,-8.543,0.1,-0.332622,
0.06,-9.2272,0.2,-0.345066,
0.062,-9.9382,0.3,-0.358044,
0.064,-10.6749,0.1,-0.373244,
0.066,-11.4464,0.1,-0.388977,
0.068,-12.2472,0.1,-0.404177,
0.07,-13.076,0.1,-0.415022,
0.072,-13.9226,0,-0.426399,
0.074,-14.7801,0,-0.430755,
0.076,-15.6487,0,-0.437333,
0.078,-16.5465,0,-0.451377,
0.08,-17.4633,-0.1,-0.459555,
0.082,-18.4166,-0.1,-0.478488,
0.084,-19.4072,-0.1,-0.498577,
0.086,-20.4412,0,-0.523022,
0.088,-21.5166,0,-0.546311,
0.09,-22.6464,0.2,-0.569688,
0.092,-23.8207,0.3,-0.587022,
