Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.1654,1.2,0.002755,
0.002,-0.1672,1.1,0.001155,
0.004,-0.1679,1.1,0.000533,
0.006,-0.1703,1.2,-0.001066,
0.008,-0.1697,1.1,0,
0.01,-0.1697,1.1,-0.000533,
0.012,-0.1703,1.2,0.002133,
0.014,-0.1733,1.1,-0.000533,
0.016,-0.1733,1.2,0.002755,
0.018,-0.1752,1.1,0,
0.02,-0.1807,1.1,-0.003822,
0.022,-0.1892,1.1,-0.005422,
0.024,-0.1916,1.2,-0.0032,
0.026,-0.1928,1.2,0,
0.028,-0.1995,1.1,-0.004355,
0.03,-0.205,0.9,-0.005422,
0.032,-0.2209,0.5,-0.010844,
0.034,-0.2599,0.3,-0.022755,
0.036,-0.3228,0.3,-0.032533,
0.038,-0.4076,0.2,-0.044444,
0.04,-0.5218,0.3,-0.060799,
0.042,-0.6499,0.3,-0.066133,
0.044,-0.7976,0.4,-0.075377,
0.046,-0.9691,0.4,-0.088355,
0.048,-1.1462,0.6,-0.087911,
0.05,-1.3451,0.6,-0.101422,
0.052,-1.5533,0.8,-0.105333,
0.054,-1.7754,0.8,-0.115555,
0.056,-1.9933,0.9,-0.110666,
0.058,-2.2301,1,-0.115555,
0.06,-2.467,1.1,-0.117777,
0.062,-2.7044,1,-0.119377,
0.064,-2.9461,1.1,-0.120977,
0.066,-3.1884,1.1,-0.124266,
0.068,-3.4313,1,-0.125333,
0.07,-3.6828,1,-0.126399,
0.072,-3.9263,1,-0.124266,
0.074,-4.1814,1,-0.127466,
0.076,-4.4347,0.9,-0.129066,
0.078,-4.6953,0.9,-0.129599,
0.08,-4.9724,0.8,-0.138311,
0.082,-5.2471,0.9,-0.14,
0.084,-5.5315,0.7,-0.142133,
0.086,-5.8355,0.8,-0.150844,
0.088,-6.1455,0.7,-0.159466,
0.09,-6.4654,0.7,-0.163911,
0.092,-6.7992,0.6,-0.169244,
0.094,-7.1416,0.7,-0.174666,
0.096,-7.4969,0.7,-0.179111,
0.098,-7.8618,0.7,-0.186577,
0.1,-8.2378,0.7,-0.190933,
0.102,-8.6303,0.7,-0.195288,
0.104,-9.0337,0.7,-0.202311,
0.106,-9.4494,0.7,-0.209955,
0.108,-9.8772,0.8,-0.214311,
0.11,-10.3191,0.8,-0.221333,
0.112,-10.7708,0.8,-0.225155,
0.114,-11.2359,0.8,-0.234933,
0.116,-11.7058,0.9,-0.231111,
0.118,-12.1935,0.9,-0.241422,
0.12,-12.683,0.9,-0.243555,
0.122,-13.1811,0.8,-0.250666,
0.124,-13.6846,0.8,-0.250666,
0.126,-14.1845,0.8,-0.247377,
0.128,-14.6886,0.7,-0.250666,
0.13,-15.1983,0.7,-0.253422,
0.132,-15.7104,0.8,-0.255022,
0.134,-16.2279,0.7,-0.259822,
0.136,-16.7535,0.6,-0.263733,
0.138,-17.2851,0.6,-0.2648,
0.14,-17.8313,0.6,-0.274488,
0.142,-18.3874,0.5,-0.279466,
0.144,-18.9538,0.6,-0.286488,
0.146,-19.5348,0.6,-0.292977,
0.148,-20.1232,0.7,-0.296266,
0.15,-20.7311,0.6,-0.305955,
0.152,-21.3482,0.7,-0.312,
0.154,-21.9829,1,-0.319555,
0.156,-22.633,1,-0.328266,
0.158,-23.2958,1,-0.333688,
0.16,-23.9532,1,-0.3304,
0.162,-24.6044,1,-0.3288,
0.164,-25.2556,1,-0.322755,
0.166,-25.8941,1,-0.318488,
0.168,-26.5301,0.9,-0.319555,
0.17,-27.1624,0.9,-0.316266,
0.172,-27.7868,0.7,-0.314133,
0.174,-28.416,0.7,-0.314666,
0.176,-29.0545,0.5,-0.320088,
0.178,-29.6966,0.4,-0.320711,
0.18,-30.3551,0.4,-0.329244,
0.182,-31.032,0.3,-0.338488,
0.184,-31.7357,0.3,-0.353688,
0.186,-32.4645,0.3,-0.366222,
0.188,-33.2232,0.4,-0.385777,
0.19,-33.9947,0.5,-0.392266,
0.192,-34.7838,0.5,-0.396533,
0.194,-35.5761,0.5,-0.397155,
0.196,-36.3738,0.6,-0.399288,
0.198,-37.1722,0.6,-0.398844,
0.2,-37.9742,0.6,-0.402044,
0.202,-38.7823,0.5,-0.405866,
0.204,-39.6038,0.5,-0.412355,
0.206,-40.4345,0.7,-0.416177,
0.208,-41.278,0.6,-0.424266,
0.21,-42.1422,0.8,-0.435111,
0.212,-43.0175,0.8,-0.440533,
0.214,-43.9092,0.8,-0.447022,
0.216,-44.7912,0.7,-0.444888,
0.218,-45.678,0.8,-0.443199,
0.22,-46.56,0.9,-0.441066,
0.222,-47.4364,0.8,-0.436711,
0.224,-48.3172,0.8,-0.442222,
0.226,-49.2034,0.8,-0.443822,
0.228,-50.1006,0.9,-0.451377,
0.23,-51.0113,0.8,-0.457955,
0.232,-51.9372,0.7,-0.461688,
0.234,-52.8771,0.8,-0.471466,
0.236,-53.8311,0.8,-0.478488,
0.238,-54.7765,0.7,-0.475199,
0.24,-55.7201,0.7,-0.469777,
0.242,-56.6729,0.5,-0.475822,
0.244,-57.6232,0.6,-0.476888,
0.246,-58.59,0.6,-0.485599,
0.248,-59.5818,0.6,-0.496444,
0.25,-60.5883,0.7,-0.505066,
0.252,-61.621,0.7,-0.515911,
0.254,-62.6665,0.6,-0.522399,
0.256,-63.7121,-28.3,-0.518666,
0.258,-64.7082,0,-0.494311,
0.26,-65.5498,0,-0.368355,
0.262,-66.4013,0.2,-0.402577,
0.264,-67.0647,2.7,-0.3136,
0.266,-67.5457,0.8,-0.218133,
0.268,-67.8484,0.2,-0.131288,
0.27,-67.9723,0.2,-0.046133,
0.272,-67.9723,-2.1,0.012533,
0.274,-67.8557,-1,0.066755,
0.276,-67.6586,-1.9,0.104711,
0.278,-67.4029,-2.9,0.132888,
0.28,-67.1148,-3.8,0.145955,
0.282,-66.8011,-4.2,0.156711,
0.284,-66.4953,-4.7,0.151911,
0.286,-66.2151,-5.2,0.137244,
0.288,-65.9673,-5.6,0.119377,
0.29,-65.7714,-5.7,0.091644,
0.292,-65.6255,-5.9,0.063999,
0.294,-65.5407,-6,0.035288,
0.296,-65.5236,-5.9,0.002666,
0.298,-65.5657,-5.6,-0.027111,
0.3,-65.6585,-5.6,-0.053688,
0.302,-65.7964,-5.7,-0.075911,
0.304,-65.9673,-5.8,-0.091111,
0.306,-66.173,-5.9,-0.104177,
0.308,-66.4196,-6.1,-0.127466,
0.31,-66.701,-6.2,-0.143288,
0.312,-67.0055,-6.6,-0.155644,
0.314,-67.3278,-6.8,-0.160622,
0.316,-67.6458,-7.2,-0.1584,
0.318,-67.9735,-7.6,-0.163288,
0.32,-68.2964,-8,-0.160533,
0.322,-68.6065,-8.5,-0.154666,
0.324,-68.8988,-9.4,-0.1448,
0.326,-69.1802,-9.9,-0.138844,
0.328,-69.4396,-10.5,-0.126933,
0.33,-69.6929,-11.4,-0.120444,
0.332,-69.9297,-12.3,-0.115022,
0.334,-70.1635,-16.5,-0.112355,
0.336,-70.3692,-23.3,-0.101511,
0.338,-70.4882,-28.5,-0.027644,
0.34,-70.5602,-30.8,-0.023822,
0.342,-70.5389,-28.2,0.021155,
0.344,-70.4613,-23.1,0.044,
0.346,-70.3594,-18.7,0.052088,
0.348,-70.2556,-15.8,0.051555,
0.35,-70.1623,-13.9,0.041244,
0.352,-70.0811,-12,0.036888,
0.354,-70.0127,-12.2,0.034222,
0.356,-69.956,-12.1,0.027111,
0.358,-69.8998,-11.8,0.027111,
0.36,-69.8528,-11.4,0.024444,
0.362,-69.8034,-11.3,0.022755,
0.364,-69.7509,-11,0.027111,
0.366,-69.6947,-10.6,0.027199,
0.368,-69.63,-10.3,0.032622,
0.37,-69.5525,-10,0.039644,
0.372,-69.4713,-9.8,0.041244,
0.374,-69.3822,-9.5,0.046133,
0.376,-69.2827,-9.2,0.049422,
0.378,-69.1729,-9,0.055822,
0.38,-69.0478,-8.8,0.064533,
0.382,-68.9086,-8.6,0.070488,
0.384,-68.7536,-8.2,0.0792,
0.386,-68.5876,-8,0.085155,
0.388,-68.4069,-7.6,0.091111,
0.39,-68.211,-7.3,0.099288,
0.392,-68.0089,-6.9,0.099288,
0.394,-67.7947,-6.5,0.106311,
0.396,-67.5738,-6.1,0.110666,
0.398,-67.3443,-5.6,0.115555,
0.4,-67.1093,-5.2,0.117688,
0.402,-66.8651,-4.7,0.122666,
0.404,-66.6192,-4.1,0.125333,
0.406,-66.3659,-3.7,0.125333,
0.408,-66.1095,-3.1,0.129155,
0.41,-65.8465,-2.7,0.132355,
0.412,-65.5822,-2.2,0.130222,
0.414,-65.3124,-1.8,0.136177,
0.416,-65.0982,-3.7,0.082488,
0.418,-64.8937,-3.7,0.097688,
0.42,-64.7454,-3.7,0.066222,
0.422,-64.6624,-3.5,0.031466,
0.424,-64.6392,-3.2,0.005955,
0.426,-64.6587,-2.6,-0.013511,
0.428,-64.7094,-2.7,-0.029866,
0.43,-64.7924,-2.6,-0.043377,
0.432,-64.8791,-2.6,-0.045066,
0.434,-64.9944,-2.6,-0.058044,
0.436,-65.1171,-2.7,-0.064533,
0.438,-65.2489,-2.8,-0.068888,
0.44,-65.393,-3,-0.072711,
0.442,-65.5437,-3.1,-0.076977,
0.444,-65.7061,-3.3,-0.083022,
0.446,-65.877,-3.4,-0.087377,
0.448,-66.0467,-3.7,-0.085777,
0.45,-66.2102,-4,-0.0808,
0.452,-66.3787,-4.2,-0.082488,
0.454,-66.5356,-4.6,-0.076533,
0.456,-66.6851,-5,-0.074844,
0.458,-66.8255,-5.4,-0.070577,
0.46,-66.9579,-5.8,-0.068888,
0.462,-67.0891,-6.3,-0.061777,
0.464,-67.221,-6.8,-0.065688,
0.466,-67.3498,-7.3,-0.066755,
0.468,-67.4877,-7.7,-0.069422,
0.47,-67.6299,-8.3,-0.073777,
0.472,-67.7843,-8.7,-0.0792,
0.474,-67.9583,-9.2,-0.088444,
0.476,-68.142,-9.7,-0.0944,
0.478,-68.3483,-10.1,-0.105777,
0.48,-68.5674,-10.5,-0.112799,
0.482,-68.8006,-11.1,-0.118311,
0.484,-69.049,-11.5,-0.123733,
0.486,-69.309,-12,-0.132355,
0.488,-69.5714,-12.6,-0.131822,
0.49,-69.8534,-13.2,-0.142133,
