Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3075,1.1,-0.002222,
0.002,-0.3062,1,0.002222,
0.004,-0.3087,1.2,-0.0016,
0.006,-0.3093,1.1,-0.0016,
0.008,-0.3087,1.2,0.001066,
0.01,-0.3111,1.2,-0.0016,
0.012,-0.3142,1.1,0,
0.014,-0.3172,1.1,-0.000533,
0.016,-0.3227,0.8,-0.002133,
0.018,-0.3453,0.5,-0.011911,
0.02,-0.3838,0.5,-0.021155,
0.022,-0.4411,0.5,-0.029244,
0.024,-0.5193,0.5,-0.041777,
0.026,-0.6084,0.6,-0.0472,
0.028,-0.7134,0.6,-0.055911,
0.03,-0.8312,0.7,-0.058666,
0.032,-0.952,0.7,-0.060177,
0.034,-1.0948,0.8,-0.072177,
0.036,-1.2383,0.8,-0.073244,
0.038,-1.3908,0.9,-0.079733,
0.04,-1.544,1,-0.078044,
0.042,-1.7094,1,-0.0824,
0.044,-1.8755,1,-0.082488,
0.046,-2.0512,1.1,-0.088977,
0.048,-2.2215,1.1,-0.087288,
0.05,-2.4004,1,-0.087911,
0.052,-2.5884,1.1,-0.093333,
0.054,-2.7672,1,-0.093866,
0.056,-2.9503,1,-0.089511,
0.058,-3.1413,0.9,-0.092711,
0.06,-3.3409,1,-0.098222,
0.062,-3.5417,0.9,-0.102488,
0.064,-3.745,0.9,-0.104711,
0.066,-3.9641,0.8,-0.108533,
0.068,-4.1887,0.8,-0.115022,
0.07,-4.4212,0.8,-0.118222,
0.072,-4.6697,0.7,-0.123733,
0.074,-4.9266,0.7,-0.131288,
0.076,-5.1878,0.7,-0.131288,
0.078,-5.4674,0.7,-0.138933,
0.08,-5.7585,0.7,-0.146488,
0.082,-6.06,0.7,-0.152977,
0.084,-6.3676,0.7,-0.158933,
0.086,-6.6869,0.7,-0.160088,
0.088,-7.0213,0.7,-0.168177,
0.09,-7.3564,0.7,-0.168177,
0.092,-7.7086,0.8,-0.177955,
0.094,-8.0614,0.8,-0.179022,
0.096,-8.4312,0.8,-0.182222,
0.098,-8.8121,0.8,-0.192088,
0.1,-9.1997,0.8,-0.194222,
0.102,-9.5982,0.8,-0.199644,
0.104,-10.0072,0.8,-0.207822,
0.106,-10.4253,0.8,-0.209422,
0.108,-10.8562,0.9,-0.215377,
0.11,-11.2932,0.8,-0.219199,
0.112,-11.7448,0.8,-0.228888,
0.114,-12.2008,0.8,-0.230044,
0.116,-12.6659,0.9,-0.229511,
0.118,-13.1426,0.8,-0.239288,
0.12,-13.6168,0.7,-0.238755,
0.122,-14.0959,0.7,-0.237066,
