Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3118,1.2,-0.002133,
0.002,-0.3124,1.2,0.000533,
0.004,-0.3124,1.2,0,
0.006,-0.3124,1.2,0,
0.008,-0.3106,1.2,0.000533,
0.01,-0.3136,1.2,-0.002666,
0.012,-0.3143,1.2,0,
0.014,-0.313,1.2,0,
0.016,-0.3149,1.2,0.0016,
0.018,-0.3136,1.2,0.002222,
0.02,-0.3136,1.2,0.000622,
0.022,-0.3191,1.2,-0.000533,
0.024,-0.3185,1.2,0.000533,
0.026,-0.3204,1.2,-0.001155,
0.028,-0.3197,1.1,0.001155,
0.03,-0.3259,1.1,-0.003288,
0.032,-0.3362,0.6,-0.008088,
0.034,-0.3643,0.5,-0.016266,
0.036,-0.4028,0.6,-0.021777,
0.038,-0.4607,0.7,-0.028711,
0.04,-0.5303,0.7,-0.034133,
0.042,-0.6054,0.8,-0.040711,
0.044,-0.6902,0.9,-0.040088,
0.046,-0.7726,1,-0.043377,
0.048,-0.8611,1,-0.043377,
0.05,-0.9533,1.1,-0.045066,
0.052,-1.043,1.2,-0.046133,
0.054,-1.1315,1.2,-0.044977,
0.056,-1.2249,1.3,-0.042844,
0.058,-1.3152,1.3,-0.045511,
0.06,-1.3982,1.3,-0.041777,
0.062,-1.4861,1.3,-0.042844,
0.064,-1.5691,1.3,-0.044444,
0.066,-1.6424,1.2,-0.038577,
0.068,-1.7168,1.3,-0.034666,
0.07,-1.795,1.2,-0.038577,
0.072,-1.8639,1.2,-0.0336,
0.074,-1.9415,1.2,-0.037511,
0.076,-2.0153,1.2,-0.035822,
0.078,-2.0971,1,-0.041244,
0.08,-2.1709,1.1,-0.036888,
0.082,-2.2515,1,-0.040711,
0.084,-2.3418,1,-0.042311,
0.086,-2.4316,1,-0.046666,
0.088,-2.5304,1,-0.0488,
0.09,-2.6305,1,-0.049333,
0.092,-2.7435,1,-0.055911,
0.094,-2.8558,1,-0.055377,
0.096,-2.9766,1,-0.060799,
0.098,-3.1023,1,-0.062311,
0.1,-3.2244,1,-0.060711,
0.102,-3.3599,1,-0.066755,
0.104,-3.4978,1.1,-0.068355,
0.106,-3.6346,1.1,-0.068355,
0.108,-3.7768,1.1,-0.072711,
0.11,-3.9208,1.1,-0.068888,
0.112,-4.0655,1.1,-0.072711,
0.114,-4.2144,1.1,-0.073777,
0.116,-4.3688,1.1,-0.074844,
0.118,-4.5226,1.1,-0.0776,
0.12,-4.677,1.1,-0.077511,
0.122,-4.8357,1,-0.078666,
0.124,-4.9975,1,-0.080266,
0.126,-5.158,1.1,-0.083555,
