Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.1605,1.1,-0.0016,
0.002,-0.1648,1.3,0.0016,
0.004,-0.1648,1.1,-0.001066,
0.006,-0.1642,1.1,-0.001066,
0.008,-0.1672,1.1,-0.0016,
0.01,-0.1666,1.2,0.001688,
0.012,-0.1648,1.1,0.002666,
0.014,-0.1691,1.1,-0.001155,
0.016,-0.1697,1.2,-0.001066,
0.018,-0.1697,1.2,0.002133,
0.02,-0.177,1.2,-0.002133,
0.022,-0.1849,1.1,-0.004266,
0.024,-0.1855,1.1,0,
0.026,-0.188,1.1,-0.000533,
0.028,-0.1964,1.1,-0.002666,
0.03,-0.2031,0.7,-0.0032,
0.032,-0.2324,0.4,-0.016266,
0.034,-0.2819,0.3,-0.027111,
0.036,-0.3527,0.3,-0.035288,
0.038,-0.4436,0.4,-0.046133,
0.04,-0.5651,0.4,-0.061333,
0.042,-0.6969,0.4,-0.068888,
0.044,-0.8477,0.3,-0.078133,
0.046,-1.0186,0.4,-0.088444,
0.048,-1.1999,0.6,-0.092266,
0.05,-1.3921,0.7,-0.099822,
0.052,-1.5996,0.7,-0.105777,
0.054,-1.8163,0.8,-0.112799,
0.056,-2.0318,0.9,-0.112355,
0.058,-2.2625,0.9,-0.115022,
0.06,-2.4968,1,-0.116088,
0.062,-2.7355,1,-0.120977,
0.064,-2.9784,1,-0.123644,
0.066,-3.2299,1.1,-0.125866,
0.068,-3.4765,1.1,-0.125333,
0.07,-3.7267,1,-0.127999,
0.072,-3.9849,1,-0.129155,
0.074,-4.2376,1,-0.125333,
0.076,-4.4976,1,-0.128622,
0.078,-4.7625,0.9,-0.129688,
0.08,-5.0384,0.9,-0.137866,
0.082,-5.3161,0.8,-0.14,
0.084,-5.6035,0.7,-0.144266,
0.086,-5.9051,0.7,-0.151377,
0.088,-6.2151,0.8,-0.160622,
0.09,-6.5337,0.7,-0.16,
0.092,-6.8657,0.7,-0.167022,
0.094,-7.2088,0.6,-0.173066,
0.096,-7.5628,0.6,-0.177955,
0.098,-7.9326,0.7,-0.186577,
0.1,-8.3129,0.6,-0.193155,
0.102,-8.7066,0.6,-0.200266,
0.104,-9.1143,0.8,-0.205066,
0.106,-9.533,0.8,-0.211022,
0.108,-9.9621,0.7,-0.216533,
0.11,-10.4046,0.7,-0.223555,
0.112,-10.8593,0.8,-0.229511,
0.114,-11.325,0.7,-0.235999,
0.116,-11.7998,0.8,-0.241422,
0.118,-12.2857,0.9,-0.245777,
0.12,-12.7764,0.9,-0.243644,
0.122,-13.2702,0.9,-0.244711,
0.124,-13.7725,0.8,-0.250133,
0.126,-14.2785,0.8,-0.250133,
0.128,-14.7777,0.8,-0.249511,
0.13,-15.288,0.8,-0.252266,
0.132,-15.8019,0.7,-0.257688,
0.134,-16.3225,0.7,-0.259822,
0.136,-16.8499,0.6,-0.265866,
0.138,-17.387,0.6,-0.269066,
0.14,-17.9314,0.5,-0.271822,
0.142,-18.4899,0.6,-0.278844,
0.144,-19.0624,0.7,-0.288088,
0.146,-19.6386,0.7,-0.287022,
0.148,-20.2331,0.6,-0.298933,
0.15,-20.8397,0.7,-0.303822,
0.152,-21.4641,0.8,-0.312977,
0.154,-22.1038,0.9,-0.322311,
0.156,-22.7508,0.9,-0.326666,
0.158,-23.4087,1,-0.326577,
0.16,-24.0697,1,-0.332533,
0.162,-24.7185,1.1,-0.321688,
0.164,-25.3716,1,-0.321155,
0.166,-26.0113,0.9,-0.320711,
0.168,-26.6454,0.9,-0.320088,
0.17,-27.2741,0.8,-0.312533,
0.172,-27.8997,0.7,-0.309244,
0.174,-28.5369,0.7,-0.317422,
0.176,-29.1759,0.5,-0.319022,
0.178,-29.8235,0.4,-0.322222,
0.18,-30.487,0.3,-0.331022,
0.182,-31.1681,0.2,-0.345066,
0.184,-31.8804,0.4,-0.359733,
0.186,-32.6092,0.3,-0.370044,
0.188,-33.3654,0.4,-0.3776,
0.19,-34.1472,0.5,-0.389511,
0.192,-34.9334,0.5,-0.396088,
0.194,-35.7262,0.5,-0.397688,
0.196,-36.5227,0.5,-0.399822,
0.198,-37.3198,0.5,-0.399822,
0.2,-38.1212,0.5,-0.401422,
0.202,-38.9354,0.5,-0.405777,
0.204,-39.7558,0.6,-0.411288,
0.206,-40.5938,0.6,-0.418311,
0.208,-41.447,0.7,-0.424799,
0.21,-42.3186,0.7,-0.436711,
0.212,-43.2018,0.7,-0.447555,
0.214,-44.0886,0.8,-0.444799,
0.216,-44.9773,0.9,-0.444888,
0.218,-45.8562,0.9,-0.437777,
0.22,-46.7376,0.8,-0.437333,
0.222,-47.6122,0.8,-0.435644,
0.224,-48.4911,0.9,-0.439999,
0.226,-49.3798,0.7,-0.447022,
0.228,-50.2752,0.7,-0.450311,
0.23,-51.1864,0.7,-0.457866,
0.232,-52.1178,0.7,-0.465511,
0.234,-53.0608,0.8,-0.473066,
0.236,-54.0142,0.7,-0.473688,
0.238,-54.9663,0.8,-0.477955,
0.24,-55.9179,0.7,-0.478577,
0.242,-56.8633,0.6,-0.474133,
0.244,-57.8252,0.6,-0.480711,
0.246,-58.7975,0.5,-0.489333,
0.248,-59.7912,0.6,-0.500799,
0.25,-60.8056,0.7,-0.510044,
0.252,-61.8401,0.7,-0.520799,
0.254,-62.8917,0.4,-0.525688,
0.256,-63.9208,-15.4,-0.508355,
0.258,-64.909,1.1,-0.491022,
0.26,-65.7409,2.1,-0.384177,
0.262,-66.5416,-0.7,-0.388444,
0.264,-67.1666,10.6,-0.290755,
0.266,-67.6012,0.7,-0.198577,
0.268,-67.8557,-0.2,-0.108444,
0.27,-67.9534,-0.1,-0.032533,
0.272,-67.9229,-2,0.027111,
0.274,-67.7874,-1.3,0.0776,
0.276,-67.5719,-1.9,0.115555,
0.278,-67.3131,-2.9,0.137866,
0.28,-67.025,-3.8,0.146488,
0.282,-66.7193,-4.1,0.153511,
0.284,-66.4293,-4.8,0.141066,
0.286,-66.1626,-5.1,0.131822,
0.288,-65.9368,-5.4,0.108533,
0.29,-65.7519,-5.5,0.084622,
0.292,-65.6273,-5.8,0.054311,
0.294,-65.5608,-5.8,0.027644,
0.296,-65.5553,-5.4,-0.003822,
0.298,-65.6072,-5.5,-0.031999,
0.3,-65.7012,-5.6,-0.052088,
0.302,-65.8404,-5.6,-0.073244,
0.304,-66.0119,-5.8,-0.091733,
0.306,-66.223,-6,-0.107911,
0.308,-66.4641,-6,-0.120977,
0.31,-66.7357,-6.2,-0.139911,
0.312,-67.0385,-6.5,-0.152977,
0.314,-67.3559,-7,-0.160088,
0.316,-67.6781,-7.2,-0.162755,
0.318,-68.0034,-7.6,-0.164355,
0.32,-68.3312,-8.1,-0.165511,
0.322,-68.6516,-8.6,-0.158933,
0.324,-68.9544,-9.1,-0.149777,
0.326,-69.2431,-9.8,-0.139466,
0.328,-69.5134,-10.6,-0.129066,
0.33,-69.7613,-11.4,-0.119911,
0.332,-69.9993,-12.5,-0.116622,
0.334,-70.2208,-18.8,-0.107377,
0.336,-70.4125,-25.2,-0.091733,
0.338,-70.5077,-28.5,-0.051022,
0.34,-70.5401,-30,-0.008177,
0.342,-70.4961,-25.9,0.030399,
0.344,-70.404,-21.1,0.051466,
0.346,-70.3008,-17.1,0.051022,
0.348,-70.2093,-15.2,0.045511,
0.35,-70.1293,-13.1,0.040711,
0.352,-70.0597,-12,0.033688,
0.354,-70.0072,-11.8,0.028266,
0.356,-69.9535,-11.9,0.026577,
0.358,-69.9108,-11.6,0.021155,
0.36,-69.8613,-11.3,0.022844,
0.362,-69.8125,-11,0.025511,
