Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3124,1.2,0.002666,
0.002,-0.3185,1.3,0,
0.004,-0.3209,1.3,-0.000533,
0.006,-0.3215,1.2,-0.0016,
0.008,-0.3252,1.1,-0.001688,
0.01,-0.3294,1.2,-0.0016,
0.012,-0.3362,0.9,-0.003822,
0.014,-0.3612,0.4,-0.016266,
0.016,-0.4027,0.3,-0.024444,
0.018,-0.4692,0.4,-0.034666,
0.02,-0.5571,0.4,-0.044444,
0.022,-0.6657,0.4,-0.056355,
0.024,-0.7927,0.4,-0.066755,
0.026,-0.9374,0.5,-0.071644,
0.028,-1.0979,0.6,-0.083022,
0.03,-1.2706,0.6,-0.087377,
0.032,-1.461,0.8,-0.094933,
0.034,-1.6557,0.9,-0.096533,
0.036,-1.87,0.9,-0.106933,
0.038,-2.0866,0.9,-0.111733,
0.04,-2.3094,0.9,-0.111199,
0.042,-2.5469,0.9,-0.117244,
0.044,-2.7824,0.9,-0.120977,
0.046,-3.0284,0.9,-0.124266,
0.048,-3.2909,0.9,-0.129155,
0.05,-3.5509,0.9,-0.134044,
0.052,-3.8164,0.9,-0.134577,
0.054,-4.0978,0.8,-0.142755,
0.056,-4.3822,0.7,-0.145955,
0.058,-4.6831,0.8,-0.148088,
0.06,-4.998,0.7,-0.16,
0.062,-5.3172,0.6,-0.163288,
0.064,-5.6572,0.7,-0.170933,
0.066,-6.0082,0.6,-0.180177,
0.068,-6.3701,0.6,-0.184977,
0.07,-6.7522,0.6,-0.189866,
0.072,-7.144,0.5,-0.196888,
0.074,-7.5505,0.6,-0.202311,
0.076,-7.9741,0.5,-0.211022,
0.078,-8.4117,0.5,-0.220266,
0.08,-8.8744,0.5,-0.233333,
0.082,-9.3492,0.5,-0.241422,
0.084,-9.8375,0.5,-0.246311,
0.086,-10.3508,0.6,-0.257688,
0.088,-10.8818,0.6,-0.264711,
0.09,-11.4317,0.6,-0.278844,
0.092,-11.9939,0.7,-0.284888,
0.094,-12.5639,0.7,-0.282044,
0.096,-13.1578,0.7,-0.296177,
0.098,-13.7492,0.7,-0.297244,
0.1,-14.3498,0.7,-0.300533,
0.102,-14.9504,0.7,-0.302133,
0.104,-15.5583,0.5,-0.302133,
0.106,-16.1772,0.6,-0.308711,
0.108,-16.8089,0.5,-0.315733,
0.11,-17.4504,0.5,-0.320622,
0.112,-18.1078,0.5,-0.329333,
0.114,-18.7785,0.4,-0.336888,
0.116,-19.4682,0.5,-0.346133,
0.118,-20.1714,0.6,-0.351555,
0.12,-20.8934,0.5,-0.364,
0.122,-21.6411,0.7,-0.373777,
0.124,-22.4181,0.7,-0.394488,
0.126,-23.2048,0.8,-0.397688,
0.128,-24.0019,1,-0.394933,
0.13,-24.8045,1,-0.399288,
0.132,-25.5949,1,-0.396,
0.134,-26.3719,0.9,-0.390044,
0.136,-27.1446,0.8,-0.385688,
0.138,-27.9131,0.7,-0.382488,
0.14,-28.6815,0.6,-0.386311,
0.142,-29.4609,0.5,-0.391111,
0.144,-30.2556,0.3,-0.398222,
0.146,-31.0692,0.3,-0.4096,
0.148,-31.9121,0.2,-0.423199,
0.15,-32.7898,0.3,-0.441066,
0.152,-33.7016,0.4,-0.455733,
0.154,-34.6318,0.4,-0.466044,
0.156,-35.5724,0.4,-0.472622,
0.158,-36.5166,0.9,-0.467644,
0.16,-37.4492,1,-0.464444,
0.162,-38.3708,1,-0.460622,
0.164,-39.2882,1,-0.458488,
0.166,-40.2037,1.2,-0.456799,
0.168,-41.1162,1.2,-0.458488,
0.17,-42.0342,1.3,-0.459555,
0.172,-42.9442,1.4,-0.453599,
0.174,-43.8554,1.6,-0.449155,
0.176,-44.7527,1.7,-0.443822,
0.178,-45.6163,1.8,-0.430755,
0.18,-46.4635,1.7,-0.420444,
0.182,-47.2771,1.8,-0.404177,
0.184,-48.0687,1.8,-0.3928,
0.186,-48.8475,1.8,-0.387911,
0.188,-49.608,1.8,-0.380266,
0.19,-50.3575,1.8,-0.372177,
0.192,-51.0985,1.7,-0.371111,
0.194,-51.8163,1.8,-0.3592,
0.196,-52.5334,1.7,-0.354222,
0.198,-53.2335,1.7,-0.348888,
0.2,-53.925,1.6,-0.342311,
0.202,-54.594,1.5,-0.330933,
0.204,-55.2501,1.5,-0.325511,
0.206,-55.8855,1.5,-0.316888,
0.208,-56.5068,1.4,-0.307022,
0.21,-57.1196,1.4,-0.303822,
0.212,-57.7257,1.4,-0.301155,
0.214,-58.3202,1.3,-0.296266,
0.216,-58.9116,1.3,-0.295644,
0.218,-59.5006,1.4,-0.294577,
0.22,-60.0768,1.4,-0.286488,
0.222,-60.6468,1.5,-0.279911,
0.224,-61.2157,1.6,-0.278311,
0.226,-61.7729,1.6,-0.278311,
0.228,-62.3137,1.7,-0.269066,
0.23,-62.8478,1.7,-0.262666,
0.232,-63.3574,1.7,-0.251199,
0.234,-63.853,1.8,-0.245777,
0.236,-64.3199,1.7,-0.230044,
0.238,-64.7716,1.7,-0.222488,
0.24,-65.1994,1.7,-0.211022,
0.242,-65.6133,1.7,-0.201333,
0.244,-66.0106,1.6,-0.195288,
0.246,-66.3902,1.6,-0.187644,
0.248,-66.7626,1.4,-0.183377,
0.25,-67.1196,1.4,-0.177955,
0.252,-67.4681,1.4,-0.172,
0.254,-67.8063,1.4,-0.167111,
0.256,-68.1383,1.3,-0.166044,
0.258,-68.4642,1.4,-0.162222,
0.26,-68.7816,1.3,-0.1584,
0.262,-69.0923,1.4,-0.154133,
0.264,-69.3944,1.3,-0.151377,
0.266,-69.6886,1.4,-0.145422,
0.268,-69.9748,1.4,-0.1432,
0.27,-70.2483,1.5,-0.137333,
0.272,-70.5119,1.4,-0.130755,
0.274,-70.7689,1.6,-0.127466,
0.276,-71.0106,1.5,-0.119911,
0.278,-71.2401,1.5,-0.114488,
0.28,-71.4574,1.5,-0.107466,
0.282,-71.6643,1.6,-0.102044,
0.284,-71.8547,1.5,-0.094933,
0.286,-72.0329,1.6,-0.088444,
0.288,-72.1953,1.6,-0.078133,
0.29,-72.3448,1.5,-0.071022,
0.292,-72.4834,1.6,-0.061333,
0.294,-72.6067,1.5,-0.056977,
0.296,-72.7184,1.4,-0.054311,
0.298,-72.8185,1.5,-0.048355,
0.3,-72.9063,1.5,-0.042311,
0.302,-72.9839,1.4,-0.038044,
0.304,-73.0461,1.4,-0.030399,
0.306,-73.0956,1.4,-0.021155,
0.308,-73.1407,1.4,-0.019466,
0.31,-73.1688,1.5,-0.011911,
0.312,-73.1877,1.4,-0.007555,
0.314,-73.2054,1.4,-0.014044,
0.316,-73.2054,0.8,0,
0.318,-73.2152,0.7,0,
0.32,-73.239,0.6,-0.010844,
0.322,-73.2683,0.6,-0.014133,
0.324,-73.3061,0.6,-0.021155,
0.326,-73.355,0.6,-0.027199,
0.328,-73.4136,0.5,-0.032622,
0.33,-73.4844,0.5,-0.033688,
0.332,-73.5704,0.4,-0.044977,
0.334,-73.6736,0.4,-0.052088,
0.336,-73.7901,0.4,-0.060177,
0.338,-73.9208,0.3,-0.064622,
0.34,-74.0703,0.3,-0.075377,
0.342,-74.2326,0.4,-0.084622,
0.344,-74.409,0.3,-0.093866,
0.346,-74.597,0.3,-0.096533,
0.348,-74.8082,0.4,-0.107999,
0.35,-75.0243,0.4,-0.109599,
0.352,-75.2562,0.4,-0.116088,
0.354,-75.4991,0.4,-0.124799,
0.356,-75.7579,0.4,-0.128533,
0.358,-76.0271,0.4,-0.135111,
0.36,-76.3103,0.4,-0.142133,
0.362,-76.6051,0.4,-0.147555,
0.364,-76.9084,0.4,-0.153511,
0.366,-77.2289,0.4,-0.162755,
0.368,-77.5566,0.4,-0.165955,
0.37,-77.8972,0.4,-0.173066,
0.372,-78.2506,0.4,-0.178488,
0.374,-78.618,0.4,-0.184977,
0.376,-78.9983,0.4,-0.192622,
0.378,-79.3926,0.3,-0.198577,
0.38,-79.796,0.4,-0.200177,
0.382,-80.2153,0.4,-0.211022,
0.384,-80.6468,0.3,-0.214844,
0.386,-81.0844,0.3,-0.220266,
0.388,-81.5337,0.4,-0.225688,
0.39,-81.9957,0.3,-0.232711,
0.392,-82.4645,0.3,-0.238222,
