Timestamp,17/04/2024 11:43:35
Interval,0,0002
Channel name,"1704SharinC1"
Unit,"V"
0,-0,0013237382518127561
0,0802,-0,0026130883488804102
0,0804,0,004155999660724774
0,0806,0,0015772994665894657
0,0808,0,0018996369908563793
0,081,-0,0029354258731473237
0,0812,-0,0035801009216811508
0,0814,0,0038336621364578605
0,0816,0,0018996369908563793
0,0818,0,0018996369908563793
0,082,-0,0042247759702149779
0,0822,-0,0019684133003465831
0,0824,-0,0019684133003465831
0,0826,0,0031889870879240334
0,0828,0,0018996369908563793
0,083,-0,0022907508246134967
0,0832,-0,0019684133003465831
0,0834,-0,0051917885430157185
0,0836,0,0015772994665894657
0,0838,0,0012549619423225522
0,084,-0,0022907508246134967
0,0842,-0,0022907508246134967
0,0844,-0,0051917885430157185
0,0846,0,0018996369908563793
0,0848,0,0022219745151232928
0,085,-0,0026130883488804102
0,0852,-0,0029354258731473237
0,0854,0,0093134000489953905
0,0856,0,0012549619423225522
0,0858,0,0015772994665894657
0,086,-0,0039024384459480643
0,0862,-0,0039024384459480643
0,0864,0,0093134000489953905
0,0866,0,00061028689378872514
0,0868,0,0018996369908563793
0,087,-0,0051917885430157185
0,0872,-0,0035801009216811508
0,0874,0,011569762718863785
0,0876,0,00061028689378872514
0,0878,0,0012549619423225522
0,088,-0,0042247759702149779
0,0882,-0,0045471134944818914
0,0884,-0,0058364635915495455
0,0886,0,00093262441805563867
0,0888,0,0002879493695218116
0,089,-0,0045471134944818914
0,0892,-0,0035801009216811508
0,0894,-0,011316201504087076
0,0896,0,0002879493695218116
0,0898,0,0018996369908563793
0,09,-0,0042247759702149779
0,0902,-0,0039024384459480643
0,0904,-0,010671526455553249
0,0906,0,0015772994665894657
0,0908,0,00093262441805563867
0,091,-0,0035801009216811508
0,0912,-0,0026130883488804102
0,0914,-0,005514126067282632
0,0916,0,0012549619423225522
0,0918,0,0015772994665894657
0,092,-0,0045471134944818914
0,0922,-0,0010014007275458425
0,0924,0,0038336621364578605
0,0926,-0,000679063203278929
0,0928,0,00093262441805563867
0,093,-0,0051917885430157185
0,0932,-0,0032577633974142373
0,0934,0,0064123623305931687
0,0936,0,0038336621364578605
0,0938,0,00093262441805563867
0,094,-0,0039024384459480643
0,0942,-0,0039024384459480643
0,0944,0,0080240499519277364
0,0946,0,0015772994665894657
0,0948,0,0015772994665894657
0,095,-0,0026130883488804102
0,0952,-0,0026130883488804102
0,0954,0,0054453497577924281
0,0956,0,0022219745151232928
0,0958,0,0035113246121909469
0,096,-0,0022907508246134967
0,0962,-0,0032577633974142373
0,0964,0,0051230122335255146
0,0966,0,0028666495636571199
0,0968,0,0028666495636571199
0,097,-0,0019684133003465831
0,0972,-0,0013237382518127561
0,0974,0,00093262441805563867
0,0976,0,0031889870879240334
0,0978,0,0015772994665894657
0,098,0,00061028689378872514
0,0982,-0,0010014007275458425
0,0984,0,00061028689378872514
0,0986,0,0018996369908563793
0,0988,0,0031889870879240334
0,099,-0,00035672567901201546
0,0992,-0,0016460757760796696
0,0994,-3,4388154745101929E-05
0,0996,0,0031889870879240334
0,0998,0,0022219745151232928
0,1,-0,0010014007275458425
0,1002,-0,0010014007275458425
0,1004,0,0015772994665894657
0,1006,0,0012549619423225522
0,1008,0,0015772994665894657
0,101,-0,0026130883488804102
0,1012,-0,00035672567901201546
0,1014,0,00061028689378872514
0,1016,0,0022219745151232928
0,1018,0,0025443120393902063
0,102,-0,0039024384459480643
0,1022,-0,0035801009216811508
0,1024,-0,000679063203278929
0,1026,0,0025443120393902063
0,1028,0,0028666495636571199
0,103,-0,0042247759702149779
0,1032,-0,0029354258731473237
0,1034,-0,0010014007275458425
0,1036,0,0018996369908563793
0,1038,0,00093262441805563867
0,104,-0,0029354258731473237
0,1042,-0,0029354258731473237
0,1044,-0,0022907508246134967
0,1046,0,0025443120393902063
0,1048,0,0012549619423225522
0,105,-0,0048694510187488049
0,1052,-0,0029354258731473237
0,1054,-0,000679063203278929
0,1056,0,0018996369908563793
0,1058,0,0002879493695218116
0,106,-0,0039024384459480643
0,1062,-0,0042247759702149779
0,1064,0,0018996369908563793
0,1066,0,00061028689378872514
0,1068,0,0015772994665894657
0,107,-0,0032577633974142373
0,1072,-0,0035801009216811508
0,1074,-0,00035672567901201546
0,1076,0,00061028689378872514
0,1078,0,00061028689378872514
0,108,-0,0042247759702149779
0,1082,-0,0035801009216811508
0,1084,-0,0016460757760796696
0,1086,0,0002879493695218116
0,1088,-3,4388154745101929E-05
0,109,-0,0048694510187488049
0,1092,-0,0035801009216811508
0,1094,-0,0064811386400833726
0,1096,-0,00035672567901201546
0,1098,0,00061028689378872514
0,11,-0,0048694510187488049
0,1102,-0,0051917885430157185
0,1104,-0,0016460757760796696
0,1106,-0,00035672567901201546
0,1108,0,0002879493695218116
0,111,-0,0042247759702149779
0,1112,-0,0029354258731473237
0,1114,-0,0045471134944818914
0,1116,0,00093262441805563867
0,1118,0,00061028689378872514
0,112,-0,0042247759702149779
0,1122,-0,0029354258731473237
0,1124,-0,005514126067282632
0,1126,0,00093262441805563867
0,1128,0,0012549619423225522
0,113,-0,0032577633974142373
0,1132,-0,0035801009216811508
0,1134,-0,0045471134944818914
0,1136,-3,4388154745101929E-05
0,1138,0,0018996369908563793
