Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3087,1.2,0,
0.002,-0.3173,1.3,-0.002222,
0.004,-0.3234,1.2,-0.003288,
0.006,-0.338,0.4,-0.009155,
0.008,-0.3765,0.2,-0.023911,
0.01,-0.4351,0.2,-0.033066,
0.012,-0.5248,0.1,-0.047733,
0.014,-0.6347,0,-0.060799,
0.016,-0.7787,0.1,-0.073244,
0.018,-0.9429,0.1,-0.082488,
0.02,-1.1431,0.1,-0.099822,
0.022,-1.3634,0.1,-0.113866,
0.024,-1.6112,0.1,-0.125866,
0.026,-1.8914,0.2,-0.145422,
0.028,-2.1905,0.3,-0.1552,
0.03,-2.5115,0.2,-0.158933,
0.032,-2.8631,0.3,-0.175822,
0.034,-3.2403,0.4,-0.192622,
0.036,-3.6309,0.4,-0.200711,
0.038,-4.0471,0.3,-0.209422,
0.04,-4.4817,0.3,-0.218666,
0.042,-4.9352,0.4,-0.227288,
0.044,-5.4149,0.3,-0.238133,
0.046,-5.9136,0.2,-0.252266,
0.048,-6.4342,0.3,-0.264711,
0.05,-6.9774,0.2,-0.273422,
0.052,-7.5457,0.2,-0.285422,
0.054,-8.1371,0,-0.298933,
0.056,-8.7615,0.1,-0.314133,
0.058,-9.4158,0,-0.3304,
0.06,-10.0976,0.1,-0.344,
0.062,-10.8202,0,-0.365688,
0.064,-11.5783,0,-0.383555,
0.066,-12.3662,0.1,-0.397066,
0.068,-13.1811,0.1,-0.408,
0.07,-14.0172,0.1,-0.418844,
0.072,-14.8607,0,-0.422044,
0.074,-15.7244,0,-0.434044,
0.076,-16.6063,0,-0.444799,
0.078,-17.5115,-0.1,-0.455733,
0.08,-18.4484,0,-0.469866,
0.082,-19.4207,0,-0.489422,
0.084,-20.4302,0,-0.511111,
0.086,-21.4873,0,-0.531644,
0.088,-22.5982,0.3,-0.5648,
0.09,-23.7438,0.5,-0.574577,
0.092,-24.9022,0.6,-0.579911,
0.094,-26.0497,0.6,-0.569688,
0.096,-27.1801,0.6,-0.564266,
0.098,-28.3019,0.5,-0.562044,
0.1,-29.4323,0.4,-0.564266,
0.102,-30.5816,0.1,-0.577866,
0.104,-31.7711,0.1,-0.602755,
0.106,-33.0114,0,-0.6272,
0.108,-34.2998,0.1,-0.645066,
0.11,-35.6121,0.1,-0.655911,
0.112,-36.914,1.8,-0.646755,
0.114,-38.1933,1.2,-0.636444,
0.116,-39.4542,1.1,-0.6304,
0.118,-40.7067,1.1,-0.6272,
0.12,-41.9689,1.4,-0.630933,
0.122,-43.2366,1.5,-0.633155,
0.124,-44.4988,1.7,-0.6288,
0.126,-45.7281,1.9,-0.610933,
0.128,-46.925,2.1,-0.591911,
0.13,-48.0779,2.1,-0.571822,
0.132,-49.2058,2.2,-0.559822,
0.134,-50.3087,2.2,-0.5512,
0.136,-51.4013,2.5,-0.545244,
0.138,-52.4657,2.5,-0.531644,
0.14,-53.5058,2.5,-0.517599,
