Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1617,1.2,
0.002,-0.1617,1.5,
0.004,-0.1629,1.2,
0.006,-0.1654,1.2,
0.008,-0.1757,1.1,
0.01,-0.1848,1.3,
0.012,-0.1891,1.1,
0.014,-0.2001,0.9,
0.016,-0.2293,0.3,
0.018,-0.2818,0.1,
0.02,-0.3691,0,
0.022,-0.4924,-0.1,
0.024,-0.6517,-0.2,
0.026,-0.8513,-0.2,
0.028,-1.0918,-0.3,
0.03,-1.375,-0.2,
0.032,-1.6917,-0.1,
0.034,-2.0482,0,
0.036,-2.4455,0,
0.038,-2.8655,0.1,
0.04,-3.3135,0.2,
0.042,-3.7907,0.2,
0.044,-4.2888,0.3,
0.046,-4.81,0.4,
0.048,-5.3502,0.4,
0.05,-5.9081,0.3,
0.052,-6.4873,0.4,
0.054,-7.0885,0.3,
0.056,-7.7074,0.3,
0.058,-8.3501,0.3,
0.06,-9.0233,0.2,
0.062,-9.7228,0.2,
0.064,-10.4521,0.2,
0.066,-11.2199,0.2,
0.068,-12.0134,0.3,
0.07,-12.8386,0.2,
0.072,-13.687,0.2,
0.074,-14.5403,0.1,
0.076,-15.4088,0,
0.078,-16.2956,0,
0.08,-17.2093,0,
0.082,-18.1487,0,
0.084,-19.124,0,
0.086,-20.1366,0,
0.088,-21.1931,0,
0.09,-22.3082,0.1,
0.092,-23.4673,0.4,
0.094,-24.6483,0.5,
0.096,-25.8196,0.6,
0.098,-26.9792,0.5,
0.1,-28.1255,0.4,
0.102,-29.2442,1.1,
0.104,-30.3612,1.6,
0.106,-31.4745,1.6,
0.108,-32.603,1.8,
0.11,-33.7425,2,
0.112,-34.8674,2,
0.114,-35.9551,2,
0.116,-37.0055,2,
0.118,-38.015,2.1,
0.12,-38.9958,2.1,
0.122,-39.9498,1.9,
0.124,-40.8897,1.9,
0.126,-41.8071,2.1,
0.128,-42.7171,2.1,
0.13,-43.6095,2.1,
0.132,-44.4695,2.2,
0.134,-45.3001,2.2,
0.136,-46.0912,2.2,
0.138,-46.8529,2.2,
0.14,-47.5816,2.1,
0.142,-48.2762,2.1,
0.144,-48.9494,2.2,
0.146,-49.6031,2.1,
0.148,-50.2251,2.1,
0.15,-50.8336,2.1,
0.152,-51.4171,2,
0.154,-51.9829,2.1,
0.156,-52.531,2,
0.158,-53.0522,2.1,
0.16,-53.5509,2,
0.162,-54.0276,2,
0.164,-54.4762,2,
0.166,-54.9053,2,
0.168,-55.3087,2,
0.17,-55.6853,2,
0.172,-56.0442,2,
0.174,-56.3725,2,
0.176,-56.6844,2.1,
0.178,-56.9737,2,
0.18,-57.2337,2,
0.182,-57.4761,2,
0.184,-57.6958,2.1,
0.186,-57.8886,2,
0.188,-58.0595,2.1,
0.19,-58.203,2.1,
0.192,-58.3263,2.1,
0.194,-58.4258,2.1,
0.196,-58.4947,2.1,
0.198,-58.5442,2.1,
0.2,-58.5729,2.1,
0.202,-58.5863,0.9,
0.204,-58.6095,0.8,
0.206,-58.6363,0.8,
0.208,-58.6754,0.7,
0.21,-58.7267,0.5,
0.212,-58.7938,0.4,
0.214,-58.8792,0.3,
0.216,-58.9793,0.1,
0.218,-59.1014,0.1,
0.22,-59.254,0.1,
0.222,-59.4267,0,
0.224,-59.6263,0,
0.226,-59.8528,0,
0.228,-60.1061,0,
0.23,-60.3868,0,
0.232,-60.6938,0,
0.234,-61.0265,0.1,
0.236,-61.3823,0.1,
0.238,-61.7674,0.2,
0.24,-62.166,0.2,
0.242,-62.5969,0.2,
0.244,-63.0443,-1.5,
0.246,-63.5033,-0.3,
0.248,-63.9665,-0.7,
0.25,-64.4341,-0.4,
0.252,-64.9132,-2.1,
0.254,-65.3978,-2.4,
0.256,-65.8727,-1.9,
0.258,-66.342,-3.2,
0.26,-66.7937,-4.2,
0.262,-67.2295,-5.2,
0.264,-67.6396,-6.1,
0.266,-68.0321,-7,
0.268,-68.4068,-7.9,
0.27,-68.7608,-8.7,
0.272,-69.0965,-9.6,
0.274,-69.4103,-10.4,
0.276,-69.6977,-11.2,
0.278,-69.9681,-12,
0.28,-70.2196,-12.9,
0.282,-70.4405,-21.3,
0.284,-70.6194,-29.3,
0.286,-70.7378,-34.8,
0.288,-70.7835,-37.2,
0.29,-70.7774,-35.9,
0.292,-70.7622,-33.5,
0.294,-70.7445,-32.1,
0.296,-70.739,-31.8,
0.298,-70.7445,-32.4,
0.3,-70.7488,-33.3,
0.302,-70.7536,-33.8,
0.304,-70.7555,-34,
0.306,-70.7512,-33.9,
0.308,-70.7524,-34,
0.31,-70.7414,-34.4,
0.312,-70.7372,-33.5,
0.314,-70.7359,-32.6,
0.316,-70.7274,-31.8,
0.318,-70.714,-30.7,
0.32,-70.6987,-29.4,
0.322,-70.6725,-27.4,
0.324,-70.634,-24.7,
0.326,-70.5815,-21.7,
0.328,-70.5205,-18.6,
0.33,-70.4515,-15.7,
0.332,-70.3728,-13,
0.334,-70.2818,-10.4,
0.336,-70.1701,-10.4,
0.338,-70.034,-9.6,
0.34,-69.8552,-9,
0.342,-69.6361,-8.3,
0.344,-69.3742,-7.8,
0.346,-69.0691,-7.1,
0.348,-68.7157,-6.4,
0.35,-68.3183,-5.4,
0.352,-67.8771,-4.6,
0.354,-67.3918,-3.7,
0.356,-66.8651,-2.8,
0.358,-66.2962,-2,
0.36,-65.7262,-2.2,
0.362,-65.1231,-2.1,
0.364,-64.5354,-1.3,
0.366,-63.9678,-0.7,
0.368,-63.4239,0,
0.37,-62.9094,0.1,
0.372,-62.4376,-0.1,
0.374,-61.9981,-0.4,
0.376,-61.5984,-0.3,
0.378,-61.2346,-0.3,
0.38,-60.905,-0.2,
0.382,-60.6175,-0.1,
0.384,-60.3612,0,
0.386,-60.1323,0.1,
0.388,-59.9242,0.1,
0.39,-59.738,0.2,
0.392,-59.572,0.2,
0.394,-59.428,0.2,
0.396,-59.2937,0.2,
0.398,-59.1802,0.1,
0.4,-59.0752,0,
0.402,-58.9934,0,
0.404,-58.9214,0,
0.406,-58.8677,0,
0.408,-58.8316,0,
0.41,-58.8158,0.2,
0.412,-58.8146,0.1,
0.414,-58.8225,0.4,
0.416,-58.8347,0.3,
0.418,-58.8652,0.1,
0.42,-58.9067,0.1,
0.422,-58.9702,0,
0.424,-59.0501,0,
0.426,-59.1502,0,
0.428,-59.2717,0,
0.43,-59.4164,-0.1,
0.432,-59.586,-0.1,
0.434,-59.7795,-0.2,
0.436,-60.0035,-0.2,
0.438,-60.2519,-0.2,
0.44,-60.5315,-0.2,
0.442,-60.847,-0.1,
0.444,-61.1833,0,
0.446,-61.544,0,
0.448,-61.9359,0,
0.45,-62.3546,0,
0.452,-62.7879,0,
0.454,-63.2408,-1.1,
0.456,-63.7022,-2.6,
0.458,-64.1716,-0.7,
0.46,-64.6501,-0.8,
0.462,-65.1372,-2.5,
0.464,-65.6072,-3,
0.466,-66.0991,-2.7,
0.468,-66.5648,-3.8,
0.47,-67.0079,-4.8,
0.472,-67.4297,-5.8,
0.474,-67.8313,-6.7,
0.476,-68.2109,-7.5,
0.478,-68.5753,-8.5,
0.48,-68.9226,-9.4,
0.482,-69.2424,-10.3,
0.484,-69.5464,-11,
0.486,-69.8277,-11.7,
0.488,-70.0859,-12.5,
0.49,-70.3282,-14.9,
0.492,-70.5351,-25,
0.494,-70.6877,-32.1,
0.496,-70.7744,-36.6,
0.498,-70.7945,-37.6,
0.5,-70.7817,-34.9,
0.502,-70.7597,-32.8,
0.504,-70.7469,-31.8,
0.506,-70.7494,-31.7,
0.508,-70.753,-32.8,
0.51,-70.7549,-33.6,
0.512,-70.7573,-33.9,
0.514,-70.7573,-34.1,
0.516,-70.7573,-34.1,
0.518,-70.753,-34.1,
0.52,-70.7488,-34.2,
0.522,-70.7439,-33.2,
0.524,-70.739,-32.4,
0.526,-70.7311,-31.5,
0.528,-70.7158,-30.5,
0.53,-70.6944,-28.8,
0.532,-70.6621,-26.5,
0.534,-70.6163,-23.7,
0.536,-70.5675,-20.5,
0.538,-70.5016,-17.5,
0.54,-70.4326,-14.6,
0.542,-70.3429,-11.9,
0.544,-70.2452,-9.7,
0.546,-70.125,-10.2,
0.548,-69.9663,-9.5,
0.55,-69.771,-8.9,
0.552,-69.536,-8.2,
0.554,-69.2503,-7.5,
0.556,-68.9232,-6.8,
0.558,-68.5484,-6,
0.56,-68.1279,-5.2,
0.562,-67.6671,-4.2,
0.564,-67.1605,-3.4,
0.566,-66.613,-2.5,
0.568,-66.0271,-1.6,
0.57,-65.4485,-2.5,
0.572,-64.8515,-2,
0.574,-64.2741,-1.2,
0.576,-63.7175,-0.4,
0.578,-63.1883,0.1,
0.58,-62.6897,-0.4,
0.582,-62.2301,-0.2,
0.584,-61.8108,-0.5,
0.586,-61.4232,-0.4,
0.588,-61.0783,-0.3,
0.59,-60.764,-0.1,
0.592,-60.4887,-0.1,
0.594,-60.2403,0,
0.596,-60.0182,0,
0.598,-59.8167,0,
0.6,-59.6397,0.1,
0.602,-59.4829,0.1,
0.604,-59.3431,0.1,
0.606,-59.218,0,
0.608,-59.1057,0,
0.61,-59.0147,0,
0.612,-58.936,0,
0.614,-58.8762,0,
0.616,-58.8335,0,
0.618,-58.8042,0,
0.62,-58.7975,0,
0.622,-58.8048,0.3,
0.624,-58.8158,0.3,
0.626,-58.8359,0.2,
0.628,-58.8744,0,
0.63,-58.9244,0,
0.632,-58.997,0,
0.634,-59.0849,0,
0.636,-59.2021,0,
0.638,-59.3395,-0.1,
0.64,-59.4969,-0.1,
0.642,-59.68,-0.2,
0.644,-59.893,-0.2,
0.646,-60.1317,-0.2,
0.648,-60.4002,-0.1,
0.65,-60.6926,-0.1,
0.652,-61.0155,-0.1,
0.654,-61.3628,0,
0.656,-61.7363,0,
0.658,-62.13,0,
0.66,-62.5444,0,
0.662,-62.9863,-0.3,
0.664,-63.4441,-0.7,
0.666,-63.9024,-2,
0.668,-64.3706,-0.5,
0.67,-64.8497,-1.6,
0.672,-65.3429,-2.4,
0.674,-65.8183,-2,
0.676,-66.295,-3.2,
0.678,-66.7516,-4.4,
0.68,-67.1874,-5.3,
0.682,-67.6,-6.1,
0.684,-67.9949,-7.1,
0.686,-68.369,-8.1,
0.688,-68.7254,-8.9,
0.69,-69.0624,-9.8,
0.692,-69.3797,-10.6,
0.694,-69.6733,-11.4,
0.696,-69.9449,-12.2,
0.698,-70.2007,-13.1,
0.7,-70.4295,-19.9,
0.702,-70.6151,-28.5,
0.704,-70.7414,-34.7,
0.706,-70.7976,-37.8,
0.708,-70.7994,-36.8,
0.71,-70.7787,-33.9,
0.712,-70.7597,-32,
0.714,-70.7457,-31.6,
0.716,-70.7463,-31.9,
0.718,-70.7536,-33,
0.72,-70.7591,-33.7,
0.722,-70.7579,-33.8,
0.724,-70.7579,-34,
0.726,-70.7573,-34.1,
0.728,-70.7457,-34.5,
0.73,-70.7445,-33.6,
0.732,-70.7408,-32.8,
0.734,-70.7323,-32,
