Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1545,1.3,
0.002,-0.1593,1.6,
0.004,-0.1618,1.2,
0.006,-0.1661,1.2,
0.008,-0.1801,1.1,
0.01,-0.1862,1.2,
0.012,-0.191,1.1,
0.014,-0.2026,0.8,
0.016,-0.2288,0.2,
0.018,-0.2886,0,
0.02,-0.379,0,
0.022,-0.509,-0.1,
0.024,-0.6774,-0.2,
0.026,-0.8831,-0.2,
0.028,-1.1309,-0.2,
0.03,-1.4202,-0.2,
0.032,-1.7498,-0.1,
0.034,-2.1111,0,
0.036,-2.5121,0,
0.038,-2.9388,0.1,
0.04,-3.3947,0.2,
0.042,-3.8763,0.2,
0.044,-4.3768,0.3,
0.046,-4.9011,0.4,
0.048,-5.44,0.3,
0.05,-6.0034,0.3,
0.052,-6.585,0.3,
0.054,-7.1899,0.4,
0.056,-7.8131,0.3,
0.058,-8.4582,0.2,
0.06,-9.1357,0.2,
0.062,-9.8425,0.2,
0.064,-10.5773,0.2,
0.066,-11.3378,0.2,
0.068,-12.1423,0.2,
0.07,-12.9632,0.2,
0.072,-13.8098,0.1,
0.074,-14.6679,0,
0.076,-15.5358,0,
0.078,-16.4263,0,
0.08,-17.3437,0,
0.082,-18.2757,0,
0.084,-19.2376,1.4,
0.086,-20.1904,1.3,
0.088,-21.148,1.6,
0.09,-22.1118,1.9,
0.092,-23.0779,2.1,
0.094,-24.0258,2.3,
0.096,-24.9316,2.5,
0.098,-25.7934,2.7,
0.1,-26.5972,2.6,
0.102,-27.3571,2.6,
0.104,-28.0639,2.5,
0.106,-28.7335,2.4,
0.108,-29.3688,2.3,
0.11,-29.9737,2.3,
0.112,-30.5523,2.1,
0.114,-31.1077,2,
0.116,-31.6491,1.9,
0.118,-32.1716,2,
0.12,-32.6769,1.9,
0.122,-33.1744,1.9,
0.124,-33.6425,1.9,
0.126,-34.0899,1.9,
0.128,-34.5208,1.9,
0.13,-34.9243,1.8,
0.132,-35.3082,1.9,
0.134,-35.6732,1.9,
0.136,-36.015,1.9,
0.138,-36.3354,1.9,
0.14,-36.632,1.9,
0.142,-36.9061,1.9,
0.144,-37.1557,1.9,
0.146,-37.3834,1.9,
0.148,-37.5878,1.9,
0.15,-37.7758,2,
0.152,-37.9394,2,
0.154,-38.0761,2,
0.156,-38.1915,2.1,
0.158,-38.2842,2.1,
0.16,-38.3508,2.1,
0.162,-38.3923,2.1,
0.164,-38.4204,0.7,
0.166,-38.4399,0.9,
0.168,-38.4716,0.9,
