Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1611,1.2,
0.002,-0.1654,1.4,
0.004,-0.1641,1.2,
0.006,-0.1696,1.3,
0.008,-0.1782,1.1,
0.01,-0.1866,1.3,
0.012,-0.1927,1.1,
0.014,-0.208,0.7,
0.016,-0.2373,0.3,
0.018,-0.2977,0,
0.02,-0.3935,0,
0.022,-0.5248,-0.1,
0.024,-0.6896,-0.2,
0.026,-0.9013,-0.3,
0.028,-1.1559,-0.3,
0.03,-1.4452,-0.1,
0.032,-1.7748,-0.1,
0.034,-2.1373,0,
0.036,-2.5401,0,
0.038,-2.9735,0,
0.04,-3.4325,0.3,
0.042,-3.9153,0.3,
0.044,-4.4182,0.3,
0.046,-4.9455,0.4,
0.048,-5.4851,0.4,
0.05,-6.0509,0.4,
0.052,-6.6393,0.3,
0.054,-7.2453,0.3,
0.056,-7.8661,0.3,
0.058,-8.5161,0.2,
0.06,-9.1991,0.3,
0.062,-9.9034,0.2,
0.064,-10.6456,0.2,
0.066,-11.4183,0.2,
0.068,-12.2215,0.2,
0.07,-13.0522,0.2,
0.072,-13.8988,0.2,
0.074,-14.7575,0.1,
0.076,-15.6285,0,
0.078,-16.5202,0,
0.08,-17.4407,0,
0.082,-18.3879,0,
0.084,-19.3712,0,
0.086,-20.3899,0,
0.088,-21.4635,0,
0.09,-22.5926,0.2,
0.092,-23.7627,0.5,
0.094,-24.9449,0.7,
0.096,-26.1101,0.4,
0.098,-27.263,0.6,
0.1,-28.383,0.3,
0.102,-29.5244,1.8,
0.104,-30.6365,1.6,
0.106,-31.7577,1.7,
0.108,-32.885,1.7,
0.11,-34.0245,1.9,
0.112,-35.1421,2,
0.114,-36.2224,2,
0.116,-37.2606,2.1,
0.118,-38.261,1.9,
0.12,-39.2351,2,
0.122,-40.1866,2,
0.124,-41.1205,2,
0.126,-42.039,2,
0.128,-42.9448,2.1,
0.13,-43.831,2.2,
0.132,-44.6825,2.2,
0.134,-45.5016,2.2,
0.136,-46.2895,2.2,
0.138,-47.0403,2.3,
0.14,-47.758,2.2,
0.142,-48.4483,2.2,
0.144,-49.1167,2.2,
0.146,-49.7575,2.1,
0.148,-50.3825,2.1,
0.15,-50.9825,2,
0.152,-51.563,2,
0.154,-52.1227,2,
0.156,-52.661,2,
0.158,-53.1816,2,
0.16,-53.6766,2.1,
0.162,-54.1411,2,
0.164,-54.5915,2,
0.166,-55.0096,2,
0.168,-55.4076,2,
0.17,-55.7768,2,
0.172,-56.1253,2,
0.174,-56.4494,2,
0.176,-56.7546,2,
0.178,-57.0335,2.1,
0.18,-57.2917,2,
0.182,-57.5298,2.1,
0.184,-57.7434,2,
0.186,-57.9302,2.1,
0.188,-58.0931,2,
0.19,-58.2329,2,
0.192,-58.3519,2.1,
0.194,-58.4441,2.1,
0.196,-58.5112,2.1,
0.198,-58.557,2.1,
0.2,-58.5832,1.6,
0.202,-58.5967,0.9,
0.204,-58.6205,0.9,
0.206,-58.6534,0.6,
0.208,-58.698,0.6,
0.21,-58.7523,0.4,
0.212,-58.8219,0.4,
0.214,-58.9061,0.3,
0.216,-59.0141,0.1,
0.218,-59.1423,0.1,
0.22,-59.2937,0,
0.222,-59.4725,0.1,
0.224,-59.6794,0,
0.226,-59.912,0,
0.228,-60.1708,0,
0.23,-60.4558,0,
0.232,-60.7689,0,
0.234,-61.1119,0.1,
0.236,-61.4757,0.1,
0.238,-61.8626,0.2,
0.24,-62.2704,0.2,
0.242,-62.7037,0.3,
0.244,-63.1572,-1.4,
0.246,-63.615,-1.7,
0.248,-64.0801,-0.6,
0.25,-64.5512,-0.7,
0.252,-65.034,-2.2,
0.254,-65.5278,-2.7,
0.256,-65.9917,-2.5,
0.258,-66.458,-3.3,
0.26,-66.9084,-4.3,
0.262,-67.3351,-5.3,
0.264,-67.7403,-6.4,
0.266,-68.1267,-7.2,
0.268,-68.4966,-8.2,
0.27,-68.8426,-8.9,
0.272,-69.1728,-9.8,
0.274,-69.4811,-10.6,
0.276,-69.7612,-11.3,
0.278,-70.0298,-12.2,
0.28,-70.2709,-13.5,
0.282,-70.4869,-23.4,
0.284,-70.6529,-30.8,
0.286,-70.7518,-35.6,
0.288,-70.7854,-37.3,
0.29,-70.7774,-35.2,
0.292,-70.7573,-33.3,
0.294,-70.7445,-32.1,
0.296,-70.7402,-32,
0.298,-70.7433,-32.8,
0.3,-70.7518,-33.6,
0.302,-70.7579,-34,
0.304,-70.7555,-34.1,
0.306,-70.7536,-34.1,
0.308,-70.75,-34.1,
0.31,-70.75,-33,
0.312,-70.7408,-33,
0.314,-70.7335,-32.3,
0.316,-70.725,-31.6,
0.318,-70.7121,-30.5,
0.32,-70.6981,-29.1,
0.322,-70.6639,-27,
0.324,-70.6261,-24.2,
0.326,-70.5705,-21,
0.328,-70.5071,-17.8,
0.33,-70.435,-15,
0.332,-70.3526,-12.3,
0.334,-70.2538,-9.9,
0.336,-70.1396,-10.3,
0.338,-69.9919,-9.6,
0.34,-69.8021,-8.9,
0.342,-69.5726,-8.2,
0.344,-69.301,-7.6,
0.346,-68.9818,-7,
0.348,-68.6192,-6.1,
0.35,-68.2091,-5.1,
0.352,-67.7574,-4.2,
0.354,-67.2624,-3.4,
0.356,-66.7241,-2.6,
0.358,-66.1443,-1.8,
0.36,-65.5669,-3.3,
0.362,-64.9718,-1.8,
0.364,-64.3895,-1.1,
0.366,-63.8323,-0.4,
0.368,-63.2921,0.1,
0.37,-62.7922,-0.1,
0.372,-62.3259,-0.2,
0.374,-61.8993,-0.3,
0.376,-61.5056,-0.2,
0.378,-61.1522,-0.2,
0.38,-60.8287,-0.1,
0.382,-60.5357,0,
0.384,-60.2709,0,
0.386,-60.0365,0,
0.388,-59.8271,0.1,
0.39,-59.6385,0.2,
0.392,-59.4743,0.3,
0.394,-59.3224,0.2,
0.396,-59.1948,0.2,
0.398,-59.0801,0,
0.4,-58.983,0,
0.402,-58.9055,0,
0.404,-58.8445,0,
0.406,-58.803,0,
0.408,-58.7798,0,
0.41,-58.7749,0,
0.412,-58.7792,0.4,
0.414,-58.7926,0.3,
0.416,-58.8158,0.3,
0.418,-58.8506,0.1,
