Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1623,1.2,
0.002,-0.1641,0.9,
0.004,-0.1672,1.3,
0.006,-0.1647,1.2,
0.008,-0.1763,1.2,
0.01,-0.1848,1.2,
0.012,-0.1903,1.2,
0.014,-0.1982,0.9,
0.016,-0.2251,0.3,
0.018,-0.2739,0,
0.02,-0.3563,0,
0.022,-0.4747,-0.1,
0.024,-0.6316,-0.2,
0.026,-0.833,-0.3,
0.028,-1.0698,-0.2,
0.03,-1.3475,-0.2,
0.032,-1.6686,0,
0.034,-2.0244,-0.1,
0.036,-2.412,0,
0.038,-2.8313,0,
0.04,-3.2878,0.2,
0.042,-3.7584,0.2,
0.044,-4.2528,0.3,
0.046,-4.7728,0.4,
0.048,-5.3154,0.4,
0.05,-5.8751,0.3,
0.052,-6.4537,0.4,
0.054,-7.0537,0.4,
0.056,-7.6732,0.3,
0.058,-8.3153,0.3,
0.06,-8.9848,0.3,
0.062,-9.6849,0.2,
0.064,-10.4161,0.2,
0.066,-11.1791,0.3,
0.068,-11.9731,0.2,
0.07,-12.7928,0.3,
0.072,-13.6418,0.3,
0.074,-14.4927,0.1,
0.076,-15.3612,0.1,
0.078,-16.2462,0,
0.08,-17.155,0,
0.082,-18.0937,0,
0.084,-19.0666,0,
0.086,-20.0731,0,
0.088,-21.1296,0.1,
0.09,-22.2368,0.1,
0.092,-23.3977,0.4,
0.094,-24.5744,0.5,
0.096,-25.7451,0.6,
0.098,-26.9048,0.5,
0.1,-28.0486,0.3,
0.102,-29.1771,1.2,
0.104,-30.2922,1.7,
0.106,-31.4092,1.5,
0.108,-32.5377,1.7,
0.11,-33.6772,1.9,
0.112,-34.7978,1.9,
0.114,-35.8934,2,
0.116,-36.9438,2,
0.118,-37.9576,2.1,
0.12,-38.9403,2,
0.122,-39.8985,2,
0.124,-40.8336,2,
0.126,-41.754,2,
0.128,-42.6665,2,
0.13,-43.5582,2.1,
0.132,-44.4164,2.1,
0.134,-45.2538,2.3,
0.136,-46.0497,2.3,
0.138,-46.8089,2.2,
0.14,-47.5383,2.2,
0.142,-48.2347,2.2,
0.144,-48.9098,2.1,
0.146,-49.5586,2.1,
0.148,-50.1866,2.1,
0.15,-50.7976,2.2,
0.152,-51.3835,2,
0.154,-51.9481,2,
