Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1599,1.2,
0.002,-0.166,1.5,
0.004,-0.1617,1.2,
0.006,-0.1678,1.3,
0.008,-0.1794,1.1,
0.01,-0.186,1.3,
0.012,-0.1939,1.1,
0.014,-0.2092,0.5,
0.016,-0.2464,0.2,
0.018,-0.3099,0,
0.02,-0.407,-0.1,
0.022,-0.5425,-0.2,
0.024,-0.7188,-0.2,
0.026,-0.9386,-0.3,
0.028,-1.1907,-0.2,
0.03,-1.4818,-0.1,
0.032,-1.8163,-0.1,
0.034,-2.1813,0,
0.036,-2.5768,0,
0.038,-3.0101,0.1,
0.04,-3.4673,0.2,
0.042,-3.9427,0.3,
0.044,-4.453,0.3,
0.046,-4.9693,0.3,
0.048,-5.5187,0.4,
0.05,-6.0783,0.3,
0.052,-6.671,0.4,
0.054,-7.2734,0.4,
0.056,-7.9039,0.2,
0.058,-8.557,0.2,
0.06,-9.2375,0.2,
0.062,-9.9498,0.2,
0.064,-10.6871,0.2,
0.066,-11.4653,0.3,
0.068,-12.2789,0.2,
0.07,-13.1035,0.2,
0.072,-13.958,0.1,
0.074,-14.8131,0.1,
0.076,-15.692,0,
0.078,-16.5837,0,
0.08,-17.5053,0,
0.082,-18.4569,0,
0.084,-19.4402,0,
0.086,-20.4649,0,
0.088,-21.544,0,
0.09,-22.6701,0.1,
0.092,-23.8445,0.4,
0.094,-25.0267,0.7,
0.096,-26.1925,0.6,
0.098,-27.3424,0.5,
0.1,-28.4587,0.4,
0.102,-29.5995,1.9,
0.104,-30.7158,1.7,
0.106,-31.8364,1.7,
0.108,-32.971,1.8,
0.11,-34.1051,1.9,
0.112,-35.2196,2,
0.114,-36.2944,2.1,
0.116,-37.332,2,
0.118,-38.3287,2,
0.12,-39.3004,2,
0.122,-40.2477,1.9,
0.124,-41.1766,2,
0.126,-42.0982,2,
0.128,-43.001,2.2,
0.13,-43.8799,2.1,
0.132,-44.7337,2.2,
0.134,-45.5541,2.2,
0.136,-46.3365,2.2,
0.138,-47.0848,2.2,
0.14,-47.8032,2.1,
0.142,-48.4898,2.1,
0.144,-49.1539,2.1,
0.146,-49.799,2.1,
0.148,-50.4186,2,
0.15,-51.0191,2.1,
0.152,-51.6002,2.1,
0.154,-52.1587,2.1,
0.156,-52.6988,2,
0.158,-53.2121,2.1,
0.16,-53.7077,2,
0.162,-54.174,2.1,
0.164,-54.6196,2,
0.166,-55.0353,2,
0.168,-55.4326,2,
0.17,-55.8037,2,
0.172,-56.1449,2,
0.174,-56.4726,2,
0.176,-56.7723,2,
0.178,-57.0531,2,
0.18,-57.31,2,
0.182,-57.545,2,
0.184,-57.7574,2,
0.186,-57.9448,2,
0.188,-58.1072,2,
0.19,-58.2488,2.1,
0.192,-58.3629,2.1,
0.194,-58.4569,2.1,
0.196,-58.5191,2.1,
0.198,-58.56,2.1,
0.2,-58.5832,1.2,
0.202,-58.596,0.9,
0.204,-58.6217,0.8,
0.206,-58.6498,0.6,
0.208,-58.6937,0.6,
0.21,-58.7492,0.5,
0.212,-58.8182,0.3,
0.214,-58.9055,0.3,
0.216,-59.0123,0.1,
0.218,-59.1435,0,
0.22,-59.3004,0,
0.222,-59.4829,0,
0.224,-59.6904,0,
0.226,-59.923,0,
0.228,-60.1842,0,
0.23,-60.4753,0,
0.232,-60.7915,0,
0.234,-61.1308,0.1,
0.236,-61.4995,0.1,
0.238,-61.8877,0.2,
0.24,-62.3027,0.2,
0.242,-62.733,0.3,
0.244,-63.1871,-1.4,
0.246,-63.6504,-2.5,
0.248,-64.1161,-0.7,
0.25,-64.5873,-0.7,
0.252,-65.0688,-2.2,
0.254,-65.5528,-2.7,
0.256,-66.024,-2.6,
0.258,-66.4909,-3.4,
0.26,-66.9377,-4.5,
0.262,-67.3619,-5.4,
0.264,-67.7654,-6.4,
0.266,-68.1505,-7.4,
0.268,-68.5167,-8.2,
0.27,-68.8646,-9.1,
0.272,-69.1942,-10,
0.274,-69.4981,-10.7,
0.276,-69.7813,-11.4,
0.278,-70.0438,-12.3,
0.28,-70.2873,-13.9,
0.282,-70.5028,-24.2,
0.284,-70.6664,-31.4,
0.286,-70.7585,-36.1,
0.288,-70.7866,-37.4,
0.29,-70.7781,-35.1,
0.292,-70.7573,-33.1,
0.294,-70.7433,-31.9,
0.296,-70.7384,-31.8,
0.298,-70.7433,-32.6,
0.3,-70.753,-33.4,
0.302,-70.7567,-33.8,
0.304,-70.7573,-33.9,
0.306,-70.7512,-34,
0.308,-70.75,-34,
0.31,-70.7439,-33.2,
0.312,-70.7396,-32.9,
0.314,-70.7341,-32.2,
0.316,-70.7256,-31.4,
0.318,-70.7134,-30.5,
0.32,-70.6926,-29,
0.322,-70.6633,-26.8,
