Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1617,1.2,
0.002,-0.1647,1.5,
0.004,-0.1647,1.3,
0.006,-0.1641,1.3,
0.008,-0.1745,1.2,
0.01,-0.1842,1.3,
0.012,-0.1878,1.2,
0.014,-0.1994,1,
0.016,-0.2202,0.3,
0.018,-0.266,0,
0.02,-0.349,0,
0.022,-0.4717,-0.2,
0.024,-0.6303,-0.2,
0.026,-0.8385,-0.3,
0.028,-1.0832,-0.2,
0.03,-1.3719,-0.2,
0.032,-1.6972,-0.1,
0.034,-2.0653,0,
0.036,-2.4657,0,
0.038,-2.888,0.1,
0.04,-3.347,0.2,
0.042,-3.8323,0.3,
0.044,-4.3321,0.4,
0.046,-4.8546,0.5,
0.048,-5.3966,0.5,
0.05,-5.963,0.4,
0.052,-6.5428,0.4,
0.054,-7.141,0.4,
0.056,-7.7617,0.4,
0.058,-8.4038,0.3,
0.06,-9.0776,0.3,
0.062,-9.7746,0.3,
0.064,-10.5107,0.2,
0.066,-11.2712,0.3,
0.068,-12.0708,0.2,
0.07,-12.8905,0.2,
0.072,-13.7346,0.2,
0.074,-14.5897,0.2,
0.076,-15.4546,0,
0.078,-16.3438,0,
0.08,-17.2575,0,
0.082,-18.1999,0,
0.084,-19.1777,0,
0.086,-20.1921,0,
0.088,-21.2541,0,
0.09,-22.3735,0.2,
0.092,-23.5393,0.4,
0.094,-24.7228,0.6,
0.096,-25.8922,0.6,
0.098,-27.0445,0.5,
0.1,-28.1993,0.5,
0.102,-29.3138,1.4,
0.104,-30.4326,1.7,
0.106,-31.5465,1.7,
0.108,-32.6726,1.6,
0.11,-33.8139,1.9,
0.112,-34.9339,2,
0.114,-36.0234,2.1,
0.116,-37.0689,2.1,
0.118,-38.076,2,
0.12,-39.055,2,
0.122,-40.0078,2,
0.124,-40.9447,2,
0.126,-41.8645,2,
0.128,-42.7721,2.1,
0.13,-43.6614,2.3,
0.132,-44.5219,2.3,
0.134,-45.3465,2.2,
0.136,-46.1369,2.2,
0.138,-46.8926,2.3,
0.14,-47.617,2.2,
0.142,-48.3098,2.1,
0.144,-48.9818,2.2,
0.146,-49.6294,2.2,
0.148,-50.2538,2.1,
0.15,-50.8629,2.2,
0.152,-51.4397,2.1,
0.154,-52.0073,2,
0.156,-52.5499,2.1,
0.158,-53.0724,2.1,
0.16,-53.5722,2.1,
0.162,-54.0471,2,
0.164,-54.4975,2.1,
0.166,-54.9193,2,
0.168,-55.3227,2.1,
0.17,-55.6969,2,
0.172,-56.0533,2,
0.174,-56.3786,2,
0.176,-56.6875,2,
0.178,-56.9743,2,
0.18,-57.235,2,
0.182,-57.4754,2,
0.184,-57.6952,2.1,
0.186,-57.8832,2.1,
0.188,-58.0541,2,
0.19,-58.1975,2.1,
0.192,-58.3202,2.1,
0.194,-58.4184,2.1,
0.196,-58.488,2.1,
0.198,-58.5375,2.1,
0.2,-58.5686,2.1,
0.202,-58.5783,0.9,
0.204,-58.6064,0.8,
0.206,-58.6357,0.8,
0.208,-58.6772,0.7,
0.21,-58.7273,0.5,
0.212,-58.795,0.4,
0.214,-58.8805,0.3,
0.216,-58.983,0.2,
0.218,-59.1045,0.1,
0.22,-59.2522,0.1,
0.222,-59.4237,0,
0.224,-59.6269,0,
0.226,-59.8497,0,
0.228,-60.1006,0,
0.23,-60.3838,0,
0.232,-60.6932,0.1,
0.234,-61.0283,0.1,
0.236,-61.3866,0.2,
0.238,-61.7711,0.2,
0.24,-62.1806,0.3,
0.242,-62.6128,0.3,
0.244,-63.0559,-1.8,
0.246,-63.5161,-0.3,
0.248,-63.9848,-0.8,
0.25,-64.4542,-0.9,
0.252,-64.9315,-2.3,
0.254,-65.4192,-2.8,
0.256,-65.8897,-2.3,
0.258,-66.3609,-3.3,
0.26,-66.8089,-4.1,
0.262,-67.2392,-5.1,
0.264,-67.6494,-6.1,
0.266,-68.0388,-7,
0.268,-68.4129,-7.8,
0.27,-68.7639,-8.6,
0.272,-69.0984,-9.5,
0.274,-69.4103,-10.3,
0.276,-69.699,-11,
0.278,-69.9663,-11.8,
0.28,-70.2184,-12.8,
0.282,-70.4442,-21.4,
0.284,-70.623,-29.5,
0.286,-70.7304,-34.9,
0.288,-70.7817,-37.2,
0.29,-70.7793,-35.8,
0.292,-70.7616,-33.6,
0.294,-70.7457,-32.1,
0.296,-70.7408,-31.9,
0.298,-70.7439,-32.3,
0.3,-70.7512,-33.2,
0.302,-70.7536,-33.8,
0.304,-70.7567,-33.9,
0.306,-70.7561,-34,
0.308,-70.7439,-34,
0.31,-70.7445,-33.9,
0.312,-70.7414,-33.4,
0.314,-70.7347,-32.6,
0.316,-70.7286,-31.8,
0.318,-70.7195,-30.9,
0.32,-70.7005,-29.4,
0.322,-70.6694,-27.3,
0.324,-70.6297,-24.7,
0.326,-70.5791,-21.7,
0.328,-70.5217,-18.6,
0.33,-70.4503,-15.7,
0.332,-70.3709,-13,
0.334,-70.2788,-10.3,
0.336,-70.1659,-10.4,
0.338,-70.0237,-9.6,
0.34,-69.8454,-9,
0.342,-69.6251,-8.4,
0.344,-69.3565,-7.7,
0.346,-69.0477,-7,
0.348,-68.6943,-6.3,
0.35,-68.2915,-5.3,
0.352,-67.8447,-4.5,
0.354,-67.357,-3.6,
0.356,-66.8285,-2.8,
0.358,-66.2529,-1.9,
0.36,-65.678,-2.8,
0.362,-65.0798,-2,
0.364,-64.4957,-1.1,
0.366,-63.9256,-0.6,
0.368,-63.3861,0,
