Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1586,1.3,
0.002,-0.1629,1.7,
0.004,-0.1654,1.2,
0.006,-0.1678,1.2,
0.008,-0.1794,1.1,
0.01,-0.1824,1.2,
0.012,-0.1927,1.1,
0.014,-0.2013,0.9,
0.016,-0.2293,0.3,
0.018,-0.2824,0,
0.02,-0.3722,0,
0.022,-0.4949,-0.1,
0.024,-0.6627,-0.2,
0.026,-0.8727,-0.3,
0.028,-1.1266,-0.3,
0.03,-1.4177,-0.2,
0.032,-1.7449,-0.1,
0.034,-2.1092,0,
0.036,-2.5121,0,
0.038,-2.9405,0.1,
0.04,-3.3995,0.2,
0.042,-3.8817,0.3,
0.044,-4.3877,0.3,
0.046,-4.9132,0.4,
0.048,-5.4546,0.4,
0.05,-6.0185,0.4,
0.052,-6.6063,0.5,
0.054,-7.2093,0.4,
0.056,-7.8325,0.3,
0.058,-8.4825,0.2,
0.06,-9.16,0.2,
0.062,-9.865,0.3,
0.064,-10.6035,0.2,
0.066,-11.3731,0.2,
0.068,-12.1739,0.2,
0.07,-13.0003,0.3,
0.072,-13.8475,0.1,
0.074,-14.702,0.1,
0.076,-15.5754,0,
0.078,-16.4641,0,
0.08,-17.3833,0,
0.082,-18.3281,0,
0.084,-19.3108,0,
0.086,-20.3313,0,
0.088,-21.3957,0,
0.09,-22.5237,0.2,
0.092,-23.6925,0.4,
0.094,-24.8717,0.5,
0.096,-26.0411,0.7,
0.098,-27.1916,0.5,
0.1,-28.3202,0.3,
0.102,-29.4524,1.6,
0.104,-30.5681,1.7,
0.106,-31.6893,1.7,
0.108,-32.8154,1.6,
0.11,-33.9537,1.8,
0.112,-35.0737,2,
0.114,-36.1571,2.1,
0.116,-37.1977,2,
0.118,-38.2042,2,
0.12,-39.1795,2,
0.122,-40.1341,2,
0.124,-41.0661,2,
0.126,-41.9872,2,
0.128,-42.8954,2.1,
0.13,-43.7804,2.2,
0.132,-44.6336,2.3,
0.134,-45.4552,2.2,
0.136,-46.2407,2.2,
0.138,-46.9933,2.2,
0.14,-47.7153,2.1,
0.142,-48.4038,2.2,
0.144,-49.0733,2.2,
0.146,-49.716,2.1,
0.148,-50.3417,2,
0.15,-50.9428,2.1,
0.152,-51.5196,2.1,
0.154,-52.0873,2,
0.156,-52.6244,2,
0.158,-53.1426,2,
0.16,-53.6388,2,
0.162,-54.1087,2,
0.164,-54.5537,2,
0.166,-54.9797,2,
0.168,-55.3777,2,
0.17,-55.75,2,
0.172,-56.1046,2,
0.174,-56.4311,2,
0.176,-56.7387,2,
0.178,-57.0201,2,
0.18,-57.2777,2,
0.182,-57.5145,2,
0.184,-57.7263,2,
0.186,-57.9155,2,
0.188,-58.0772,2,
0.19,-58.2201,2.1,
0.192,-58.3391,2.1,
0.194,-58.4325,2,
0.196,-58.5008,2.1,
0.198,-58.5423,2.1,
0.2,-58.5729,1.9,
0.202,-58.5857,0.8,
0.204,-58.6095,0.8,
0.206,-58.6449,0.6,
0.208,-58.6864,0.6,
0.21,-58.7413,0.5,
0.212,-58.8139,0.4,
0.214,-58.8982,0.3,
0.216,-59.0074,0.2,
0.218,-59.1301,0.1,
0.22,-59.2833,0.1,
0.222,-59.4615,0,
0.224,-59.6629,0,
0.226,-59.8918,0,
0.228,-60.1518,0,
0.23,-60.4363,0,
0.232,-60.7475,0,
0.234,-61.0814,0.1,
0.236,-61.4488,0.2,
0.238,-61.8346,0.2,
0.24,-62.2459,0.2,
0.242,-62.675,0.3,
0.244,-63.1261,-1.6,
0.246,-63.5826,-1.1,
0.248,-64.052,-0.9,
0.25,-64.5183,-0.7,
0.252,-64.9999,-2.1,
0.254,-65.4912,-2.7,
0.256,-65.9581,-2.4,
0.258,-66.425,-3.4,
0.26,-66.8761,-4.2,
0.262,-67.3045,-5.2,
0.264,-67.7116,-6.3,
0.266,-68.0998,-7.2,
0.268,-68.4715,-8.1,
0.27,-68.8213,-8.9,
0.272,-69.1533,-9.7,
0.274,-69.4621,-10.5,
0.276,-69.7478,-11.3,
0.278,-70.0139,-12.1,
0.28,-70.2586,-13.3,
0.282,-70.4808,-23.2,
0.284,-70.6474,-30.7,
0.286,-70.75,-35.6,
0.288,-70.7854,-37.4,
0.29,-70.7774,-35.3,
0.292,-70.7579,-33.3,
0.294,-70.7433,-32,
0.296,-70.7384,-31.8,
0.298,-70.7433,-32.6,
0.3,-70.753,-33.5,
0.302,-70.7573,-34,
0.304,-70.7585,-34.2,
