Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1654,1.2,
0.002,-0.1648,1.4,
0.004,-0.1667,1.2,
0.006,-0.1697,1.2,
0.008,-0.1819,1.1,
0.01,-0.1874,1.2,
0.012,-0.1934,1,
0.014,-0.2093,0.6,
0.016,-0.2441,0.2,
0.018,-0.3082,0,
0.02,-0.3985,-0.1,
0.022,-0.5364,-0.1,
0.024,-0.7092,-0.2,
0.026,-0.9216,-0.2,
0.028,-1.1718,-0.2,
0.03,-1.4636,-0.2,
0.032,-1.7968,-0.1,
0.034,-2.163,0,
0.036,-2.5671,0,
0.038,-2.9943,0,
0.04,-3.4533,0.1,
0.042,-3.9373,0.2,
0.044,-4.4384,0.3,
0.046,-4.9627,0.4,
0.048,-5.5065,0.3,
0.05,-6.0693,0.4,
0.052,-6.6534,0.3,
0.054,-7.2613,0.3,
0.056,-7.8863,0.3,
0.058,-8.5363,0.2,
0.06,-9.2156,0.2,
0.062,-9.9255,0.1,
0.064,-10.6683,0.2,
0.066,-11.4398,0.1,
0.068,-12.2393,0.2,
0.07,-13.067,0.2,
0.072,-13.9123,0.1,
0.074,-14.7704,0.1,
0.076,-15.6402,0,
0.078,-16.5325,0,
0.08,-17.4536,0,
0.082,-18.3892,0.5,
0.084,-19.3463,1.2,
0.086,-20.2947,1.2,
0.088,-21.2493,1.5,
0.09,-22.2155,1.8,
0.092,-23.1793,2.1,
0.094,-24.121,2.3,
0.096,-25.028,2.4,
0.098,-25.877,2.6,
0.1,-26.6796,2.5,
0.102,-27.4291,2.5,
0.104,-28.1323,2.4,
0.106,-28.8018,2.4,
0.108,-29.4348,2.4,
0.11,-30.036,2.1,
0.112,-30.6158,2.1,
0.114,-31.1688,2,
0.116,-31.7059,2,
0.118,-32.2338,2,
0.12,-32.7374,1.9,
0.122,-33.2214,1.8,
0.124,-33.6889,1.8,
0.126,-34.1345,1.8,
0.128,-34.566,1.8,
0.13,-34.9658,1.8,
0.132,-35.3454,1.8,
0.134,-35.7067,1.9,
0.136,-36.04,1.8,
0.138,-36.3549,1.8,
0.14,-36.6485,1.8,
0.142,-36.9195,1.8,
0.144,-37.1685,1.9,
0.146,-37.3944,1.8,
0.148,-37.6013,1.9,
0.15,-37.7807,1.9,
0.152,-37.9382,2,
0.154,-38.0755,2,
0.156,-38.1866,2,
0.158,-38.2745,2.1,
0.16,-38.3404,2.1,
