Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.169,1.3,
0.002,-0.1647,1.3,
0.004,-0.1654,1.2,
0.006,-0.169,1.3,
0.008,-0.1818,1.2,
0.01,-0.1866,1.3,
0.012,-0.1909,1,
0.014,-0.2098,0.7,
0.016,-0.2416,0.2,
0.018,-0.3063,0,
0.02,-0.4045,0,
0.022,-0.5406,-0.1,
0.024,-0.7176,-0.2,
0.026,-0.9313,-0.2,
0.028,-1.1876,-0.2,
0.03,-1.4873,-0.1,
0.032,-1.8242,-0.1,
0.034,-2.1898,0,
0.036,-2.5975,0,
0.038,-3.0357,0.1,
0.04,-3.4947,0.2,
0.042,-3.9763,0.3,
0.044,-4.4841,0.3,
0.046,-5.0145,0.3,
0.048,-5.5638,0.4,
0.05,-6.1272,0.4,
0.052,-6.7156,0.4,
0.054,-7.3265,0.4,
0.056,-7.954,0.4,
0.058,-8.6046,0.3,
0.06,-9.29,0.2,
0.062,-9.9999,0.2,
0.064,-10.7457,0.2,
0.066,-11.5202,0.3,
0.068,-12.3271,0.2,
0.07,-13.159,0.2,
0.072,-14.008,0.1,
0.074,-14.868,0.1,
0.076,-15.7427,0,
0.078,-16.6374,0,
0.08,-17.5609,0,
0.082,-18.5143,0,
0.084,-19.5,0,
0.086,-20.5296,0,
0.088,-21.6081,0,
0.09,-22.7403,0.2,
0.092,-23.9159,0.5,
0.094,-25.0975,0.6,
0.096,-26.2602,0.5,
0.098,-27.4101,0.5,
0.1,-28.5283,0.6,
0.102,-29.666,1.7,
0.104,-30.7811,1.6,
0.106,-31.8987,1.8,
0.108,-33.0345,1.9,
0.11,-34.1673,1.9,
0.112,-35.2818,2,
0.114,-36.353,2,
0.116,-37.3894,2.2,
0.118,-38.3897,2,
0.12,-39.3584,2,
0.122,-40.3111,2,
0.124,-41.2364,2,
0.126,-42.1532,2.1,
0.128,-43.0595,2,
0.13,-43.9391,2.3,
0.132,-44.7899,2.2,
0.134,-45.6029,2.2,
0.136,-46.3835,2.2,
0.138,-47.13,2.2,
0.14,-47.8429,2.2,
0.142,-48.5283,2.1,
0.144,-49.1936,2.1,
0.146,-49.8351,2.2,
0.148,-50.4515,2.1,
0.15,-51.0484,2.1,
0.152,-51.6271,2,
0.154,-52.1867,2,
0.156,-52.719,2,
0.158,-53.2365,2,
0.16,-53.7273,2,
0.162,-54.1936,2,
0.164,-54.6379,2,
0.166,-55.0517,2,
0.168,-55.4442,2,
0.17,-55.8202,2,
0.172,-56.1644,2,
0.174,-56.4855,2,
0.176,-56.7888,2,
0.178,-57.0659,2,
0.18,-57.3229,2,
0.182,-57.553,2,
0.184,-57.766,2,
0.186,-57.9503,2,
0.188,-58.1108,2.1,
0.19,-58.2494,2.1,
0.192,-58.3617,2.1,
0.194,-58.4514,2.1,
0.196,-58.5161,2.1,
0.198,-58.5582,2.1,
0.2,-58.5796,1,
0.202,-58.5936,0.9,
0.204,-58.618,0.8,
0.206,-58.6534,0.7,
0.208,-58.6961,0.5,
0.21,-58.7517,0.4,
0.212,-58.8255,0.3,
0.214,-58.9146,0.3,
0.216,-59.0276,0.2,
0.218,-59.1588,0.1,
0.22,-59.3132,0.1,
0.222,-59.4963,0,
0.224,-59.7057,0,
0.226,-59.9407,0,
0.228,-60.2062,0,
0.23,-60.4924,0,
0.232,-60.8104,0.1,
0.234,-61.151,0.1,
0.236,-61.5154,0.1,
0.238,-61.9109,0.2,
0.24,-62.3265,0.2,
0.242,-62.7611,0.2,
0.244,-63.2152,-1.4,
0.246,-63.6736,-3.1,
0.248,-64.1368,-1.3,
0.25,-64.6135,-1.3,
0.252,-65.0914,-2.3,
0.254,-65.5657,-2.9,
0.256,-66.0478,-2.6,
0.258,-66.5099,-3.5,
0.26,-66.9566,-4.4,
0.262,-67.3808,-5.4,
0.264,-67.7849,-6.4,
0.266,-68.1719,-7.3,
0.268,-68.5375,-8.1,
0.27,-68.8835,-9.1,
0.272,-69.2113,-9.9,
0.274,-69.5146,-10.7,
0.276,-69.7972,-11.4,
0.278,-70.0591,-12.3,
0.28,-70.2989,-14.3,
0.282,-70.5144,-24.7,
0.284,-70.6737,-31.8,
0.286,-70.7616,-36.2,
0.288,-70.7854,-37.3,
0.29,-70.7744,-34.9,
0.292,-70.7561,-32.9,
0.294,-70.7439,-31.9,
0.296,-70.7384,-31.8,
0.298,-70.7469,-32.7,
0.3,-70.75,-33.4,
0.302,-70.7567,-33.9,
0.304,-70.7573,-34,
0.306,-70.7549,-34.1,
0.308,-70.7457,-34.1,
0.31,-70.7372,-33.6,
0.312,-70.7408,-33,
0.314,-70.7335,-32.2,
0.316,-70.7243,-31.4,
0.318,-70.7109,-30.3,
0.32,-70.692,-28.7,
0.322,-70.6596,-26.4,
0.324,-70.6133,-23.6,
0.326,-70.5608,-20.6,
0.328,-70.4985,-17.5,
0.33,-70.424,-14.7,
0.332,-70.341,-12,
0.334,-70.2428,-9.8,
0.336,-70.1244,-10.2,
0.338,-69.9718,-9.5,
0.34,-69.7759,-8.9,
0.342,-69.5433,-8.2,
0.344,-69.2638,-7.5,
0.346,-68.9391,-6.8,
0.348,-68.5698,-6,
0.35,-68.1535,-5.1,
0.352,-67.697,-4.1,
0.354,-67.1928,-3.4,
0.356,-66.6533,-2.5,
0.358,-66.0637,-1.7,
0.36,-65.4894,-2.7,
0.362,-64.8967,-1.8,
0.364,-64.3157,-1.1,
0.366,-63.7596,-0.4,
0.368,-63.2292,0.2,
0.37,-62.7275,-0.2,
0.372,-62.2667,-0.2,
0.374,-61.8468,-0.4,
0.376,-61.461,-0.3,
0.378,-61.1095,-0.2,
0.38,-60.7951,0,
0.382,-60.5162,0,
0.384,-60.2611,0,
0.386,-60.0353,0.2,
0.388,-59.8253,0.2,
0.39,-59.6422,0.2,
0.392,-59.4792,0.2,
0.394,-59.3327,0.2,
0.396,-59.2021,0.2,
0.398,-59.0862,0.2,
0.4,-58.9885,0.1,
0.402,-58.9061,0,
0.404,-58.8414,0,
0.406,-58.7993,-0.1,
0.408,-58.7804,-0.1,
0.41,-58.7718,0,
0.412,-58.7779,0.3,
0.414,-58.7962,0.3,
0.416,-58.8237,0.2,
0.418,-58.8609,0.1,
0.42,-58.9171,0,
0.422,-58.9922,0,
0.424,-59.0868,0,
0.426,-59.2033,0,
0.428,-59.3395,-0.1,
0.43,-59.4981,0,
0.432,-59.6806,-0.2,
0.434,-59.8888,-0.2,
0.436,-60.1244,-0.1,
0.438,-60.3923,-0.1,
0.44,-60.6828,0,
0.442,-61.0051,0,
