Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1599,1.2,
0.002,-0.1629,1.5,
0.004,-0.1654,1.3,
0.006,-0.1678,1.3,
0.008,-0.1776,1.1,
0.01,-0.1848,1.3,
0.012,-0.1933,1.1,
0.014,-0.2031,0.8,
0.016,-0.2312,0.3,
0.018,-0.2879,0.1,
0.02,-0.3764,0,
0.022,-0.4979,-0.1,
0.024,-0.6627,-0.2,
0.026,-0.8684,-0.2,
0.028,-1.115,-0.2,
0.03,-1.3927,-0.2,
0.032,-1.7149,0,
0.034,-2.0775,0,
0.036,-2.4724,0,
0.038,-2.8923,0.1,
0.04,-3.3446,0.2,
0.042,-3.8231,0.2,
0.044,-4.3199,0.2,
0.046,-4.8393,0.3,
0.048,-5.3832,0.4,
0.05,-5.9422,0.4,
0.052,-6.5263,0.4,
0.054,-7.1263,0.4,
0.056,-7.7464,0.3,
0.058,-8.3922,0.2,
0.06,-9.066,0.2,
0.062,-9.7679,0.3,
0.064,-10.5028,0.2,
0.066,-11.2676,0.1,
0.068,-12.0659,0.2,
0.07,-12.8905,0.1,
0.072,-13.7413,0.2,
0.074,-14.597,0.1,
0.076,-15.4643,0.1,
0.078,-16.3536,0,
0.08,-17.2661,0,
0.082,-18.2066,0,
0.084,-19.1844,0,
0.086,-20.2001,0,
0.088,-21.2578,0,
0.09,-22.3778,0.1,
0.092,-23.5411,0.4,
0.094,-24.7234,0.5,
0.096,-25.8897,0.6,
0.098,-27.047,0.5,
0.1,-28.1987,0.4,
0.102,-29.3132,1.3,
0.104,-30.432,1.6,
0.106,-31.541,1.6,
0.108,-32.6726,1.7,
0.11,-33.8146,2,
0.112,-34.9352,2,
0.114,-36.0222,2,
0.116,-37.0683,2.1,
0.118,-38.0779,2,
0.12,-39.0563,2,
0.122,-40.0121,2,
0.124,-40.952,1.9,
0.126,-41.8694,1.9,
0.128,-42.7751,2.1,
0.13,-43.662,2.2,
0.132,-44.525,2.2,
0.134,-45.3545,2.2,
0.136,-46.1455,2.3,
0.138,-46.9011,2.2,
0.14,-47.6256,2.2,
0.142,-48.3202,2.1,
0.144,-48.9916,2.2,
0.146,-49.6397,2.1,
0.148,-50.2647,2,
0.15,-50.8708,2.1,
0.152,-51.4531,2.1,
0.154,-52.0177,2,
0.156,-52.5615,2.1,
0.158,-53.084,2.1,
0.16,-53.5832,2.1,
0.162,-54.055,2,
0.164,-54.5042,2,
0.166,-54.9266,2,
0.168,-55.3282,2,
0.17,-55.703,2,
0.172,-56.0552,2,
0.174,-56.3878,2,
0.176,-56.6936,2,
0.178,-56.9811,2,
0.18,-57.2472,2,
0.182,-57.4876,2.1,
0.184,-57.7062,2,
0.186,-57.8984,2,
0.188,-58.0693,2.1,
0.19,-58.2121,2,
0.192,-58.3379,2.1,
0.194,-58.4337,2.1,
0.196,-58.5033,2.1,
0.198,-58.5545,2.1,
0.2,-58.5838,2.1,
0.202,-58.5924,0.8,
0.204,-58.6137,0.8,
0.206,-58.6461,0.7,
0.208,-58.6815,0.6,
0.21,-58.7352,0.5,
0.212,-58.8011,0.4,
0.214,-58.886,0.3,
0.216,-58.9891,0.1,
0.218,-59.1106,0.1,
0.22,-59.2619,0,
0.222,-59.4347,0,
0.224,-59.6349,0,
0.226,-59.8589,0.1,
0.228,-60.1164,0,
0.23,-60.3954,0,
0.232,-60.7042,0.1,
0.234,-61.0399,0.1,
0.236,-61.3988,0.2,
0.238,-61.7851,0.2,
0.24,-62.191,0.3,
0.242,-62.6201,0.3,
0.244,-63.0699,-1.7,
0.246,-63.532,-0.5,
0.248,-63.9946,-0.7,
0.25,-64.4658,-0.5,
0.252,-64.9443,-2.2,
0.254,-65.4314,-2.5,
0.256,-65.9038,-2,
0.258,-66.3731,-3.3,
0.26,-66.8205,-4.2,
0.262,-67.249,-5.2,
0.264,-67.6561,-6.2,
0.266,-68.0455,-7.1,
0.268,-68.4178,-8,
0.27,-68.7718,-8.8,
0.272,-69.1032,-9.7,
0.274,-69.4164,-10.4,
0.276,-69.7044,-11.2,
0.278,-69.9767,-12,
0.28,-70.2208,-13,
0.282,-70.4497,-21.8,
0.284,-70.6261,-29.7,
0.286,-70.7427,-35.1,
0.288,-70.7866,-37.4,
0.29,-70.7799,-35.8,
0.292,-70.7604,-33.6,
0.294,-70.7414,-32,
0.296,-70.7396,-31.8,
0.298,-70.7445,-32.3,
0.3,-70.7512,-33.2,
0.302,-70.7512,-33.7,
0.304,-70.7573,-33.9,
0.306,-70.7549,-34,
0.308,-70.7506,-33.9,
0.31,-70.7408,-33.9,
0.312,-70.739,-33.3,
0.314,-70.7317,-32.4,
0.316,-70.7243,-31.6,
0.318,-70.717,-30.7,
0.32,-70.6969,-29.3,
0.322,-70.67,-27.3,
0.324,-70.631,-24.6,
0.326,-70.5772,-21.7,
0.328,-70.5211,-18.5,
0.33,-70.4491,-15.6,
0.332,-70.3685,-13,
0.334,-70.2788,-10.3,
0.336,-70.1677,-10.4,
0.338,-70.0267,-9.6,
0.34,-69.846,-8.9,
0.342,-69.6288,-8.4,
0.344,-69.362,-7.7,
0.346,-69.0538,-7.1,
0.348,-68.6968,-6.2,
0.35,-68.2951,-5.2,
0.352,-67.8514,-4.4,
0.354,-67.3644,-3.7,
0.356,-66.8358,-2.8,
0.358,-66.2602,-1.9,
0.36,-65.6841,-2.7,
0.362,-65.0816,-2,
0.364,-64.4939,-1.2,
0.366,-63.9275,-0.6,
0.368,-63.3843,0,
0.37,-62.8728,0.1,
0.372,-62.3955,-0.1,
0.374,-61.9603,-0.3,
0.376,-61.5599,-0.3,
0.378,-61.1931,-0.3,
0.38,-60.8623,-0.1,
0.382,-60.5638,0,
0.384,-60.3008,0,
0.386,-60.0603,0.1,
0.388,-59.8497,0.1,
0.39,-59.6568,0.2,
0.392,-59.489,0.2,
0.394,-59.3401,0.3,
0.396,-59.207,0.2,
0.398,-59.0898,0,
0.4,-58.9909,-0.1,
0.402,-58.9116,0,
0.404,-58.8475,0,
0.406,-58.8048,0,
0.408,-58.7798,0,
0.41,-58.7712,0.1,
0.412,-58.7773,0.4,
0.414,-58.7895,0.4,
0.416,-58.8139,0.3,
0.418,-58.8463,0.1,
0.42,-58.9018,0,
0.422,-58.9671,0,
0.424,-59.0526,0,
0.426,-59.1631,0,
0.428,-59.2967,0,
0.43,-59.4469,0,
0.432,-59.6208,0,
0.434,-59.8229,-0.1,
0.436,-60.0481,-0.1,
0.438,-60.3038,-0.1,
0.44,-60.584,-0.1,
0.442,-60.8922,-0.1,
0.444,-61.2352,0,
0.446,-61.599,0,
0.448,-61.9865,0,
0.45,-62.3973,0,
0.452,-62.8343,0,
0.454,-63.2842,-1.1,
0.456,-63.7389,-2.9,
