Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1629,1.2,
0.002,-0.1635,1.4,
0.004,-0.1635,1.2,
0.006,-0.1696,1.2,
0.008,-0.1806,1.1,
0.01,-0.1878,1.3,
0.012,-0.1927,1.1,
0.014,-0.2049,0.8,
0.016,-0.2355,0.2,
0.018,-0.2922,0,
0.02,-0.3856,0,
0.022,-0.5168,-0.1,
0.024,-0.6889,-0.3,
0.026,-0.902,-0.3,
0.028,-1.1522,-0.2,
0.03,-1.4446,-0.1,
0.032,-1.7754,-0.1,
0.034,-2.1416,0,
0.036,-2.5444,0,
0.038,-2.9717,0.2,
0.04,-3.4325,0.2,
0.042,-3.9177,0.3,
0.044,-4.4225,0.3,
0.046,-4.9498,0.4,
0.048,-5.4894,0.4,
0.05,-6.0558,0.3,
0.052,-6.6405,0.4,
0.054,-7.2453,0.4,
0.056,-7.8685,0.4,
0.058,-8.5228,0.3,
0.06,-9.2003,0.2,
0.062,-9.9077,0.2,
0.064,-10.6493,0.2,
0.066,-11.4226,0.2,
0.068,-12.2228,0.2,
0.07,-13.0522,0.2,
0.072,-13.8963,0.1,
0.074,-14.7545,0.2,
0.076,-15.6273,0,
0.078,-16.5196,0,
0.08,-17.4382,0,
0.082,-18.3861,0,
0.084,-19.3694,0,
0.086,-20.3941,0,
0.088,-21.4665,0,
0.09,-22.5938,0.1,
0.092,-23.7651,0.4,
0.094,-24.9455,0.6,
0.096,-26.1095,0.6,
0.098,-27.263,0.5,
0.1,-28.3849,0.4,
0.102,-29.5226,1.8,
0.104,-30.6389,1.7,
0.106,-31.7571,1.7,
0.108,-32.8905,1.8,
0.11,-34.0288,1.8,
0.112,-35.1439,2,
0.114,-36.2224,2.1,
0.116,-37.2643,2,
0.118,-38.2646,2,
0.12,-39.2363,1.9,
0.122,-40.1903,2,
0.124,-41.1217,2,
0.126,-42.039,2,
0.128,-42.9448,2.1,
0.13,-43.8268,2.2,
0.132,-44.6837,2.3,
0.134,-45.4985,2.1,
0.136,-46.2828,2.1,
0.138,-47.0403,2.3,
0.14,-47.755,2.2,
0.142,-48.4435,2.2,
0.144,-49.1118,2.1,
0.146,-49.7551,2.1,
0.148,-50.3777,2,
0.15,-50.9789,2,
0.152,-51.5587,2.1,
0.154,-52.1202,2,
0.156,-52.6567,2,
0.158,-53.1755,2.1,
0.16,-53.673,2,
0.162,-54.1411,2,
0.164,-54.5836,2,
0.166,-55.0053,2,
0.168,-55.4027,2,
0.17,-55.7726,2,
0.172,-56.1235,2,
0.174,-56.4513,2,
0.176,-56.7534,2,
0.178,-57.0329,2,
0.18,-57.2929,2,
0.182,-57.5279,2,
0.184,-57.7409,2,
0.186,-57.9295,2,
0.188,-58.0931,2.1,
0.19,-58.2353,2.1,
0.192,-58.3501,2.1,
0.194,-58.4422,2.1,
0.196,-58.5112,2.1,
0.198,-58.5539,2.1,
0.2,-58.5796,1.6,
0.202,-58.5912,0.9,
0.204,-58.615,0.9,
0.206,-58.6461,0.7,
0.208,-58.6907,0.6,
0.21,-58.7444,0.5,
0.212,-58.8115,0.4,
0.214,-58.8957,0.2,
0.216,-59.0032,0.2,
0.218,-59.1313,0.1,
0.22,-59.2839,0,
0.222,-59.4615,0,
0.224,-59.6715,0,
0.226,-59.901,0,
0.228,-60.1604,0,
0.23,-60.4448,0,
0.232,-60.764,0,
0.234,-61.1028,0.1,
0.236,-61.4659,0.2,
0.238,-61.8529,0.2,
0.24,-62.263,0.3,
0.242,-62.6952,0.2,
0.244,-63.1499,-1.5,
0.246,-63.6076,-1.6,
0.248,-64.0715,-0.8,
0.25,-64.5464,-0.8,
0.252,-65.0261,-2.1,
0.254,-65.518,-2.7,
0.256,-65.9862,-2.5,
0.258,-66.4519,-3.4,
0.26,-66.8987,-4.3,
0.262,-67.3265,-5.3,
0.264,-67.7348,-6.3,
0.266,-68.1206,-7.1,
0.268,-68.4911,-8.1,
0.27,-68.8402,-9,
0.272,-69.1734,-9.7,
0.274,-69.4811,-10.6,
0.276,-69.7636,-11.4,
0.278,-70.0285,-12.2,
0.28,-70.2733,-13.5,
0.282,-70.4949,-23.7,
0.284,-70.6554,-31.1,
0.286,-70.7555,-35.9,
0.288,-70.7903,-37.6,
0.29,-70.7793,-35.4,
0.292,-70.7591,-33.4,
0.294,-70.7463,-32.2,
0.296,-70.7433,-32,
0.298,-70.75,-32.9,
0.3,-70.7542,-33.6,
0.302,-70.7591,-34.1,
0.304,-70.7604,-34.3,
0.306,-70.7567,-34.2,
0.308,-70.7555,-34.2,
0.31,-70.75,-33.2,
0.312,-70.742,-33.2,
0.314,-70.7365,-32.4,
0.316,-70.7274,-31.7,
0.318,-70.7201,-30.8,
0.32,-70.6993,-29.3,
0.322,-70.6706,-27.1,
0.324,-70.6273,-24.3,
0.326,-70.5748,-21.2,
0.328,-70.5126,-18,
0.33,-70.4387,-15.2,
0.332,-70.3575,-12.4,
0.334,-70.2647,-9.9,
0.336,-70.1463,-10.4,
0.338,-69.9956,-9.5,
0.34,-69.8064,-9,
0.342,-69.5775,-8.2,
0.344,-69.3053,-7.6,
0.346,-68.9879,-6.9,
0.348,-68.6247,-6.2,
0.35,-68.2152,-5.2,
0.352,-67.7623,-4.3,
0.354,-67.2679,-3.5,
0.356,-66.732,-2.6,
0.358,-66.1504,-1.8,
0.36,-65.5724,-3.4,
0.362,-64.9754,-1.8,
0.364,-64.3968,-1.1,
0.366,-63.8335,-0.4,
0.368,-63.2994,0.2,
0.37,-62.7922,-0.2,
0.372,-62.3277,-0.2,
0.374,-61.9005,-0.3,
0.376,-61.5099,-0.2,
0.378,-61.1534,-0.2,
0.38,-60.8251,-0.1,
0.382,-60.537,0,
0.384,-60.2721,0,
0.386,-60.0377,0,
0.388,-59.8265,0.2,
0.39,-59.6397,0.2,
0.392,-59.475,0.3,
0.394,-59.3242,0.2,
0.396,-59.1917,0.2,
0.398,-59.0764,0,
0.4,-58.9824,0,
0.402,-58.9031,0,
0.404,-58.8396,0,
0.406,-58.7999,0,
0.408,-58.7779,0,
0.41,-58.7688,0,
0.412,-58.7761,0.4,
0.414,-58.7926,0.3,
0.416,-58.8139,0.2,
0.418,-58.8512,0.1,
0.42,-58.9018,0,
0.422,-58.9732,0,
0.424,-59.0654,0,
0.426,-59.1777,0,
0.428,-59.3144,-0.1,
0.43,-59.4719,0,
0.432,-59.6477,-0.1,
0.434,-59.854,-0.1,
0.436,-60.0896,-0.2,
0.438,-60.3514,-0.1,
0.44,-60.6419,-0.1,
0.442,-60.9587,-0.1,
0.444,-61.3036,0,
0.446,-61.6716,0,
0.448,-62.0696,0,
0.45,-62.4852,0,
0.452,-62.9137,0,
0.454,-63.3678,-0.9,
0.456,-63.8255,-2.7,
0.458,-64.2931,-0.7,
0.46,-64.771,-1.3,
0.462,-65.2574,-2.3,
0.464,-65.7274,-2.7,
0.466,-66.2053,-3,
0.468,-66.6649,-4.1,
0.47,-67.1031,-5.1,
0.472,-67.5188,-5.9,
0.474,-67.9137,-6.9,
0.476,-68.2915,-7.8,
0.478,-68.6522,-8.6,
0.48,-68.994,-9.5,
0.482,-69.3132,-10.4,
0.484,-69.6135,-11.1,
0.486,-69.8943,-11.9,
0.488,-70.1518,-12.8,
0.49,-70.385,-18,
0.492,-70.5827,-27.1,
0.494,-70.7182,-33.7,
0.496,-70.7896,-37.4,
0.498,-70.7994,-37.4,
0.5,-70.7799,-34.4,
0.502,-70.7591,-32.6,
0.504,-70.75,-31.8,
0.506,-70.7488,-32,
0.508,-70.7542,-33,
0.51,-70.7597,-33.8,
0.512,-70.7585,-34,
0.514,-70.7616,-34.2,
0.516,-70.7597,-34.3,
0.518,-70.764,-34.2,
0.52,-70.753,-33.6,
0.522,-70.7451,-32.9,
0.524,-70.7396,-32.1,
0.526,-70.728,-31.3,
0.528,-70.7158,-30.1,
0.53,-70.6896,-28.4,
0.532,-70.6542,-25.9,
0.534,-70.6078,-23,
0.536,-70.5504,-19.8,
0.538,-70.4875,-16.8,
0.54,-70.4112,-14.1,
0.542,-70.3215,-11.2,
0.544,-70.2202,-9.8,
0.546,-70.0926,-9.8,
0.548,-69.9266,-9.3,
0.55,-69.7252,-8.7,
0.552,-69.4743,-8.1,
0.554,-69.1795,-7.4,
0.556,-68.8384,-6.6,
0.558,-68.4532,-5.9,
0.56,-68.0229,-5,
0.562,-67.5511,-4,
0.564,-67.0335,-3.2,
0.566,-66.4739,-2.3,
0.568,-65.9007,-1.5,
0.57,-65.3008,-2.6,
0.572,-64.7063,-2,
0.574,-64.1313,-1.1,
0.576,-63.5832,-0.2,
0.578,-63.0602,0.2,
0.58,-62.5768,-0.3,
0.582,-62.1233,-0.2,
0.584,-61.7088,-0.4,
0.586,-61.3298,-0.3,
0.588,-60.9837,-0.2,
