Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1593,1.2,
0.002,-0.1606,1.3,
0.004,-0.1624,1.2,
0.006,-0.1661,1.1,
0.008,-0.1752,1,
0.01,-0.1825,1.2,
0.012,-0.191,1.2,
0.014,-0.1977,1,
0.016,-0.2203,0.3,
0.018,-0.2648,0,
0.02,-0.3491,0,
0.022,-0.4644,-0.1,
0.024,-0.6268,-0.3,
0.026,-0.8306,-0.3,
0.028,-1.0717,-0.2,
0.03,-1.3531,-0.2,
0.032,-1.6796,-0.1,
0.034,-2.0379,0,
0.036,-2.4328,0,
0.038,-2.857,0,
0.04,-3.3099,0.2,
0.042,-3.7927,0.2,
0.044,-4.2852,0.3,
0.046,-4.8046,0.3,
0.048,-5.3454,0.3,
0.05,-5.9057,0.3,
0.052,-6.4837,0.3,
0.054,-7.0819,0.3,
0.056,-7.6989,0.3,
0.058,-8.3428,0.2,
0.06,-9.0124,0.2,
0.062,-9.7094,0.2,
0.064,-10.4382,0.2,
0.066,-11.2011,0.2,
0.068,-11.9946,0.2,
0.07,-12.8167,0.2,
0.072,-13.6547,0.2,
0.074,-14.5123,0.1,
0.076,-15.3796,0,
0.078,-16.2646,0,
0.08,-17.1734,-0.1,
0.082,-18.1103,-0.1,
0.084,-19.0661,1,
0.086,-20.0128,1.4,
0.088,-20.9704,1.6,
0.09,-21.9348,1.7,
0.092,-22.9052,2,
0.094,-23.8519,2.3,
0.096,-24.7704,2.5,
0.098,-25.6365,2.5,
0.1,-26.455,2.6,
0.102,-27.2222,2.6,
0.104,-27.9376,2.5,
0.106,-28.6138,2.5,
0.108,-29.2571,2.3,
0.11,-29.8663,2.2,
0.112,-30.451,2.1,
0.114,-31.0082,2,
0.116,-31.5563,2,
0.118,-32.08,1.9,
0.12,-32.5903,1.9,
0.122,-33.0834,1.8,
0.124,-33.5589,1.8,
0.126,-34.0136,1.8,
0.128,-34.447,1.8,
0.13,-34.8583,1.8,
0.132,-35.249,1.8,
0.134,-35.6158,1.8,
0.136,-35.9619,1.8,
0.138,-36.2841,1.9,
0.14,-36.5862,1.8,
0.142,-36.8633,1.9,
0.144,-37.1173,1.9,
0.146,-37.3498,1.9,
0.148,-37.5604,1.9,
0.15,-37.7502,1.9,
0.152,-37.9131,2,
0.154,-38.0572,2,
0.156,-38.1756,2,
0.158,-38.2702,2,
0.16,-38.3428,2,
0.162,-38.388,2,
0.164,-38.4179,1.4,
0.166,-38.4374,0.9,
0.168,-38.4643,0.8,
0.17,-38.504,0.7,
0.172,-38.5497,0.6,
0.174,-38.6102,0.5,
0.176,-38.6859,0.3,
0.178,-38.775,0.2,
0.18,-38.8854,0.2,
0.182,-39.0185,0.1,
0.184,-39.1754,0,
0.186,-39.3566,0.1,
0.188,-39.5642,0,
0.19,-39.7979,0,
0.192,-40.0604,0,
0.194,-40.3503,0.1,
0.196,-40.6677,0.1,
0.198,-41.0101,0.1,
0.2,-41.3763,0.1,
0.202,-41.7694,0.2,
0.204,-42.1856,0.2,
0.206,-42.6275,0.3,
0.208,-43.084,0.3,
0.21,-43.565,0.3,
0.212,-44.0606,0.4,
0.214,-44.5751,0.4,
0.216,-45.1006,0.3,
0.218,-45.6402,0.3,
0.22,-46.1968,0.3,
0.222,-46.7675,0.4,
0.224,-47.3492,0.2,
0.226,-47.9498,0.2,
0.228,-48.5497,1.4,
0.23,-49.1583,1.3,
0.232,-49.7503,-2.1,
0.234,-50.3228,0.3,
0.236,-50.8874,0,
0.238,-51.4428,0.9,
0.24,-51.9854,1.7,
0.242,-52.5183,0.2,
0.244,-53.0285,-0.5,
0.246,-53.5076,1.1,
0.248,-53.9678,0.1,
0.25,-54.3987,0.1,
0.252,-54.7985,0,
0.254,-55.1727,0,
0.256,-55.5248,-0.1,
0.258,-55.8447,-0.3,
0.26,-56.145,-0.3,
0.262,-56.419,-0.2,
0.264,-56.6729,-0.3,
0.266,-56.9018,-0.5,
0.268,-57.105,-14.7,
0.27,-57.2045,-51.2,
0.272,-57.1691,-21.2,
0.274,-57.1136,-8.9,
0.276,-57.0941,-5.5,
0.278,-57.1093,-10.5,
0.28,-57.1368,-18.5,
0.282,-57.1484,-19.5,
0.284,-57.1429,-16.5,
0.286,-57.1392,-17.7,
0.288,-57.1374,-19,
0.29,-57.1356,-18.8,
0.292,-57.1313,-17.6,
0.294,-57.127,-15.6,
0.296,-57.1215,-13.3,
0.298,-57.1118,-10.9,
0.3,-57.1063,-9.6,
0.302,-57.0971,-8.1,
0.304,-57.0867,-4.9,
0.306,-57.0623,-1.5,
0.308,-57.0361,0,
0.31,-56.9897,0.4,
0.312,-56.9195,0.8,
0.314,-56.8225,1.6,
0.316,-56.6931,1.3,
0.318,-56.5124,1.5,
0.32,-56.2896,1.7,
0.322,-56.0113,1.9,
0.324,-55.686,2,
0.326,-55.3051,2.1,
0.328,-54.8712,2.1,
0.33,-54.3914,2.2,
0.332,-53.8745,2.2,
0.334,-53.3123,2,
0.336,-52.7093,1.8,
0.338,-52.0751,-1.5,
0.34,-51.4025,4.1,
0.342,-50.7141,1.9,
0.344,-49.9987,1.8,
0.346,-49.2718,1.9,
0.348,-48.5497,0.7,
0.35,-47.8222,0,
0.352,-47.116,0,
0.354,-46.4343,-0.1,
0.356,-45.7757,-0.2,
0.358,-45.1403,-0.2,
0.36,-44.5342,-0.3,
0.362,-43.9569,-0.3,
0.364,-43.4069,-0.4,
0.366,-42.8954,-0.4,
0.368,-42.4145,-0.3,
0.37,-41.9763,-0.3,
0.372,-41.5722,-0.2,
0.374,-41.2011,-0.2,
0.376,-40.8642,-0.1,
0.378,-40.559,0,
0.38,-40.2825,0,
0.382,-40.0311,0,
0.384,-39.8034,0,
0.386,-39.6008,0,
0.388,-39.4213,0.1,
0.39,-39.2614,0.1,
0.392,-39.1265,0.2,
0.394,-39.0038,0.3,
0.396,-38.9013,0.2,
0.398,-38.8183,0.2,
0.4,-38.7506,0.2,
0.402,-38.706,0.1,
0.404,-38.6755,0.1,
0.406,-38.673,0.2,
0.408,-38.673,0.8,
0.41,-38.6859,0.7,
0.412,-38.7048,0.6,
0.414,-38.731,0.4,
0.416,-38.7817,0.3,
0.418,-38.8433,0.2,
0.42,-38.9251,0.1,
0.422,-39.0301,0,
0.424,-39.1595,0,
0.426,-39.3121,0,
0.428,-39.4897,0,
0.43,-39.6966,0,
0.432,-39.9249,0,
0.434,-40.1873,0,
0.436,-40.476,0,
0.438,-40.791,0,
0.44,-41.1321,0,
0.442,-41.5051,0,
0.444,-41.9018,0.1,
0.446,-42.3229,0.1,
0.448,-42.7697,0.2,
0.45,-43.2391,0.2,
0.452,-43.7292,0.2,
0.454,-44.2339,0.3,
0.456,-44.7527,0.3,
0.458,-45.2856,0.4,
0.46,-45.8355,0.3,
0.462,-46.3983,0.3,
0.464,-46.9732,0.3,
0.466,-47.5628,0.3,
0.468,-48.1518,0.3,
0.47,-48.764,1,
0.472,-49.356,-1.7,
0.474,-49.9383,-0.6,
0.476,-50.5041,3.6,
0.478,-51.0613,2.1,
0.48,-51.61,1.3,
0.482,-52.1496,0.5,
0.484,-52.6696,3.1,
0.486,-53.178,1,
0.488,-53.6529,0,
0.49,-54.0936,1.2,
0.492,-54.5117,-0.1,
0.494,-54.9047,0,
0.496,-55.2709,-0.1,
0.498,-55.6097,-0.2,
0.5,-55.9252,-0.2,
0.502,-56.22,-0.2,
0.504,-56.4916,-0.2,
0.506,-56.7394,-0.3,
0.508,-56.9683,-0.6,
0.51,-57.1557,-35.6,
0.512,-57.207,-48.4,
0.514,-57.149,-14.4,
0.516,-57.0928,-6.1,
0.518,-57.0904,-5.7,
0.52,-57.116,-12.7,
0.522,-57.1441,-20,
0.524,-57.1484,-19,
0.526,-57.1386,-16.4,
0.528,-57.1392,-18,
0.53,-57.1398,-18.7,
0.532,-57.135,-18.2,
0.534,-57.1325,-17.4,
0.536,-57.1258,-14.7,
0.538,-57.1191,-12.2,
0.54,-57.1081,-10.3,
0.542,-57.1044,-9.1,
0.544,-57.0947,-7.1,
0.546,-57.0764,-3.4,
0.548,-57.0519,-0.9,
0.55,-57.0184,0,
0.552,-56.9641,0.4,
0.554,-56.8914,0.4,
0.556,-56.7828,0.7,
0.558,-56.6412,1.4,
0.56,-56.452,1.6,
0.562,-56.2103,1.8,
0.564,-55.9204,1.9,
0.566,-55.5743,2,
0.568,-55.1806,2.2,
0.57,-54.7344,2.2,
0.572,-54.2382,2.3,
0.574,-53.7011,2.2,
0.576,-53.1292,0.5,
0.578,-52.5128,1.7,
0.58,-51.8615,-1.3,
0.582,-51.1785,3.5,
0.584,-50.4791,4.1,
0.586,-49.7601,2.4,
0.588,-49.027,1.8,
0.59,-48.2989,-0.3,
0.592,-47.5787,-0.1,
0.594,-46.878,-0.2,
0.596,-46.2036,-0.2,
0.598,-45.5566,-0.2,
0.6,-44.9291,-0.2,
0.602,-44.3347,-0.3,
0.604,-43.7707,-0.4,
0.606,-43.2342,-0.4,
0.608,-42.7343,-0.3,
0.61,-42.2668,-0.3,
0.612,-41.8414,-0.3,
0.614,-41.4532,-0.2,
0.616,-41.0961,-0.1,
0.618,-40.7702,-0.1,
0.62,-40.4742,0,
0.622,-40.2087,0,
0.624,-39.9645,0,
0.626,-39.7454,0,
0.628,-39.5501,0.1,
0.63,-39.3749,0.1,
0.632,-39.2211,0.2,
0.634,-39.0875,0.2,
0.636,-38.9703,0.2,
0.638,-38.8745,0.2,
0.64,-38.7969,0.2,
0.642,-38.7365,0.2,
0.644,-38.695,0.2,
0.646,-38.6724,0.1,
0.648,-38.6755,0.2,
0.65,-38.6816,0.8,
0.652,-38.695,0.6,
0.654,-38.7133,0.5,
0.656,-38.7481,0.4,
0.658,-38.7975,0.2,
0.66,-38.8641,0.2,
0.662,-38.9514,0.1,
0.664,-39.0667,0,
0.666,-39.2028,0,
