Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1581,1.2,
0.002,-0.1636,1.4,
0.004,-0.163,1.2,
0.006,-0.166,1.1,
0.008,-0.1752,1.1,
0.01,-0.1837,1.2,
0.012,-0.1891,1.2,
0.014,-0.1964,0.9,
0.016,-0.2209,0.2,
0.018,-0.2685,0.1,
0.02,-0.3478,0,
0.022,-0.4699,-0.1,
0.024,-0.631,-0.2,
0.026,-0.8349,-0.2,
0.028,-1.0741,-0.3,
0.03,-1.3561,-0.2,
0.032,-1.6759,-0.1,
0.034,-2.0379,0,
0.036,-2.4267,0,
0.038,-2.8557,0,
0.04,-3.3062,0.1,
0.042,-3.781,0.2,
0.044,-4.2827,0.3,
0.046,-4.7985,0.3,
0.048,-5.3399,0.4,
0.05,-5.9014,0.3,
0.052,-6.4757,0.3,
0.054,-7.0739,0.4,
0.056,-7.6934,0.2,
0.058,-8.3336,0.3,
0.06,-9.0063,0.2,
0.062,-9.7002,0.2,
0.064,-10.4339,0.2,
0.066,-11.1938,0.1,
0.068,-11.9896,0.2,
0.07,-12.8081,0.1,
0.072,-13.6535,0.1,
0.074,-14.5073,0.1,
0.076,-15.3753,0,
0.078,-16.2591,0,
0.08,-17.1685,0,
0.082,-18.1066,0,
0.084,-19.0801,-0.1,
0.086,-20.0915,-0.1,
0.088,-21.1461,0,
0.09,-22.2631,0.1,
0.092,-23.4246,0.3,
0.094,-24.6044,0.5,
0.096,-25.7775,0.5,
0.098,-26.9384,0.5,
0.1,-28.0895,0.5,
0.102,-29.2058,1.2,
0.104,-30.3209,1.5,
0.106,-31.433,1.5,
0.108,-32.5597,1.7,
0.11,-33.6931,1.8,
0.112,-34.815,2,
0.114,-35.9057,2,
0.116,-36.9561,1.9,
0.118,-37.9662,1.9,
0.12,-38.944,2,
0.122,-39.8998,1.9,
0.124,-40.8391,1.9,
0.126,-41.7638,1.9,
0.128,-42.6726,2,
0.13,-43.5674,2.1,
0.132,-44.4298,2.1,
0.134,-45.2617,2.1,
0.136,-46.0595,2.2,
0.138,-46.8188,2.2,
0.14,-47.5469,2.1,
0.142,-48.2445,2,
0.144,-48.9226,2.1,
0.146,-49.5714,2.1,
0.148,-50.2013,2,
0.15,-50.8062,2,
0.152,-51.3927,2,
0.154,-51.9604,2,
0.156,-52.506,2,
0.158,-53.026,1.9,
0.16,-53.5229,1.9,
0.162,-54.0032,2,
0.164,-54.4518,2,
0.166,-54.8797,1.9,
0.168,-55.2794,2,
0.17,-55.6591,1.9,
0.172,-56.0161,1.9,
0.174,-56.3476,1.9,
0.176,-56.6588,1.9,
0.178,-56.9475,1.9,
0.18,-57.2124,2,
0.182,-57.4553,2,
0.184,-57.6769,2,
0.186,-57.8698,2,
0.188,-58.0425,2,
0.19,-58.1902,2,
0.192,-58.3123,2,
0.194,-58.413,2,
0.196,-58.4862,2.1,
0.198,-58.5338,2.1,
0.2,-58.5637,2.1,
0.202,-58.5753,0.9,
0.204,-58.5924,0.7,
0.206,-58.6211,0.7,
0.208,-58.659,0.6,
0.21,-58.709,0.5,
0.212,-58.7719,0.3,
0.214,-58.8549,0.2,
0.216,-58.9568,0.2,
0.218,-59.0771,0,
0.22,-59.2254,0,
0.222,-59.4005,0,
0.224,-59.6032,0,
0.226,-59.8302,0,
0.228,-60.0811,0,
0.23,-60.3673,0,
0.232,-60.678,0,
0.234,-61.0167,0.1,
0.236,-61.3689,0.1,
0.238,-61.7522,0.2,
0.24,-62.1618,0.1,
0.242,-62.5921,0.2,
0.244,-63.0321,-1.7,
0.246,-63.4911,-0.9,
0.248,-63.9532,-0.3,
0.25,-64.4213,-0.3,
0.252,-64.9022,-2.3,
0.254,-65.3887,-2.5,
0.256,-65.8611,-1.9,
0.258,-66.3268,-3.1,
0.26,-66.7797,-4,
0.262,-67.2094,-5,
0.264,-67.6214,-6.1,
0.266,-68.0102,-6.9,
0.268,-68.3819,-7.7,
0.27,-68.7365,-8.6,
0.272,-69.0722,-9.5,
