Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1581,1.1,
0.002,-0.1624,1.3,
0.004,-0.1636,1.2,
0.006,-0.1691,1.2,
0.008,-0.1764,1.1,
0.01,-0.1849,1.2,
0.012,-0.1879,1.1,
0.014,-0.2007,0.9,
0.016,-0.2245,0.2,
0.018,-0.2758,0,
0.02,-0.3576,0,
0.022,-0.4821,-0.1,
0.024,-0.6438,-0.2,
0.026,-0.8483,-0.2,
0.028,-1.09,-0.3,
0.03,-1.3738,-0.2,
0.032,-1.7003,-0.1,
0.034,-2.0568,0,
0.036,-2.4523,0,
0.038,-2.8759,0,
0.04,-3.3312,0.1,
0.042,-3.8115,0.2,
0.044,-4.3096,0.3,
0.046,-4.8308,0.3,
0.048,-5.3679,0.4,
0.05,-5.9331,0.4,
0.052,-6.5111,0.3,
0.054,-7.1111,0.3,
0.056,-7.73,0.3,
0.058,-8.3709,0.3,
0.06,-9.0447,0.2,
0.062,-9.7429,0.2,
0.064,-10.476,0.2,
0.066,-11.2359,0.1,
0.068,-12.0293,0.1,
0.07,-12.849,0.2,
0.072,-13.6931,0.2,
0.074,-14.5482,0,
0.076,-15.4174,0,
0.078,-16.3048,0,
0.08,-17.2161,0,
0.082,-18.1609,0,
0.084,-19.1369,-0.1,
0.086,-20.1494,0,
0.088,-21.2108,0,
0.09,-22.3284,0.1,
0.092,-23.499,0.3,
0.094,-24.6782,0.5,
0.096,-25.8465,0.6,
0.098,-27.0061,0.6,
0.1,-28.1573,0.3,
0.102,-29.2711,1.4,
0.104,-30.3893,1.5,
0.106,-31.5014,1.5,
0.108,-32.6238,1.7,
0.11,-33.7609,1.9,
0.112,-34.8778,1.9,
0.114,-35.963,2,
0.116,-37.0092,2,
0.118,-38.0157,2,
0.12,-38.9934,1.9,
0.122,-39.9419,1.8,
0.124,-40.88,1.9,
0.126,-41.8004,2,
0.128,-42.7093,2,
0.13,-43.6034,2,
0.132,-44.464,2.1,
0.134,-45.2941,2.1,
