Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1587,1.1,
0.002,-0.1624,1.4,
0.004,-0.163,1.1,
0.006,-0.1685,1.2,
0.008,-0.1764,1.1,
0.01,-0.1825,1.1,
0.012,-0.1922,1,
0.014,-0.2032,0.6,
0.016,-0.241,0.2,
0.018,-0.2953,0,
0.02,-0.3924,0,
0.022,-0.5211,-0.1,
0.024,-0.6914,-0.2,
0.026,-0.9014,-0.2,
0.028,-1.1498,-0.3,
0.03,-1.4403,-0.2,
0.032,-1.7699,-0.1,
0.034,-2.1325,0,
0.036,-2.5329,0,
0.038,-2.9607,0,
0.04,-3.416,0.1,
0.042,-3.9025,0.2,
0.044,-4.4024,0.2,
0.046,-4.923,0.3,
0.048,-5.4705,0.4,
0.05,-6.0332,0.4,
0.052,-6.6186,0.3,
0.054,-7.2204,0.3,
0.056,-7.846,0.2,
0.058,-8.4936,0.2,
0.06,-9.171,0.2,
0.062,-9.8784,0.1,
0.064,-10.6206,0.1,
0.066,-11.3878,0.2,
0.068,-12.1911,0.1,
0.07,-13.0199,0.2,
0.072,-13.8653,0.1,
0.074,-14.7265,0,
0.076,-15.5968,0,
0.078,-16.4898,0,
0.08,-17.4053,0,
0.082,-18.3556,0,
0.084,-19.3371,-0.1,
0.086,-20.357,0,
0.088,-21.4281,0,
0.09,-22.5573,0.1,
0.092,-23.7212,0.4,
0.094,-24.9065,0.4,
0.096,-26.0753,0.5,
0.098,-27.2295,0.5,
0.1,-28.3532,0.3,
0.102,-29.4939,1.7,
0.104,-30.6042,1.5,
0.106,-31.7229,1.7,
0.108,-32.8551,1.7,
0.11,-33.9873,1.8,
0.112,-35.1073,1.9,
0.114,-36.1846,2,
0.116,-37.2246,2,
0.118,-38.2244,2,
0.12,-39.1991,1.9,
0.122,-40.1476,1.9,
0.124,-41.0808,1.9,
0.126,-42.0012,1.8,
0.128,-42.9094,2,
0.13,-43.7951,2.1,
0.132,-44.6471,2,
0.134,-45.4729,2.2,
0.136,-46.2615,2.1,
0.138,-47.0092,2.1,
0.14,-47.7306,2,
0.142,-48.424,2.1,
0.144,-49.0935,2.1,
0.146,-49.7368,2,
0.148,-50.3588,2,
