Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3124,1.1,-0.000533,
0.002,-0.3167,0.6,0.001066,
0.004,-0.324,1.2,-0.0032,
0.006,-0.3399,0.5,-0.012444,
0.008,-0.3692,0.3,-0.017866,
0.01,-0.4327,0.2,-0.034755,
0.012,-0.5169,0.3,-0.046133,
0.014,-0.6213,0.2,-0.055377,
0.016,-0.7543,0.1,-0.068888,
0.018,-0.9124,0.1,-0.078666,
0.02,-1.0992,0.1,-0.095466,
0.022,-1.3055,0.1,-0.107466,
0.024,-1.5417,0.1,-0.118844,
0.026,-1.8054,0.2,-0.133511,
0.028,-2.0904,0.1,-0.147555,
0.03,-2.3968,0.2,-0.160088,
0.032,-2.7337,0.2,-0.172,
0.034,-3.0926,0.3,-0.181244,
0.036,-3.4728,0.2,-0.194222,
0.038,-3.8793,0.3,-0.206133,
0.04,-4.3023,0.2,-0.213777,
0.042,-4.7527,0.3,-0.230577,
0.044,-5.2252,0.2,-0.238755,
0.046,-5.7208,0.2,-0.251199,
0.048,-6.2383,0.3,-0.263644,
0.05,-6.7797,0.2,-0.270666,
0.052,-7.3431,0.1,-0.282666,
0.054,-7.9302,0.1,-0.294577,
0.056,-8.5461,0,-0.310844,
0.058,-9.1931,0,-0.326666,
0.06,-9.8724,0.1,-0.344,
0.062,-10.5792,0,-0.359733,
0.064,-11.325,0.1,-0.375377,
0.066,-12.1026,0,-0.391733,
0.068,-12.9113,0.1,-0.406311,
0.07,-13.7359,0.1,-0.417244,
0.072,-14.5782,0,-0.424266,
0.074,-15.4266,0,-0.425333,
0.076,-16.3024,0,-0.439999,
0.078,-17.1996,0,-0.450844,
0.08,-18.1231,0,-0.464444,
0.082,-19.0838,0,-0.482844,
0.084,-20.0781,0,-0.500799,
0.086,-21.1193,0.1,-0.525155,
0.088,-22.2051,0.2,-0.549511,
0.09,-23.3416,0.4,-0.570755,
0.092,-24.4958,0.5,-0.58,
0.094,-25.6426,0.6,-0.572888,
0.096,-26.7742,0.4,-0.564177,
0.098,-27.8961,0.4,-0.558844,
0.1,-29.0203,0.2,-0.566933,
0.102,-30.1562,0.1,-0.570222,
0.104,-31.3268,0,-0.590222,
0.106,-32.5506,0.1,-0.613066,
0.108,-33.8421,0,-0.6456,
0.11,-35.1519,0,-0.653155,
0.112,-36.4739,0.1,-0.6608,
0.114,-37.7966,0,-0.661955,
0.116,-39.132,-0.1,-0.673244,
0.118,-40.5071,-0.2,-0.693333,
0.12,-41.9274,-0.2,-0.716622,
0.122,-43.3996,-0.1,-0.744355,
0.124,-44.9011,0,-0.752533,
0.126,-46.4068,0,-0.754133,
0.128,-47.9089,0,-0.751466,
0.13,-49.4396,0,-0.767644,
0.132,-51.0101,0,-0.792088,
0.134,-52.6312,0,-0.818133,
0.136,-54.2919,0.2,-0.832799,
0.138,-55.9527,0.1,-0.828977,
0.14,-57.6122,0,-0.831644,
0.142,-59.3072,0,-0.853422,
0.144,-61.0638,0,-0.884355,
0.146,-62.8863,-0.1,-0.913599,
0.148,-64.671,-5.7,-0.875111,
0.15,-66.1321,8,-0.663466,
0.152,-67.5524,14.7,-0.684622,
0.154,-68.6798,1.8,-0.5312,
0.156,-69.4756,2,-0.360711,
0.158,-69.9792,-3.1,-0.221866,
0.16,-70.194,-8.7,-0.081866,
0.162,-70.1525,-7.9,0.044,
0.164,-69.923,-2.4,0.128622,
0.166,-69.5794,-7.1,0.183377,
0.168,-69.168,-5.2,0.210488,
0.17,-68.7219,-7,0.224622,
0.172,-68.2842,-8.1,0.218666,
0.174,-67.8802,-9.6,0.195822,
0.176,-67.5421,-10.4,0.1616,
0.178,-67.2778,-11,0.123111,
0.18,-67.1044,-11.5,0.075466,
0.182,-67.0385,-11.9,0.021688,
0.184,-67.0837,-12.3,-0.034755,
0.186,-67.2314,-12.9,-0.088444,
0.188,-67.481,-13,-0.137244,
0.19,-67.821,-13.5,-0.180711,
0.192,-68.2482,-14.3,-0.222399,
0.194,-68.72,-14.9,-0.228355,
0.196,-69.2022,-8.5,-0.256088,
0.198,-69.6734,-8.4,-0.227822,
0.2,-70.0683,-10,-0.1888,
0.202,-70.3723,-21.4,-0.1416,
0.204,-70.556,-29.5,-0.077066,
0.206,-70.6036,-30.2,-0.005422,
0.208,-70.5291,-25.6,0.0488,
0.21,-70.3942,-18.5,0.070044,
0.212,-70.2197,-12.6,0.090044,
0.214,-70.0164,-8.3,0.098755,
0.216,-69.7912,-9.3,0.116622,
0.218,-69.5373,-8.6,0.130755,
0.22,-69.2431,-7.4,0.151911,
0.222,-68.916,-7.2,0.167644,
0.224,-68.5461,-6.7,0.187733,
0.226,-68.1304,-6.4,0.214844,
0.228,-67.6727,-5.7,0.234933,
0.23,-67.1862,-5,0.247377,
0.232,-66.6796,-4.3,0.253955,
0.234,-66.1511,-3.8,0.263644,
0.236,-65.6188,-2.8,0.266933,
0.238,-65.0781,-1.9,0.272355,
0.24,-64.6398,-6.2,0.175288,
0.242,-64.2266,-6.4,0.193155,
0.244,-63.9507,-6,0.122133,
0.246,-63.8207,-5.4,0.047822,
0.248,-63.847,-4.3,-0.027644,
0.25,-63.9782,-4,-0.073244,
0.252,-64.1912,-3.8,-0.116088,
0.254,-64.4708,-3.4,-0.146488,
0.256,-64.8132,-3.5,-0.174133,
0.258,-65.1873,-3.6,-0.191466,
0.26,-65.5804,-4.1,-0.201333,
0.262,-65.9948,-4.6,-0.209955,
0.264,-66.4208,-5.2,-0.215911,
0.266,-66.8493,-5.9,-0.217511,
0.268,-67.2833,-6.8,-0.218133,
0.27,-67.7111,-7.6,-0.215377,
0.272,-68.1323,-8.4,-0.211111,
0.274,-68.5467,-9.3,-0.207288,
0.276,-68.9636,-10.3,-0.208355,
0.278,-69.3737,-11.1,-0.204533,
0.28,-69.7766,-12.5,-0.2008,
0.282,-70.1751,-14.1,-0.199111,
0.284,-70.5425,-27.9,-0.171911,
0.286,-70.7574,-39.5,-0.122044,
0.288,-70.8477,-45,-0.020622,
0.29,-70.7592,-37,0.063466,
0.292,-70.556,-23.1,0.112799,
0.294,-70.3161,-13.9,0.119377,
0.296,-70.0933,-11.5,0.107999,
0.298,-69.8876,-11.7,0.100444,
0.3,-69.6996,-10.5,0.091733,
0.302,-69.5233,-9.6,0.087288,
0.304,-69.3444,-9.5,0.087377,
0.306,-69.1589,-9.1,0.093333,
0.308,-68.9642,-8.5,0.100888,
0.31,-68.7475,-7.6,0.112888,
0.312,-68.5089,-7.2,0.124177,
0.314,-68.2336,-6.6,0.1416,
0.316,-67.9217,-6,0.158933,
0.318,-67.575,-5.4,0.176355,
0.32,-67.1966,-4.9,0.191555,
0.322,-66.7907,-4.1,0.204533,
0.324,-66.3598,-3.3,0.214844,
0.326,-65.9081,-2.4,0.231199,
0.328,-65.4406,-1.5,0.237599,
0.33,-65.061,-3.7,0.138844,
0.332,-64.6691,-5.7,0.180177,
0.334,-64.392,-5.8,0.127022,
0.336,-64.2388,-5.6,0.060266,
0.338,-64.2034,-5,0.002222,
0.34,-64.273,-4.3,-0.043377,
0.342,-64.4238,-3.9,-0.082488,
0.344,-64.6508,-3.9,-0.119911,
0.346,-64.9298,-4,-0.147644,
0.348,-65.2514,-4,-0.166577,
0.35,-65.5889,-4.4,-0.169777,
0.352,-65.9435,-5,-0.179555,
0.354,-66.3085,-5.5,-0.183377,
0.356,-66.6924,-6,-0.191466,
0.358,-67.0886,-6.9,-0.201333,
0.36,-67.4908,-7.7,-0.2024,
0.362,-67.8942,-8.4,-0.204533,
0.364,-68.3019,-9.4,-0.205066,
0.366,-68.7127,-10.4,-0.207822,
0.368,-69.1332,-11.3,-0.212088,
0.37,-69.5507,-12.5,-0.209955,
0.372,-69.9816,-13.7,-0.217511,
0.374,-70.4144,-23.3,-0.219733,
0.376,-70.6799,-35.7,-0.163288,
0.378,-70.8502,-46.7,-0.062933,
0.38,-70.8196,-42.8,0.034222,
0.382,-70.6371,-31.1,0.102044,
0.384,-70.4046,-19.1,0.118844,
0.386,-70.18,-13.4,0.112266,
0.388,-69.9725,-9.9,0.102488,
0.39,-69.7881,-10.6,0.0896,
0.392,-69.6124,-10.6,0.085688,
0.394,-69.4293,-9.7,0.092711,
0.396,-69.2333,-9,0.101511,
0.398,-69.0222,-8.4,0.109511,
0.4,-68.7798,-8.1,0.125333,
0.402,-68.5003,-7.6,0.139466,
0.404,-68.189,-7,0.160088,
0.406,-67.8491,-6.5,0.171911,
0.408,-67.4786,-5.7,0.189333,
0.41,-67.0819,-5.1,0.201777,
0.412,-66.665,-4.2,0.211555,
0.414,-66.228,-3.5,0.220266,
0.416,-65.7781,-2.6,0.226311,
0.418,-65.321,-1.7,0.228355,
0.42,-64.9743,-2.5,0.128622,
0.422,-64.6221,-5.8,0.1568,
0.424,-64.3847,-5.8,0.103111,
0.426,-64.2742,-5.5,0.041777,
0.428,-64.2755,-4.1,-0.013599,
0.43,-64.3621,-4.2,-0.053155,
0.432,-64.5281,-4.1,-0.089511,
0.434,-64.7576,-3.8,-0.118755,
0.436,-65.0286,-3.8,-0.141066,
0.438,-65.3387,-4.1,-0.157866,
0.44,-65.6579,-4.6,-0.164355,
0.442,-65.985,-5.2,-0.165422,
0.444,-66.3201,-5.8,-0.168177,
0.446,-66.6674,-6.4,-0.172533,
0.448,-67.0172,-7.3,-0.176888,
0.45,-67.3785,-8,-0.181777,
0.452,-67.7569,-8.8,-0.192622,
0.454,-68.1573,-9.7,-0.204533,
0.456,-68.5729,-10.6,-0.212622,
0.458,-69.0112,-11.3,-0.221422,
0.46,-69.4659,-12.2,-0.227911,
0.462,-69.9359,-13.3,-0.238222,
0.464,-70.4223,-22.5,-0.248444,
0.466,-70.7366,-38.5,-0.194755,
0.468,-70.9435,-52,-0.083466,
0.47,-70.9136,-51.5,0.033688,
0.472,-70.7086,-34.7,0.117688,
0.474,-70.4345,-18.7,0.137777,
0.476,-70.1586,-11.4,0.137333,
0.478,-69.909,-12.2,0.121511,
0.48,-69.6771,-10.1,0.111733,
0.482,-69.4579,-10.6,0.106399,
0.484,-69.2462,-9.9,0.105777,
0.486,-69.0301,-9.6,0.107999,
0.488,-68.8079,-8.9,0.114488,
0.49,-68.5717,-8.4,0.118311,
0.492,-68.319,-7.7,0.127022,
0.494,-68.048,-7.1,0.137866,
0.496,-67.7508,-6.4,0.152977,
0.498,-67.4243,-5.7,0.168711,
0.5,-67.0715,-5,0.178488,
0.502,-66.6943,-4.2,0.1904,
0.504,-66.2982,-3.4,0.198488,
0.506,-65.8813,-2.5,0.210488,
0.508,-65.4577,-1.4,0.216444,
0.51,-65.1263,-1.1,0.124266,
0.512,-64.7753,-6.1,0.157866,
0.514,-64.5245,-6.1,0.114488,
0.516,-64.3963,-5.6,0.055377,
0.518,-64.3731,-4.4,0.001066,
0.52,-64.4421,-4.3,-0.042844,
0.522,-64.5806,-4,-0.073777,
0.524,-64.7814,-4,-0.103555,
0.526,-65.0347,-4.1,-0.129066,
0.528,-65.3137,-4.3,-0.143822,
0.53,-65.614,-4.7,-0.151911,
0.532,-65.9228,-5.2,-0.1552,
0.534,-66.2426,-5.8,-0.162222,
0.536,-66.5765,-6.4,-0.168711,
0.538,-66.9201,-7.1,-0.173066,
0.54,-67.2747,-8,-0.179022,
0.542,-67.6501,-8.7,-0.1872,
0.544,-68.0548,-9.6,-0.204,
0.546,-68.4808,-10.5,-0.215377,
0.548,-68.9337,-11.4,-0.231199,
0.55,-69.4048,-12.2,-0.240266,
0.552,-69.8925,-13.3,-0.244088,
0.554,-70.3948,-21.2,-0.250577,
0.556,-70.7433,-40,-0.206666,
0.558,-70.9741,-52.1,-0.092266,
0.56,-70.9503,-52.1,0.034666,
0.562,-70.7433,-36.3,0.119911,
0.564,-70.4485,-19.1,0.150844,
0.566,-70.158,-11,0.145955,
0.568,-69.8925,-12.8,0.131288,
0.57,-69.6453,-10.5,0.120444,
0.572,-69.4134,-10.8,0.114488,
0.574,-69.1894,-10.1,0.110666,
0.576,-68.9587,-10,0.116088,
0.578,-68.7329,-9.1,0.117155,
0.58,-68.5034,-8.6,0.116088,
0.582,-68.2635,-7.8,0.121511,
0.584,-68.0059,-7.1,0.129688,
0.586,-67.7239,-6.5,0.142222,
0.588,-67.4139,-5.8,0.154577,
0.59,-67.0764,-5.1,0.170844,
0.592,-66.7211,-4.2,0.181777,
0.594,-66.3452,-3.4,0.191466,
0.596,-65.9509,-2.3,0.199644,
0.598,-65.5389,-1.3,0.209955,
0.6,-65.2136,-0.5,0.123111,
0.602,-64.8663,-6.5,0.156266,
0.604,-64.6099,-6.2,0.115555,
0.606,-64.4677,-5.6,0.059111,
0.608,-64.4323,-4.7,0.005955,
0.61,-64.4842,-4.2,-0.036355,
0.612,-64.6069,-4.2,-0.068888,
0.614,-64.7961,-4.2,-0.099288,
0.616,-65.0262,-4.1,-0.118311,
0.618,-65.2929,-4.3,-0.135111,
0.62,-65.5804,-4.8,-0.147555,
0.622,-65.8819,-5.3,-0.150311,
0.624,-66.1981,-5.8,-0.160088,
0.626,-66.5295,-6.4,-0.166044,
0.628,-66.8737,-7.1,-0.174666,
0.63,-67.2289,-7.9,-0.181155,
0.632,-67.6074,-8.6,-0.191022,
0.634,-68.0071,-9.5,-0.202844,
0.636,-68.4356,-10.4,-0.215911,
0.638,-68.8891,-11.3,-0.228444,
0.64,-69.3627,-12.1,-0.240888,
0.642,-69.8565,-13.2,-0.248977,
0.644,-70.3552,-19.1,-0.251199,
0.646,-70.7256,-38.3,-0.205066,
0.648,-70.9735,-52.1,-0.102044,
0.65,-70.9704,-52.1,0.027111,
0.652,-70.7678,-37.5,0.118222,
0.654,-70.4785,-20.1,0.148622,
0.656,-70.1861,-10.9,0.142133,
0.658,-69.9194,-12.9,0.128533,
0.66,-69.6673,-10.4,0.122577,
0.662,-69.4299,-11,0.117155,
0.664,-69.2022,-10.2,0.112888,
0.666,-68.9758,-10.2,0.113333,
0.668,-68.7493,-9.1,0.112888,
0.67,-68.5162,-8.7,0.115022,
0.672,-68.2739,-7.9,0.121511,
0.674,-68.0157,-7.2,0.130755,
0.676,-67.7307,-6.6,0.1448,
0.678,-67.4206,-5.9,0.155733,
0.68,-67.0812,-5.1,0.171466,
0.682,-66.7236,-4.3,0.183377,
0.684,-66.3458,-3.5,0.191466,
0.686,-65.9527,-2.5,0.200177,
0.688,-65.5444,-1.5,0.207733,
0.69,-65.2117,-0.4,0.131822,
