Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.3093,1.2,-0.0016,
0.002,-0.313,1.2,0.000533,
0.004,-0.3106,1.1,0,
0.006,-0.313,1.1,-0.0016,
0.008,-0.3118,1.1,0,
0.01,-0.3112,1.2,0.000533,
0.012,-0.3124,1.1,-0.002755,
0.014,-0.3136,1.2,0,
0.016,-0.3118,1.2,0.001066,
0.018,-0.3136,1.2,-0.001066,
0.02,-0.3136,1.2,-0.000533,
0.022,-0.313,1.2,-0.0016,
0.024,-0.3161,1.2,-0.001688,
0.026,-0.3179,1.1,-0.000533,
0.028,-0.3197,1.2,-0.002133,
0.03,-0.3234,0.8,-0.000533,
0.032,-0.3429,0.6,-0.008711,
0.034,-0.3789,0.7,-0.018933,
0.036,-0.429,0.7,-0.027733,
0.038,-0.4894,0.8,-0.030933,
0.04,-0.5571,0.8,-0.031466,
0.042,-0.6347,0.9,-0.036888,
0.044,-0.7152,1,-0.039555,
0.046,-0.7988,1,-0.043377,
0.048,-0.8782,1,-0.040177,
0.05,-0.96,1.1,-0.040177,
0.052,-1.0497,1.1,-0.041244,
0.054,-1.1315,1.2,-0.043377,
0.056,-1.2157,1.2,-0.040711,
0.058,-1.3006,1.2,-0.040711,
0.06,-1.3817,1.2,-0.040622,
0.062,-1.4574,1.3,-0.038488,
0.064,-1.5349,1.3,-0.036888,
0.066,-1.6137,1.2,-0.039644,
0.068,-1.6924,1.2,-0.042311,
0.07,-1.7656,1.1,-0.039555,
0.072,-1.8444,1.2,-0.037422,
0.074,-1.9182,1.1,-0.037955,
0.076,-1.997,1.1,-0.039644,
0.078,-2.0751,1,-0.039111,
0.08,-2.1581,1.1,-0.040711,
0.082,-2.2405,1,-0.040711,
0.084,-2.3302,1,-0.040177,
0.086,-2.4236,1,-0.043911,
0.088,-2.5249,1,-0.049866,
0.09,-2.6262,1,-0.0488,
0.092,-2.7398,1,-0.055911,
0.094,-2.8508,1,-0.055288,
0.096,-2.9699,1,-0.059199,
0.098,-3.0986,1,-0.062311,
0.1,-3.2195,1.1,-0.060266,
0.102,-3.3477,1.1,-0.061866,
0.104,-3.4868,1.1,-0.068888,
0.106,-3.6168,1,-0.066133,
0.108,-3.7554,1,-0.068355,
0.11,-3.9006,1,-0.069422,
0.112,-4.0453,1.1,-0.073244,
0.114,-4.1869,1.1,-0.072711,
0.116,-4.3407,1.1,-0.073777,
0.118,-4.4915,1,-0.074311,
0.12,-4.6471,1,-0.079733,
0.122,-4.8058,1.1,-0.078666,
0.124,-4.9663,1,-0.078666,
0.126,-5.1275,1.1,-0.079822,
0.128,-5.2959,1,-0.085688,
0.13,-5.4619,1,-0.085155,
0.132,-5.6298,1.1,-0.085155,
0.134,-5.8068,1.1,-0.088444,
0.136,-5.9832,1.1,-0.088977,
0.138,-6.1614,1.1,-0.090044,
0.14,-6.3427,1,-0.0912,
0.142,-6.5313,1,-0.092266,
0.144,-6.7186,1,-0.095466,
0.146,-6.9103,1,-0.096533,
0.148,-7.1062,1,-0.100355,
0.15,-7.3021,1,-0.099288,
0.152,-7.5029,1,-0.0976,
0.154,-7.7099,1,-0.105333,
0.156,-7.9174,1,-0.106933,
0.158,-8.1279,1,-0.107911,
0.16,-8.341,1,-0.106933,
0.162,-8.5619,1,-0.110133,
0.164,-8.7877,1,-0.113866,
0.166,-9.0117,1.1,-0.112266,
0.168,-9.2412,1,-0.113333,
0.17,-9.4732,1,-0.116177,
0.172,-9.7088,1,-0.119377,
0.174,-9.9541,1,-0.122577,
0.176,-10.197,1,-0.123644,
0.178,-10.4491,1,-0.126399,
0.18,-10.7006,1,-0.127555,
0.182,-10.9581,1,-0.126933,
0.184,-11.2188,1,-0.131288,
0.186,-11.4837,1,-0.133511,
0.188,-11.7534,1,-0.132888,
0.19,-12.0263,1,-0.140533,
0.192,-12.2985,1,-0.139466,
0.194,-12.5744,1,-0.134577,
0.196,-12.8515,1,-0.139466,
0.198,-13.131,1,-0.137777,
0.2,-13.4154,1,-0.1416,
0.202,-13.6992,1,-0.142666,
0.204,-13.9867,1,-0.143733,
0.206,-14.276,1,-0.146488,
0.208,-14.5598,0.9,-0.1432,
0.21,-14.8473,1,-0.142666,
0.212,-15.1409,1,-0.146488,
0.214,-15.4339,0.9,-0.147644,
0.216,-15.7293,0.9,-0.146488,
0.218,-16.0302,0.8,-0.149777,
0.22,-16.3335,0.8,-0.154044,
0.222,-16.6423,0.8,-0.157333,
0.224,-16.9561,0.9,-0.159022,
0.226,-17.2728,0.9,-0.16,
0.228,-17.5914,0.9,-0.160533,
0.23,-17.9186,0.9,-0.163288,
0.232,-18.2451,0.8,-0.162222,
0.234,-18.5766,1,-0.165511,
