Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.302,-5.2,-1.429,0.008711,
0.005,-0.2037,-4.5,9.651,0.032533,
0.01,-0.1684,-4.7,-9.514,-0.010311,
0.015,-0.1666,-5.6,3.076,0.005422,
0.02,-0.1764,-5.1,-1.385,-0.004355,
0.025,-0.1727,-5.2,2.131,-0.0016,
0.03,-0.1745,-5.2,3.158,-0.0016,
0.035,-0.1715,-5.1,3.416,0.003733,
0.04,-0.177,-5.2,-5.841,-0.002222,
0.045,-0.1739,-5.2,3.959,0.000533,
0.05,-0.1776,-5.2,-6.623,-0.003822,
0.055,-0.1794,-5.2,3.337,-0.002133,
0.06,-0.1849,-5.2,-0.958,-0.002133,
0.065,-0.1922,-5.2,-0.776,0.001066,
0.07,-0.2043,-5.2,1.178,-0.0016,
0.075,-0.2111,-5.2,-0.358,-0.002755,
0.08,-0.2495,-5.4,-0.728,-0.013599,
0.085,-0.3258,-5.3,-0.149,-0.017333,
0.09,-0.4497,-5.4,-5.194,-0.028799,
0.095,-0.5937,-5.2,1.655,-0.028711,
0.1,-0.7616,-5.2,-0.896,-0.034755,
0.105,-0.9319,-5.2,4.452,-0.030933,
0.11,-1.0997,-5.2,0.488,-0.030933,
0.115,-1.2548,-5.1,6.77,-0.024444,
0.12,-1.4134,-5.2,-5.019,-0.032533,
0.125,-1.5618,-5.2,5.352,-0.027199,
0.13,-1.7198,-5.3,-5.205,-0.036355,
0.135,-1.8816,-5.3,0.992,-0.033688,
0.14,-2.0586,-5.2,-2.217,-0.035822,
0.145,-2.2454,-5.2,2.334,-0.038577,
0.15,-2.448,-5.2,-5.61,-0.041244,
0.155,-2.6549,-5.2,3.433,-0.041244,
0.16,-2.8734,-5.2,-0.222,-0.0456,
0.165,-3.0998,-5.2,0.111,-0.049333,
0.17,-3.3361,-5.2,-3.279,-0.047288,
0.175,-3.5814,-5.2,0.934,-0.050488,
0.18,-3.8353,-5.2,-3.329,-0.054755,
0.185,-4.085,-5.2,5.414,-0.047822,
0.19,-4.3474,-5.2,-1.028,-0.054755,
0.195,-4.6172,-5.2,3.792,-0.052088,
0.2,-4.8943,-5.3,-0.992,-0.057511,
0.205,-5.175,-5.2,4.44,-0.053688,
0.21,-5.4698,-5.3,-0.159,-0.058577,
0.215,-5.7683,-5.2,4.644,-0.056977,
0.22,-6.0771,-5.2,-3.854,-0.064533,
0.225,-6.3872,-5.2,6.561,-0.059644,
0.23,-6.7082,-5.2,0.778,-0.062311,
0.235,-7.036,-5.2,-1.076,-0.064533,
0.24,-7.3705,-5.3,-4.497,-0.068355,
0.245,-7.7165,-5.3,-1.32,-0.070488,
0.25,-8.0718,-5.3,-1.009,-0.071111,
0.255,-8.4361,-5.2,4.111,-0.069955,
0.26,-8.8072,-5.3,-4.692,-0.076444,
0.265,-9.1826,-5.2,1.791,-0.074844,
0.27,-9.561,-5.3,-4.956,-0.074844,
0.275,-9.9578,-5.3,1.174,-0.079288,
0.28,-10.3581,-5.3,-0.35,-0.0808,
0.285,-10.7683,-5.2,4.866,-0.080266,
0.29,-11.1797,-5.3,-8.524,-0.083555,
0.295,-11.6008,-5.2,0.564,-0.086222,
0.3,-12.0226,-5.3,-1.318,-0.086844,
0.305,-12.4523,-5.3,-0.677,-0.087377,
0.31,-12.8813,-5.2,-4.409,-0.088355,
0.315,-13.3129,-5.3,-3.549,-0.085777,
0.32,-13.7566,-5.3,-1.871,-0.087377,
0.325,-14.204,-5.4,4.793,-0.090044,
0.33,-14.652,-5.3,-3.745,-0.090133,
0.335,-15.1006,-5.3,1.693,-0.088977,
0.34,-15.5553,-5.3,-0.231,-0.0928,
0.345,-16.0179,-5.4,0.379,-0.090577,
0.35,-16.4934,-5.3,-2.472,-0.098755,
0.355,-16.9621,-5.3,-1.91,-0.0944,
0.36,-17.4376,-5.3,1.12,-0.0944,
0.365,-17.9161,-5.3,-0.043,-0.096533,
0.37,-18.3904,-5.3,1.931,-0.0944,
0.375,-18.8658,-5.3,-1.505,-0.096,
0.38,-19.3419,-5.3,1.226,-0.096,
0.385,-19.8155,-5.3,-2.625,-0.098133,
0.39,-20.291,-5.4,0.147,-0.099288,
0.395,-20.7622,-5.3,0.731,-0.093866,
0.4,-21.2432,-5.3,-0.931,-0.098755,
0.405,-21.7247,-5.3,-0.112,-0.095466,
0.41,-22.2185,-5.3,-5.631,-0.100888,
0.415,-22.708,-5.3,3.169,-0.096533,
0.42,-23.1969,-5.3,-4.648,-0.098222,
0.425,-23.6797,-5.4,2.403,-0.0928,
0.43,-24.1698,-5.4,-1.577,-0.096622,
0.435,-24.6538,-5.4,2.187,-0.098222,
0.44,-25.1409,-5.4,-3.033,-0.098755,
0.445,-25.623,-5.4,0.056,-0.095466,
0.45,-26.1144,-5.4,-2.041,-0.098222,
0.455,-26.6075,-5.3,1.369,-0.100355,
0.46,-27.0983,-5.4,-4.217,-0.097688,
0.465,-27.5884,-5.5,2.986,-0.098755,
0.47,-28.0882,-5.4,-1.103,-0.100888,
0.475,-28.5942,-5.4,1.399,-0.099822,
0.48,-29.1008,-5.4,-3.578,-0.100355,
0.485,-29.6129,-5.4,6.106,-0.100355,
0.49,-30.1299,-5.4,-0.587,-0.104711,
0.495,-30.6487,-5.3,0.801,-0.106933,
0.5,-31.1699,-5.4,0.058,-0.103111,
0.505,-31.6936,-5.3,0.792,-0.102577,
0.51,-32.2246,-5.3,-4.365,-0.103111,
0.515,-32.7501,-5.2,0.299,-0.102488,
0.52,-33.2787,-5.3,-2.974,-0.106399,
0.525,-33.7944,-5.3,0.026,-0.102488,
0.53,-34.3212,-5.3,-0.606,-0.107466,
0.535,-34.8412,-5.3,1.366,-0.103644,
0.54,-35.3612,-5.3,-4.728,-0.104177,
0.545,-35.8818,-5.3,0.804,-0.104711,
0.55,-36.4025,-5.3,1.439,-0.103111,
0.555,-36.9237,-5.3,-1.295,-0.104711,
0.56,-37.4407,-5.3,-1.283,-0.102577,
0.565,-37.9589,-5.3,-1.25,-0.104177,
0.57,-38.4715,-5.3,1.62,-0.102488,
0.575,-38.9873,-5.2,-0.143,-0.106311,
0.58,-39.4908,-5.2,1.439,-0.100355,
0.585,-39.9962,-5.3,0.933,-0.101955,
0.59,-40.4991,-5.3,-2.219,-0.103555,
0.595,-41.0008,-5.2,3.152,-0.0992,
0.6,-41.4989,-5.3,0.636,-0.098755,
0.605,-41.9945,-5.2,-1.531,-0.096,
0.61,-42.4864,-5.2,0.313,-0.094933,
0.615,-42.9759,-5.2,5.83,-0.094933,
0.62,-43.4593,-5.2,2.298,-0.096,
0.625,-43.9366,-5.2,-2.514,-0.096533,
0.63,-44.4036,-5.3,3.766,-0.090133,
0.635,-44.8754,-5.3,-1.089,-0.093866,
0.64,-45.338,-5.2,0.255,-0.091111,
0.645,-45.7976,-5.3,-4.141,-0.092266,
0.65,-46.2548,-5.2,0.935,-0.088977,
0.655,-46.7156,-5.2,-3.229,-0.090666,
0.66,-47.1691,-5.2,2.18,-0.087911,
0.665,-47.6177,-5.3,-5.525,-0.093333,
0.67,-48.0632,-5.2,0.081,-0.088977,
0.675,-48.5082,-5.2,1.382,-0.087911,
0.68,-48.9513,-5.2,-0.866,-0.087377,
0.685,-49.3889,-5.3,-2.659,-0.087377,
0.69,-49.8198,-5.2,1.498,-0.085155,
0.695,-50.2489,-5.2,-2.491,-0.084088,
0.7,-50.678,-5.2,-1.272,-0.087377,
0.705,-51.0991,-5.2,-1.274,-0.084088,
0.71,-51.5105,-5.2,3.094,-0.0792,
0.715,-51.928,-5.3,-1.789,-0.083022,
0.72,-52.3393,-5.2,1.123,-0.084088,
0.725,-52.7403,-5.2,3.819,-0.077511,
0.73,-53.145,-5.3,-1.055,-0.083022,
0.735,-53.5399,-5.3,0.345,-0.0792,
0.74,-53.9269,-5.3,3.789,-0.073244,
0.745,-54.3181,-5.3,0.815,-0.079733,
0.75,-54.6984,-5.2,-2.736,-0.080355,
0.755,-55.0737,-5.2,-1.808,-0.076977,
0.76,-55.4418,-5.3,2.511,-0.069511,
0.765,-55.8055,-5.3,-1.417,-0.073777,
0.77,-56.1583,-5.2,1.193,-0.069955,
0.775,-56.5056,-5.3,-0.722,-0.068888,
0.78,-56.8413,-5.2,-0.043,-0.066755,
0.785,-57.1715,-5.3,-1.688,-0.064533,
0.79,-57.4901,-5.3,-1.079,-0.065066,
0.795,-57.8038,-5.3,0.332,-0.062399,
0.8,-58.1114,-5.3,-0.015,-0.059644,
0.805,-58.4178,-5.3,1.553,-0.060177,
0.81,-58.7132,-5.3,1.76,-0.056888,
0.815,-59.0062,-5.3,-3.422,-0.060711,
0.82,-59.2839,-5.3,0.794,-0.055288,
0.825,-59.55,-5.3,0.154,-0.054222,
0.83,-59.8137,-5.3,1.131,-0.051022,
0.835,-60.067,-5.3,-0.436,-0.051022,
0.84,-60.3142,-5.2,0.937,-0.049333,
0.845,-60.5553,-5.3,-5.948,-0.052088,
0.85,-60.7829,-5.3,0.917,-0.042844,
0.855,-61.0112,-5.3,0.407,-0.044444,
0.86,-61.2364,-5.2,0.996,-0.046577,
0.865,-61.444,-5.3,-3.989,-0.044,
0.87,-61.6423,-5.3,6.511,-0.0336,
0.875,-61.8401,-5.3,0.352,-0.037422,
0.88,-62.0226,-5.3,3.094,-0.029866,
0.885,-62.2087,-5.3,-1.278,-0.0352,
0.89,-62.3821,-5.2,7.281,-0.033688,
0.895,-62.5481,-5.2,-0.449,-0.033688,
0.9,-62.7049,-5.3,2.695,-0.031999,
0.905,-62.8527,-5.3,-0.891,-0.027199,
0.91,-62.9875,-5.3,2.278,-0.024355,
0.915,-63.12,-5.3,1.023,-0.026577,
0.92,-63.2396,-5.4,6.638,-0.021688,
0.925,-63.3519,-5.7,-5.503,-0.023288,
0.93,-63.4551,-6.1,2.429,-0.015733,
0.935,-63.5423,-6.5,-1.311,-0.0168,
0.94,-63.6125,-6.3,5.119,-0.011911,
0.945,-63.6852,-6.6,0.813,-0.014133,
0.95,-63.7596,-6.6,2.797,-0.012977,
0.955,-63.8347,-6.6,-2.322,-0.016266,
0.96,-63.9006,-6.8,5.458,-0.009244,
0.965,-63.9623,-6.7,-3.086,-0.018488,
0.97,-64.008,-6.6,4.187,-0.008622,
0.975,-64.0477,-6.6,-0.164,-0.007022,
0.98,-64.0758,-6.5,1.643,-0.001066,
0.985,-64.0978,-6.6,-1.83,-0.002755,
0.99,-64.1124,-6.5,-1.053,-0.004355,
0.995,-64.1185,-6.5,-0.349,0,
1,-64.1222,-6.6,-0.596,0.000533,
1.005,-64.1649,-6.7,-4.118,-0.012444,
1.01,-64.2925,-6.6,-5.438,-0.030933,
1.015,-64.514,-6.6,-4.795,-0.053688,
1.02,-64.8247,-6.6,0.12,-0.067822,
1.025,-65.2281,-6.7,-0.06,-0.084088,
1.03,-65.7091,-6.9,0.543,-0.098755,
1.035,-66.259,-7.2,-1.171,-0.112266,
1.04,-66.8529,-7.4,-3.361,-0.123199,
1.045,-67.4706,-7.2,-0.208,-0.124266,
1.05,-68.1005,-7.9,-1.763,-0.127022,
1.055,-68.7322,-8.7,3.402,-0.126399,
1.06,-69.3376,-10.2,3.755,-0.119288,
1.065,-69.9089,-11.6,-2.367,-0.115022,
1.07,-70.418,-20.1,7.011,-0.091733,
1.075,-70.7042,-32.5,13.499,-0.031999,
