Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.163,-5.2,2.509,0.0016,
0.005,-0.1623,-5.2,-3.177,0.002755,
0.01,-0.166,-5.1,4.481,-0.0016,
0.015,-0.163,-5.2,-0.532,0.002133,
0.02,-0.1654,-5.1,0.95,-0.000533,
0.025,-0.1642,-5.2,-1.787,0,
0.03,-0.1672,-5.1,1.011,-0.001066,
0.035,-0.166,-5.2,1.602,0.002222,
0.04,-0.1691,-5.1,5.825,0.000533,
0.045,-0.1697,-5.2,0.874,0.000533,
0.05,-0.1727,-5.1,-0.525,-0.0032,
0.055,-0.1678,-5.2,-0.639,0.001688,
0.06,-0.1758,-5.1,-0.034,-0.005955,
0.065,-0.1831,-5.2,-1.356,-0.001066,
0.07,-0.1892,-5.2,1.609,-0.003822,
0.075,-0.1904,-5.2,3.045,0.000533,
0.08,-0.205,-5.5,0.438,-0.005955,
0.085,-0.2715,-5.6,-2.1,-0.017866,
0.09,-0.4009,-5.4,-1.417,-0.031466,
0.095,-0.5633,-5.3,-1.46,-0.032088,
0.1,-0.7488,-5.2,1.544,-0.037955,
0.105,-0.9368,-5.2,-5.133,-0.036888,
0.11,-1.1193,-5.1,1.381,-0.037422,
0.115,-1.2761,-5.1,2.617,-0.028711,
0.12,-1.4263,-5.1,1.674,-0.027644,
0.125,-1.5661,-5.2,-4.266,-0.027733,
0.13,-1.7119,-5.2,1.165,-0.031466,
0.135,-1.8645,-5.3,-0.987,-0.032533,
0.14,-2.036,-5.2,-0.305,-0.039555,
0.145,-2.2222,-5.3,-6.656,-0.041244,
0.15,-2.4254,-5.2,0.912,-0.046044,
0.155,-2.6336,-5.2,-1.363,-0.039644,
0.16,-2.8618,-5.2,0.346,-0.046666,
0.165,-3.0925,-5.2,-2.988,-0.044444,
0.17,-3.333,-5.2,3.089,-0.049866,
0.175,-3.5723,-5.2,-0.32,-0.047733,
0.18,-3.8189,-5.2,-1.718,-0.054844,
0.185,-4.0642,-5.2,-4.745,-0.051555,
0.19,-4.3187,-5.2,0.387,-0.056355,
0.195,-4.5842,-5.3,-2.904,-0.056888,
0.2,-4.8571,-5.2,3.233,-0.055911,
0.205,-5.1415,-5.2,-1.855,-0.056977,
0.21,-5.4387,-5.2,-1.667,-0.060177,
0.215,-5.739,-5.2,2.793,-0.058044,
0.22,-6.0546,-5.2,2.174,-0.066755,
0.225,-6.3671,-5.2,-2.01,-0.062933,
0.23,-6.6887,-5.2,3.001,-0.062399,
0.235,-7.0189,-5.2,-2.624,-0.0656,
0.24,-7.3516,-5.2,-0.76,-0.068888,
0.245,-7.6934,-5.2,-1.152,-0.067822,
0.25,-8.0456,-5.2,3.219,-0.072711,
0.255,-8.4069,-5.2,1.435,-0.071111,
0.26,-8.7804,-5.2,2.062,-0.074311,
