Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),
0,-0.1587,1.3,
0.002,-0.16,1.5,
0.004,-0.1679,1.2,
0.006,-0.1661,1.3,
0.008,-0.1777,1.2,
0.01,-0.1819,1.3,
0.012,-0.188,1.2,
0.014,-0.1971,1,
0.016,-0.2191,0.2,
0.018,-0.2722,0,
0.02,-0.3582,-0.1,
0.022,-0.4888,-0.2,
0.024,-0.6585,-0.3,
0.026,-0.874,-0.3,
0.028,-1.1291,-0.2,
0.03,-1.4276,-0.1,
0.032,-1.7608,-0.1,
0.034,-2.1319,0,
0.036,-2.5378,0,
0.038,-2.9791,0.1,
0.04,-3.4405,0.3,
0.042,-3.9257,0.3,
0.044,-4.4329,0.4,
0.046,-4.9572,0.5,
0.048,-5.5078,0.4,
0.05,-6.0717,0.5,
0.052,-6.6577,0.4,
0.054,-7.2625,0.4,
0.056,-7.8839,0.4,
0.058,-8.532,0.3,
0.06,-9.2095,0.3,
0.062,-9.9163,0.3,
0.064,-10.653,0.2,
0.066,-11.4227,0.2,
0.068,-12.2192,0.2,
0.07,-13.0493,0.2,
0.072,-13.8897,0.1,
0.074,-14.7479,0.2,
0.076,-15.6182,0,
0.078,-16.5118,0,
0.08,-17.4298,0,
0.082,-18.3673,0.2,
0.084,-19.3298,1.4,
0.086,-20.2819,1.4,
0.088,-21.2365,1.5,
0.09,-22.207,1.9,
0.092,-23.1719,2.1,
0.094,-24.1137,2.4,
0.096,-25.0152,2.6,
0.098,-25.8709,2.6,
0.1,-26.6796,2.6,
0.102,-27.4298,2.6,
0.104,-28.1378,2.5,
0.106,-28.8079,2.4,
0.108,-29.4415,2.3,
0.11,-30.0433,2.3,
0.112,-30.6237,2.1,
0.114,-31.1798,2.1,
0.116,-31.7211,2,
0.118,-32.2485,2,
0.12,-32.7471,2,
0.122,-33.2385,1.9,
0.124,-33.7072,1.9,
0.126,-34.1552,1.9,
0.128,-34.5837,1.9,
0.13,-34.9829,1.8,
0.132,-35.3637,1.9,
0.134,-35.7275,1.8,
0.136,-36.0662,1.8,
0.138,-36.3848,1.9,
0.14,-36.6802,1.9,
0.142,-36.95,1.9,
0.144,-37.2027,2,
0.146,-37.4261,2,
0.148,-37.6312,2,
0.15,-37.8118,2,
0.152,-37.9711,2,
0.154,-38.1042,2,
0.156,-38.2165,2,
0.158,-38.3062,2.1,
0.16,-38.3703,2.1,
0.162,-38.4124,2.1,
0.164,-38.4344,0.7,
0.166,-38.4564,0.9,
0.168,-38.4881,0.9,
0.17,-38.5259,0.7,
0.172,-38.576,0.7,
0.174,-38.6382,0.5,
0.176,-38.7158,0.4,
0.178,-38.811,0.3,
0.18,-38.9276,0.2,
0.182,-39.0624,0.1,
0.184,-39.2254,0.1,
0.186,-39.4122,0,
0.188,-39.6295,0,
0.19,-39.8712,0,
0.192,-40.1446,0,
0.194,-40.44,0.1,
0.196,-40.7659,0.1,
0.198,-41.1151,0.2,
0.2,-41.4953,0.2,
0.202,-41.8945,0.2,
0.204,-42.3199,0.2,
0.206,-42.7667,0.3,
0.208,-43.236,0.4,
0.21,-43.7206,0.5,
0.212,-44.2199,0.4,
0.214,-44.735,0.4,
0.216,-45.2673,0.5,
0.218,-45.8074,0.5,
0.22,-46.361,0.5,
0.222,-46.9341,0.3,
0.224,-47.5213,0.4,
0.226,-48.1158,0.3,
0.228,-48.7231,1.3,
0.23,-49.3267,1.5,
0.232,-49.9206,-1.8,
0.234,-50.4882,0.7,
0.236,-51.0418,1.1,
0.238,-51.5948,1.9,
0.24,-52.1331,1.5,
0.242,-52.6568,2,
0.244,-53.1677,-0.5,
0.246,-53.6431,0.1,
0.248,-54.0966,0.4,
0.25,-54.5178,0.3,
0.252,-54.9145,0,
0.254,-55.2856,0,
0.256,-55.6274,-0.2,
0.258,-55.9399,-0.2,
0.26,-56.2335,-0.3,
0.262,-56.5032,-0.2,
0.264,-56.7455,-0.3,
0.266,-56.9708,-1,
0.268,-57.1514,-32.3,
0.27,-57.2015,-44.8,
0.272,-57.1484,-15.1,
0.274,-57.1002,-7.1,
0.276,-57.0934,-6.4,
0.278,-57.1166,-13.3,
0.28,-57.1435,-20,
0.282,-57.1447,-18.7,
0.284,-57.138,-16.3,
0.286,-57.138,-18.5,
0.288,-57.1362,-19,
0.29,-57.1288,-18.8,
0.292,-57.1301,-17.5,
0.294,-57.1209,-14.9,
0.296,-57.116,-12.7,
0.298,-57.1099,-10.7,
0.3,-57.1026,-9.6,
0.302,-57.0971,-7.4,
0.304,-57.0776,-3.8,
0.306,-57.0544,-1,
0.308,-57.0196,0.2,
0.31,-56.9708,0.4,
0.312,-56.8975,0.5,
0.314,-56.795,0.8,
0.316,-56.6509,1.4,
0.318,-56.4636,1.5,
0.32,-56.22,1.7,
0.322,-55.9271,1.9,
0.324,-55.5834,2.1,
0.326,-55.1922,2.2,
0.328,-54.7442,2.3,
0.33,-54.248,2.3,
0.332,-53.7176,2.2,
0.334,-53.1475,2,
0.336,-52.5414,-1.2,
0.338,-51.8871,1.5,
0.34,-51.2054,1.7,
0.342,-50.5108,2.7,
0.344,-49.7936,2.1,
0.346,-49.0594,1.5,
0.348,-48.3331,-0.3,
0.35,-47.6092,0,
0.352,-46.9116,0,
0.354,-46.231,0,
0.356,-45.5779,-0.2,
0.358,-44.9542,-0.2,
0.36,-44.3475,-0.2,
0.362,-43.7792,-0.3,
0.364,-43.244,-0.4,
0.366,-42.7404,-0.3,
0.368,-42.2723,-0.2,
0.37,-41.8438,-0.2,
0.372,-41.4575,-0.2,
0.374,-41.0961,-0.1,
0.376,-40.7708,0,
0.378,-40.4778,0,
0.38,-40.2123,0,
0.382,-39.9713,0,
0.384,-39.7515,0.1,
0.386,-39.5568,0.2,
0.388,-39.3835,0.2,
0.39,-39.2352,0.2,
0.392,-39.0972,0.3,
0.394,-38.9837,0.3,
0.396,-38.8812,0.3,
0.398,-38.7988,0.2,
0.4,-38.7335,0.3,
0.402,-38.6895,0.2,
0.404,-38.6614,0.2,
0.406,-38.6578,0.2,
0.408,-38.6608,0.8,
0.41,-38.6773,0.7,
0.412,-38.6993,0.6,
0.414,-38.7341,0.5,
0.416,-38.7878,0.3,
0.418,-38.8543,0.2,
0.42,-38.9453,0.2,
0.422,-39.0551,0.1,
0.424,-39.1955,0.1,
0.426,-39.3542,0,
0.428,-39.5373,0,
0.43,-39.7521,0,
0.432,-39.9975,0,
0.434,-40.2661,0,
0.436,-40.5651,0,
0.438,-40.8868,0,
0.44,-41.2444,0,
0.442,-41.6271,0,
0.444,-42.0336,0.1,
0.446,-42.4664,0.2,
0.448,-42.9199,0.2,
0.45,-43.3941,0.3,
0.452,-43.8873,0.3,
0.454,-44.3969,0.4,
0.456,-44.9224,0.4,
0.458,-45.4547,0.4,
0.46,-46.0021,0.3,
0.462,-46.5716,0.4,
0.464,-47.1459,0.3,
0.466,-47.7355,0.2,
0.468,-48.3251,0.5,
0.47,-48.9385,-0.6,
0.472,-49.5294,-0.9,
0.474,-50.1013,1.3,
0.476,-50.6664,1.3,
0.478,-51.2243,1.7,
0.48,-51.7761,1.6,
0.482,-52.3065,-0.3,
0.484,-52.824,1.1,
0.486,-53.3203,1.5,
0.488,-53.7896,-1.8,
0.49,-54.2266,1.5,
0.492,-54.635,-0.1,
0.494,-55.0219,0,
0.496,-55.3814,0,
0.498,-55.7177,-0.1,
0.5,-56.0266,-0.1,
0.502,-56.3128,-0.1,
0.504,-56.5783,-0.2,
0.506,-56.8194,-0.3,
0.508,-57.0416,-2,
0.51,-57.1917,-46.2,
0.512,-57.185,-32.5,
0.514,-57.1246,-11,
0.516,-57.0873,-5.3,
0.518,-57.0916,-7.3,
0.52,-57.1264,-15.9,
0.522,-57.1484,-20.8,
0.524,-57.1441,-17.9,
0.526,-57.1411,-16.8,
0.528,-57.1411,-18.8,
0.53,-57.135,-18.7,
0.532,-57.1319,-18.7,
0.534,-57.1313,-17,
0.536,-57.1234,-14.3,
0.538,-57.1154,-11.6,
0.54,-57.1081,-10.2,
0.542,-57.1008,-9.1,
0.544,-57.0904,-6.5,
0.546,-57.0703,-2.7,
0.548,-57.0428,-0.6,
0.55,-57.0056,0.1,
0.552,-56.9457,0.6,
0.554,-56.8627,1.4,
0.556,-56.7504,1.3,
0.558,-56.5948,1.4,
0.56,-56.3873,1.5,
0.562,-56.1328,1.7,
0.564,-55.8306,2,
0.566,-55.4711,2.1,
0.568,-55.0585,2.1,
0.57,-54.5971,2.3,
0.572,-54.093,2.1,
0.574,-53.5473,2.1,
0.576,-52.9601,4.4,
0.578,-52.34,-1.8,
0.58,-51.6735,2.8,
0.582,-50.9893,2.8,
0.584,-50.288,0.2,
0.586,-49.5635,1.1,
0.588,-48.8201,1.6,
0.59,-48.103,0.1,
0.592,-47.3907,0,
0.594,-46.7034,0,
0.596,-46.0333,-0.1,
0.598,-45.393,-0.2,
0.6,-44.7772,-0.3,
0.602,-44.187,-0.3,
